year (AD),age (BP),MTWM (degC)
1950,0,18.586
1900,50,18.632
1850,100,18.702
1800,150,18.91
1750,200,19.041
1700,250,18.987
1650,300,19.052
1600,350,19.268
1550,400,19.344
1500,450,19.32
1450,500,19.326
1400,550,19.341
1350,600,19.343
1300,650,19.343
1250,700,19.331
1200,750,19.215
1150,800,19.148
1100,850,19.225
1050,900,19.302
1000,950,19.281
950,1000,19.15
900,1050,19.095
850,1100,19.088
800,1150,19.115
750,1200,19.154
700,1250,19.178
650,1300,19.204
600,1350,19.265
550,1400,19.317
500,1450,19.333
450,1500,19.395
400,1550,19.541
350,1600,19.541
300,1650,19.395
250,1700,19.417
200,1750,19.533
150,1800,19.554
100,1850,19.348
50,1900,19.141
0,1950,19.214
-50,2000,19.305
-100,2050,19.368
-150,2100,19.41
-200,2150,19.46
-250,2200,19.531
-300,2250,19.58
-350,2300,19.405
-400,2350,19.343
-450,2400,19.343
-500,2450,19.343
-550,2500,19.369
-600,2550,19.527
-650,2600,19.372
-700,2650,19.541
-750,2700,19.605
-800,2750,19.418
-850,2800,19.202
-900,2850,19.347
-950,2900,19.383
-1000,2950,19.183
-1050,3000,19.439
-1100,3050,19.614
-1150,3100,19.551
-1200,3150,19.399
-1250,3200,19.276
-1300,3250,19.385
-1350,3300,19.232
-1400,3350,19.305
-1450,3400,19.444
-1500,3450,19.432
-1550,3500,19.391
-1600,3550,19.266
-1650,3600,19.095
-1700,3650,18.98
-1750,3700,19.248
-1800,3750,18.879
-1850,3800,19.544
-1900,3850,19.434
-1950,3900,19.448
-2000,3950,19.289
-2050,4000,19.214
-2100,4050,19.416
-2150,4100,19.476
-2200,4150,19.409
-2250,4200,19.301
-2300,4250,19.627
-2350,4300,19.843
-2400,4350,19.593
-2450,4400,19.083
-2500,4450,19.02
-2550,4500,19.797
-2600,4550,19.458
-2650,4600,19.774
-2700,4650,19.605
-2750,4700,19.821
-2800,4750,19.535
-2850,4800,19.172
-2900,4850,18.957
-2950,4900,19.457
-3000,4950,19.073
-3050,5000,19.408
-3100,5050,18.814
-3150,5100,19.238
-3200,5150,18.875
-3250,5200,19.469
-3300,5250,19.699
-3350,5300,19.053
-3400,5350,19.202
-3450,5400,19.434
-3500,5450,19.68
-3550,5500,18.899
-3600,5550,19.181
-3650,5600,19.185
-3700,5650,19.343
-3750,5700,19.491
-3800,5750,19.279
-3850,5800,19.274
-3900,5850,19.25
-3950,5900,19.424
-4000,5950,19.57
-4050,6000,19.388
-4100,6050,19.496
-4150,6100,19.659
-4200,6150,19.408
-4250,6200,19.707
-4300,6250,19.408
-4350,6300,19.618
-4400,6350,19.855
-4450,6400,19.651
-4500,6450,19.817
-4550,6500,19.615
-4600,6550,19.506
-4650,6600,19.727
-4700,6650,19.759
-4750,6700,20.092
-4800,6750,20.002
-4850,6800,19.954
-4900,6850,20.241
-4950,6900,19.857
-5000,6950,19.786
-5050,7000,20.092
-5100,7050,20.177
-5150,7100,19.943
-5200,7150,19.988
-5250,7200,20.086
-5300,7250,19.898
-5350,7300,19.874
-5400,7350,19.816
-5450,7400,20.106
-5500,7450,20.095
-5550,7500,20.094
-5600,7550,20.143
-5650,7600,20.183
-5700,7650,20.069
-5750,7700,20.322
-5800,7750,20.352
-5850,7800,20.124
-5900,7850,19.932
-5950,7900,19.912
-6000,7950,20.029
-6050,8000,19.757
-6100,8050,19.522
-6150,8100,19.891
-6200,8150,20.043
-6250,8200,19.832
-6300,8250,19.883
-6350,8300,19.441
-6400,8350,19.577
-6450,8400,19.636
-6500,8450,19.71
-6550,8500,19.622
-6600,8550,19.401
-6650,8600,19.565
-6700,8650,19.633
-6750,8700,19.578
-6800,8750,19.514
-6850,8800,19.392
-6900,8850,19.153
-6950,8900,19.236
-7000,8950,19.355
-7050,9000,19.281
-7100,9050,18.639
-7150,9100,17.907
-7200,9150,18.569
-7250,9200,18.892
-7300,9250,18.954
-7350,9300,19.016
-7400,9350,19.109
-7450,9400,19.268
-7500,9450,19.427
-7550,9500,19.566
-7600,9550,19.513
-7650,9600,19.46
-7700,9650,19.407
-7750,9700,19.339
-7800,9750,19.269
-7850,9800,19.198
-7900,9850,19.012
-7950,9900,18.756
-8000,9950,18.5
-8050,10000,18.451
-8100,10050,18.729
-8150,10100,19.007
-8200,10150,19.219
-8250,10200,19.06
-8300,10250,18.901
-8350,10300,18.742
-8400,10350,18.563
-8450,10400,18.382
-8500,10450,18.2
-8550,10500,17.872
-8600,10550,17.475
-8650,10600,17.077
-8700,10650,16.567
-8750,10700,15.918
-8800,10750,15.269
-8850,10800,14.884
-8900,10850,15.484
-8950,10900,16.085
-9000,10950,16.685
-9050,11000,16.95
