depth (cm),age (yr BP),notes (),error (yr),calibrated (yr BP)
0,0,surface,1,NA
57,1170,NA,35,NA
137,2095,NA,30,NA
233.5,2385,NA,35,NA
323,3080,NA,35,NA
400,NA,Santorini ash,0,3595
478,4605,NA,55,NA
520,5715,NA,25,NA
555,6590,NA,70,NA
564.5,7625,NA,55,NA
