depth (cm),age (yrBP),depth range (cm),error (yr),date type (NA),material (NA)
51,1500,NA,77,stratigraphic,NA
102,2702,NA,146,stratigraphic,NA
123,4100,NA,145,stratigraphic,NA
192,4920,NA,180,AMS14C,NA
232,4921,NA,89,stratigraphic,NA
271.5,5743,271<U+2013>272,25,AMS14C,Globigerina bulloides
385.5,8586,385<U+2013>386,70,AMS14C,Globigerina bulloides
657.5,14521,657<U+2013>658,35,AMS14C,Globigerina bulloides
972.5,19193,972<U+2013>973,88,AMS14C,Globigerina bulloides
