age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),A (missing),age (BP),temperature (degC)
202.76,0,6.406,30.327,5.567,4.426,161.399,NA,202.76,2.964
214.46,1,7.475,33.66,1.775,1.395,207.465,1,214.46,4.167
321.89,10,8.613,28.393,0.714,0.542,222.535,2,321.89,4.946
445.75,20,7.906,34.137,0.167,0.171,213.454,2,445.75,4.806
574.26,30,6.558,28.019,3.708,2.951,176.676,2,574.26,3.266
707.16,40,7.364,31.075,1.599,1.287,205.686,2,707.16,4.593
844.88,50,7.898,34.106,0.148,0.159,216.791,2,844.88,5.004
987.16,60,7.593,34.19,0.039,0.042,212.659,2,987.16,4.642
1133.8,70,6.135,31.909,3.86,3.109,164.193,2,1133.8,3.253
1285.4,80,7.702,34.581,0.162,0.171,214.983,2,1285.4,4.995
1441.5,90,7.515,34.691,0.194,0.23,195.442,2,1441.5,4.992
1521.2,95,7.943,34.265,0.132,0.135,217.995,2,1521.2,4.969
1601.9,100,8.952,33.756,0.689,0.631,209.769,2,1601.9,5.362
1684.1,105,6.675,34.234,1.56,1.295,172.5,2,1684.1,4.322
1767.4,110,7.563,34.685,0.179,0.209,198.532,2,1767.4,5.014
1937.2,120,7.569,34.663,0.186,0.212,199.39,2,1937.2,4.949
2111.5,130,6.428,33.874,2.333,1.852,169.411,2,2111.5,3.928
2290.7,140,6.323,34.534,0.772,0.728,179.049,2,2290.7,4.192
2474.3,150,7.163,34.125,0.891,0.742,198.546,2,2474.3,4.449
2662.5,160,6.572,34.152,1.774,1.419,187.642,2,2662.5,4.391
2855.5,170,6.638,33.291,2.122,1.733,189.27,2,2855.5,3.9
3052.9,180,7.172,34.088,0.974,0.788,208.905,2,3052.9,4.156
3254.9,190,9.05,33.309,0.59,0.49,216.532,2,3254.9,4.964
3461.7,200,5.758,31.653,4.255,3.449,141.767,2,3461.7,3.011
3482.6,201,4.794,26.351,7.53,5.986,134.756,2,3482.6,1.93
3672.8,210,5.773,32.303,3.608,2.931,151.967,2,3672.8,3.151
3888.7,220,5.857,32.865,3.31,2.648,162.138,2,3888.7,3.134
4109.2,230,6.444,34.016,1.82,1.471,172.586,2,4109.2,3.641
4334.2,240,6.491,31.406,5.07,3.999,159.581,2,4334.2,2.815
4563.9,250,7.332,31.571,3.429,2.721,199.193,2,4563.9,3.917
4798.2,260,7.746,33.96,1.039,0.813,203.02,2,4798.2,4.551
4917,265,6.958,34.046,1.584,1.286,189.52,2,4917,4.245
5036.9,270,7.814,32.865,2.046,1.609,197.939,2,5036.9,4.231
5158.2,275,7.756,33.882,1.148,0.892,202.416,2,5158.2,4.528
5280.6,280,7.942,34.164,0.141,0.145,216.939,2,5280.6,4.886
5404.1,285,7.374,33.363,1.741,1.407,187.415,2,5404.1,4.287
5528.6,290,7.258,33.322,1.672,1.373,188.776,2,5528.6,4.287
5654.3,295,7.163,33.432,1.686,1.358,204.668,2,5654.3,4.684
5781.1,300,9.271,32.231,1.627,1.301,223.282,2,5781.1,5.15
5832.4,302,7.527,30.984,5.233,4.007,158.972,2,5832.4,3.053
5909.3,305,6.446,33.309,2.297,1.853,190.257,2,5909.3,4.105
6038.6,310,6.98,34.112,1.54,1.245,193.892,2,6038.6,4.487
6169,315,8.107,33.754,0.731,0.546,226.06,2,6169,4.873
6300.5,320,6.621,30.816,3.863,3.025,212.376,2,6300.5,3.298
6433,325,7.368,34.07,1.642,1.289,204.036,2,6433,5.107
6566.8,330,8.026,33.031,1.317,1.069,208.687,2,6566.8,4.589
6701.9,335,4.526,31.776,5.51,4.42,121.912,2,6701.9,2.209
6838,340,6.653,32.606,2.802,2.272,170.703,2,6838,3.573
6975.3,345,5.884,33.493,2.263,1.816,166.777,2,6975.3,3.364
7113.7,350,7.513,34.027,1.076,0.873,198.304,2,7113.7,4.527
7253.1,355,3.562,31.578,6.258,5.041,121.611,2,7253.1,1.965
7393.9,360,5.382,32.412,4.958,3.818,142.01,2,7393.9,2.376
7535.8,365,1.94,29.677,8.972,7.225,71.583,2,7535.8,0.596
7678.9,370,3.722,29.442,8.257,6.554,87.195,2,7678.9,1.107
7968.3,380,6.838,30.005,5.071,3.878,185.32,2,7968.3,2.707
8262.4,390,7.489,30.747,4.28,3.234,195.15,2,8262.4,2.927
8561.2,400,7.545,30.568,4.378,3.32,196.057,2,8561.2,2.959
