age (BP),temperature (degC)
177.43,4.85
470.2,4.82
795.8,4.932
1111.8,3.312
1418.2,4.088
1715,4.43
2002.2,3.906
2279.8,6.213
2547.8,4.728
2806.2,4.923
3055,5.31
3294.2,4.93
3523.8,5.031
3743.8,5.133
3954.2,4.228
4164.8,4.237
4355.5,4.102
4536.6,4.641
4708.1,4.316
4870.1,4.856
5022.4,4.245
5165.1,5.411
5298.2,5.28
5421.7,7.214
5535.7,5.356
5640,4.841
5734.7,4.614
5819.8,5.97
5895.3,4.541
5961.3,4.312
5976.2,3.258
6062.2,5.288
6127.8,4.003
