depth (m),age (BP),temperature (missing),C37.concentration (degC),temperature (g)
0.01,726,0.32,5.32,429.15
0.03,990,0.29,4.43,497.9
0.05,1254,0.29,4.5,439.86
0.07,1519,0.31,5.01,535.05
0.09,1783,0.31,5.25,448.45
0.11,2047,0.31,5.07,480.77
0.13,2311,0.31,5.14,266.78
0.14,2443,0.3,4.75,475.09
0.16,2707,0.29,4.45,516.12
0.18,2971,0.32,5.54,317.36
0.2,3235,0.31,5.17,393.95
0.22,3500,0.32,5.54,418.31
0.24,3764,0.32,5.56,370.32
0.26,3977,0.36,6.7,168.07
0.28,4190,0.34,5.98,331.71
0.3,4386,0.35,6.63,300.3
0.32,4581,0.36,6.91,232.73
0.34,4777,0.36,6.78,232.84
0.36,4973,0.35,6.63,265.05
0.38,5169,0.33,6.3,222
0.42,5561,0.34,6.46,223.3
0.48,6148,0.35,6.94,255.13
0.5,6344,0.34,6.86,280.81
0.52,6540,0.34,6.69,270.92
0.56,6931,0.31,6.28,218.34
0.58,7122,0.32,6.49,236.32
0.6,7308,0.32,6.15,219.31
0.62,7494,0.32,6.51,261.78
0.64,7655,0.32,6.57,168.74
0.66,7790,0.31,6.9,183.46
0.68,7926,0.37,7.14,348.05
0.7,8061,0.29,6.48,329.25
0.72,8196,0.32,6.82,337.16
0.74,8313,0.34,7.2,338.03
0.76,8411,0.32,6.8,203.47
0.78,8501,0.34,7.06,325.44
0.8,8583,0.31,6.59,216.19
0.82,8664,0.33,6.53,261.34
0.84,8742,0.31,5.91,258.01
0.86,8815,0.31,5.99,266.72
0.88,8888,0.29,5.79,303.37
0.9,8961,0.29,6.61,231.13
0.92,9035,0.29,6.42,303.47
0.94,9109,0.32,5.17,356.76
0.96,9182,0.31,5.68,407.67
0.98,9255,0.3,6.35,361.29
1,9328,0.3,6.42,357.74
1.02,9401,0.3,6.32,278.49
1.04,9473,0.34,6.88,383.41
1.06,9545,0.33,6.93,408.53
1.08,9617,0.32,7.28,393.66
1.1,9690,0.35,7.94,387.88
1.12,9762,0.37,8.1,328.9
1.14,9834,0.34,6.4,519.34
1.16,9907,0.32,6.66,678.9
1.18,9979,0.35,6.31,470.75
1.2,10052,0.32,6.55,451.01
1.22,10124,0.33,6.79,452.78
1.24,10196,0.34,6.92,826.53
1.26,10269,0.34,6.16,645.18
1.28,10341,0.37,7.09,569.89
1.3,10414,0.35,7.27,469.28
1.32,10486,0.35,7.28,456.24
