depth (mm),year (AD),age (BP),d13C (permil),DUNE_A (missing)
70,1992.503,-42.503,-29.04,D
92.5,1969.415,-19.415,-28.42,D
105,1956.223,-6.223,-27.83,D
115,1945.485,4.515,-28.03,D
125,1934.587,15.413,-27.92,D
140,1917.944,32.056,-28.05,D
150,1906.655,43.345,-28.3,D
160,1895.214,54.786,-28.34,D
170,1883.623,66.377,-28.4,D
180,1871.885,78.115,-28.48,D
190,1860.002,89.998,-28.22,D
200,1847.976,102.024,-28.25,D
210,1835.811,114.189,-28.17,D
220,1823.507,126.493,-28.26,D
230,1811.068,138.932,-28.25,D
240,1798.496,151.504,-28.31,D
250,1785.793,164.207,-28.09,D
260,1772.962,177.038,-27.87,D
270,1760.004,189.996,NA,D
280,1746.922,203.078,NA,D
290,1733.719,216.281,-27.22,D
300,1720.396,229.604,-27.23,D
310,1706.955,243.045,-27.03,D
320,1693.4,256.6,-26.66,D
330,1679.731,270.269,-26.21,D
340,1665.952,284.048,-26.53,D
350,1652.064,297.936,-26.32,D
360,1638.07,311.93,-25.3,D
370,1623.971,326.029,-26.17,D
380,1609.77,340.23,-25.86,D
390,1595.469,354.531,-25.72,D
400,1581.071,368.929,-25.8,D
410,1566.576,383.424,-26.61,D
420,1551.987,398.013,-26.18,D
430,1537.307,412.693,-27.14,D
440,1522.536,427.464,-26.67,D
450,1507.678,442.322,-26.82,D
460,1492.734,457.266,-26.77,D
470,1477.707,472.293,-26.37,D
480,1462.597,487.403,-26.75,D
490,1447.408,502.592,-26.65,D
500,1432.141,517.859,-26.67,D
510,1416.798,533.202,-26.31,D
520,1401.381,548.619,-26.49,D
530,1385.892,564.108,-26.59,D
540,1370.332,579.668,-26.57,D
550,1354.704,595.296,-26.39,D
560,1339.01,610.99,-26.92,D
570,1323.251,626.749,-27.54,D
580,1307.429,642.571,-28.54,D
590,1291.547,658.453,-27.52,D
600,1275.605,674.395,-28.18,D
610,1259.605,690.395,-28.05,D
620,1243.55,706.45,-28.21,D
630,1227.441,722.559,-27.85,D
640,1211.28,738.72,-27.7,D
650,1195.069,754.931,-27.64,D
660,1178.809,771.191,-27.62,D
670,1162.502,787.498,-27.46,D
680,1146.149,803.851,-27.68,D
690,1129.753,820.247,-25.97,D
700,1113.316,836.684,-25.67,D
710,1096.838,853.162,-25.64,D
720,1080.321,869.679,-25.39,D
730,1063.767,886.233,-26.18,D
740,1047.178,902.822,-26.18,D
750,1030.555,919.445,-26.18,D
760,1013.9,936.1,-25.82,D
770,997.214,952.786,-26.71,D
780,980.498,969.502,-26.87,D
790,963.756,986.244,-27.23,D
800,946.987,1003.013,-27.7,D
810,930.194,1019.806,-29.21,D
820,913.377,1036.623,-28.07,D
830,896.539,1053.461,-27.75,D
840,879.681,1070.319,-28.14,D
850,862.804,1087.196,-27.49,D
860,845.91,1104.09,-28.57,D
880,812.075,1137.925,-27.69,D
890,795.138,1154.862,-27.66,D
900,778.188,1171.812,-28.25,D
910,761.229,1188.771,-27.58,D
920,744.261,1205.739,-27.36,D
930,727.284,1222.716,-27.15,D
940,710.302,1239.698,-27.28,D
950,693.315,1256.685,-25.95,D
960,676.324,1273.676,-25.77,D
970,659.33,1290.67,-25.48,D
980,642.336,1307.664,-26.12,D
990,625.341,1324.659,-27.35,D
1000,608.348,1341.652,-27.04,D
1010,591.357,1358.643,-28.6,D
1020,574.37,1375.63,-30.16,D
1030,557.388,1392.612,-27.44,D
1040,540.412,1409.588,-26.52,D
1050,523.444,1426.556,-25.08,D
1060,506.484,1443.516,-24.81,D
1070,489.533,1460.467,-24.87,D
1080,472.593,1477.407,-24.18,D
1090,455.665,1494.335,-25.13,D
1100,438.75,1511.25,-26.5,D
1110,421.849,1528.151,-27.78,D
1120,404.963,1545.037,-28.18,D
1130,388.092,1561.908,-27.24,D
1140,371.24,1578.76,-28.49,D
1150,354.405,1595.595,-28.25,D
1160,337.589,1612.411,-27.77,D
1170,320.794,1629.206,-27.18,D
1180,304.019,1645.981,-28.08,D
1190,287.267,1662.733,-27.79,D
1200,270.538,1679.462,-26.87,D
1210,253.832,1696.168,-26.67,D
1220,237.152,1712.848,-26.87,D
