depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing),Commentregardingreliability1 (missing)
1,29.809,9.867,10.881,8.854,Y,NA
2,59.618,9.369,10.436,8.302,Y,NA
12,357.708,10.489,11.61,9.368,Y,*See M12
14,417.326,8.589,9.647,7.531,Y,*See M12
17,506.753,7.429,8.646,6.211,Y,*See M12
20,596.18,7.704,8.999,6.409,Y,*See M12
22,655.798,7.509,8.827,6.192,Y,*See M12
32,953.888,8.474,9.551,7.398,Y,*See M12
42,1251.978,8.313,9.451,7.176,Y,*See M12
47,1401.023,8.617,9.723,7.511,Y,*See M12
57,1699.113,8.716,9.761,7.671,Y,NA
67,1997.203,8.541,9.642,7.44,Y,NA
75,2235.675,8.56,9.686,7.433,Y,*See M12
77.4,2307.217,9.095,10.139,8.051,Y,*See M12
79.7,2386.182,8.855,9.913,7.798,Y,NA
80,2397.73,9.926,10.984,8.867,Y,NA
90,2782.66,9.21,10.246,8.174,Y,*See M12
100,3167.59,9.697,10.82,8.575,Y,NA
110,3552.52,9.325,10.391,8.26,Y,NA
120,3937.45,8.525,9.581,7.469,Y,NA
130,4322.38,9.282,10.372,8.193,Y,NA
132.5,4418.613,9.978,11.022,8.934,Y,NA
135,4514.845,10.961,12.106,9.816,Y,NA
138.5,4649.57,11.032,12.092,9.972,Y,NA
140,4707.31,9.982,11.025,8.939,Y,NA
145,4899.775,10.193,11.208,9.179,Y,NA
148.5,5034.501,10.037,11.047,9.027,Y,NA
150,5092.24,10.178,11.192,9.164,Y,NA
151.5,5149.98,8.956,10.007,7.904,Y,NA
155,5268.652,9.636,10.662,8.609,Y,NA
194.8,6612.222,8.443,9.654,7.231,Y,NA
195.7,6635.266,8.386,9.558,7.215,Y,NA
196.8,6661.252,8.509,9.689,7.329,Y,NA
205.2,6867.913,8.739,9.904,7.575,Y,NA
216.8,7151.552,8.772,9.941,7.604,Y,NA
228,7426.12,9.144,10.245,8.043,Y,NA
238,7671.27,8.189,9.372,7.007,Y,NA
248,7916.42,8.001,9.135,6.868,Y,NA
249,7940.935,7.884,9.111,6.657,Y,NA
251,7989.965,8.234,9.492,6.977,Y,NA
258,8168.986,8.5,9.631,7.37,Y,NA
263,8296.821,8.417,9.527,7.307,Y,NA
276.9,8653.194,7.31,8.554,6.067,Y,NA
286.7,8903.646,7.438,8.713,6.163,Y,NA
296.5,9154.098,8.254,9.312,7.196,Y,NA
298.8,9212.12,8.703,9.733,7.673,Y,NA
300.4,9260.197,9.593,10.598,8.588,Y,NA
301.4,9294.826,10.094,11.108,9.081,Y,NA
302.7,9337.631,10.565,11.593,9.536,Y,NA
306.3,9459.725,10.274,11.29,9.257,Y,NA
309.1,9553.1,9.498,10.538,8.459,Y,NA
316.1,9789.524,8.066,9.18,6.952,Y,NA
321,9954.424,7.977,9.09,6.865,Y,NA
325.9,10119.324,8.894,9.954,7.834,Y,NA
330.8,10284.223,8.328,9.416,7.24,Y,NA
335.7,10449.123,8.125,9.224,7.026,Y,NA
345.5,10778.922,8.869,9.902,7.837,Y,NA
349.3,10906.032,9.046,10.13,7.963,Y,NA
351.6,11030.117,8.733,9.805,7.66,Y,NA
355.3,11227.706,8.377,9.435,7.319,Y,NA
365.1,11754.609,9.22,10.251,8.188,Y,NA
380,12556.398,10.079,11.104,9.054,Y,NA
385,12825.567,10.236,11.291,9.182,Y,NA
388.8,13029.274,10.501,11.612,9.389,Y,NA
390,13111.321,10.487,11.554,9.419,Y,NA
391.7,13229.074,10.061,11.126,8.996,Y,NA
395,13461.454,10.548,11.62,9.476,Y,NA
400,13811.586,10.142,11.198,9.087,Y,NA
405,14161.719,10.141,11.17,9.112,Y,NA
410,14511.852,10.196,11.213,9.18,Y,NA
415,14861.985,10.103,11.122,9.085,Y,NA
419,15139.173,9.883,10.961,8.806,Y,NA
