year (AD),age (BP),depth (m),floodLayThick (mm),layer (missing),eventLayerThick (mm),debrisLayThick (mm)
2002,-52,0.004,0.06,1,0.06,NA
1997,-47,0.013,0.1,2,0.1,NA
1994,-44,0.018,0.7,3,0.7,NA
1986,-36,0.033,0.25,4,0.25,NA
1986,-36,0.038,NA,5,3.6,3.6
1959,-9,0.104,0.25,6,0.25,NA
1954,-4,0.115,0.1,7,0.1,NA
1941,9,0.151,NA,8,1,1
1936,14,0.162,0.5,9,0.5,NA
1928,22,0.175,0.6,10,0.6,NA
1923,27,0.209,NA,11,7.7,7.7
1910,40,0.236,0.1,12,0.1,NA
1897,53,0.256,0.1,13,0.1,NA
1882,68,0.277,0.35,14,0.35,NA
1850,100,0.326,0.3,15,0.3,NA
1847,103,0.331,0.1,16,0.1,NA
1818,132,0.375,NA,17,0.45,0.9
1814,136,0.392,0.1,18,0.1,NA
1802,148,0.41,0.1,19,0.1,NA
1791,159,0.432,0.2,20,0.2,NA
1784,166,0.443,0.1,21,0.1,NA
1773,177,0.458,0.4,22,0.4,NA
1762,188,0.476,0.1,23,0.1,NA
1729,221,0.537,0.5,24,0.5,NA
1727,223,0.542,NA,25,1.5,1.5
1717,233,0.558,0.3,26,0.3,NA
1708,242,0.571,0.2,27,0.2,NA
1628,322,0.702,NA,28,1.3,1.3
1605,345,0.738,0.1,29,0.1,NA
1603,347,0.74,0.1,30,0.1,NA
1600,350,0.743,0.1,31,0.1,NA
1580,370,0.781,0.08,32,0.08,NA
1576,374,0.789,0.1,33,0.1,NA
1562,388,0.822,0.15,34,0.15,NA
1535,415,0.868,NA,35,3,3
1517,433,0.892,0.35,36,0.35,NA
1505,445,0.91,0.15,37,0.15,NA
1497,453,0.923,0.2,38,0.2,NA
1489,461,0.94,0.2,39,0.2,NA
1488,462,0.942,0.09,40,0.09,NA
1487,463,0.943,0.1,41,0.1,NA
1486,464,0.945,0.25,42,0.25,NA
1485,465,0.948,NA,43,0.65,0.65
1484,466,0.953,NA,44,4.2,4.2
1483,467,0.954,0.08,45,0.08,NA
1482,468,0.955,0.25,46,0.25,NA
1481,469,0.958,0.1,47,0.1,NA
1476,474,0.968,0.19,48,0.19,NA
1468,482,0.985,NA,49,1.9,1.9
1453,497,1.02,0.11,50,0.11,NA
1446,504,1.029,0.3,51,0.3,NA
1445,505,1.03,0.14,52,0.14,NA
1424,526,1.069,0.1,53,0.1,NA
1397,553,1.105,0.1,54,0.1,NA
1387,563,1.125,0.15,55,0.15,NA
1384,566,1.129,0.35,56,0.35,NA
1380,570,1.133,NA,57,1.4,1.4
1370,580,1.152,0.55,58,0.55,NA
1362,588,1.163,0.25,59,0.25,NA
1360,590,1.165,0.1,60,0.1,NA
1351,599,1.18,0.1,61,0.1,NA
1324,626,1.228,0.09,62,0.09,NA
1323,627,1.23,0.1,63,0.1,NA
1321,629,1.233,0.8,64,0.8,NA
1318,632,1.24,0.11,65,0.11,NA
1317,633,1.241,0.09,66,0.09,NA
1315,635,1.243,0.19,67,0.19,NA
1314,636,1.245,0.08,68,0.08,NA
1301,649,1.273,0.1,69,0.1,NA
1300,650,1.274,0.29,70,0.29,NA
1262,688,1.345,0.4,71,0.4,NA
1209,741,1.418,0.35,72,0.35,NA
1199,751,1.435,0.15,73,0.15,NA
1168,782,1.482,0.2,74,0.2,NA
1164,786,1.489,0.08,75,0.08,NA
1162,788,1.492,0.1,76,0.1,NA
1150,800,1.51,0.35,77,0.35,NA
1146,804,1.52,0.09,78,0.09,NA
1145,805,1.522,0.15,79,0.15,NA
1138,812,1.535,0.15,80,0.15,NA
1135,815,1.54,0.35,81,0.35,NA
1133,817,1.544,0.4,82,0.4,NA
1131,819,1.546,0.07,83,0.07,NA
1130,820,1.548,0.2,84,0.2,NA
1129,821,1.55,NA,85,0.9,0.9
1115,835,1.568,0.15,86,0.15,NA
1114,836,1.569,0.55,87,0.55,NA
1095,855,1.593,1,88,1,NA
1074,876,1.621,0.4,89,0.4,NA
1073,877,1.623,0.35,90,0.35,NA
1072,878,1.624,0.1,91,0.1,NA
1071,879,1.625,0.15,92,0.15,NA
1052,898,1.649,NA,93,2.3,2.3
1036,914,1.673,NA,94,1.2,1.2
1001,949,1.73,0.09,95,0.09,NA
997,953,1.735,0.06,96,0.06,NA
996,954,1.736,0.39,97,0.39,NA
957,993,1.797,0.22,98,0.22,NA
931,1019,1.831,0.1,99,0.1,NA
929,1021,1.835,0.08,100,0.08,NA
928,1022,1.836,0.18,101,0.18,NA
926,1024,1.838,0.08,102,0.08,NA
901,1049,1.874,0.08,103,0.08,NA
900,1050,1.875,0.07,104,0.07,NA
886,1064,1.891,0.43,105,0.43,NA
876,1074,1.9,0.15,106,0.15,NA
875,1075,1.903,0.49,107,0.49,NA
817,1133,1.965,0.08,108,0.08,NA
816,1134,1.968,0.1,109,0.1,NA
813,1137,1.973,0.59,110,0.59,NA
795,1155,2.003,NA,111,1.05,1.05
786,1164,2.02,0.29,112,0.29,NA
783,1167,2.026,0.42,113,0.42,NA
765,1185,2.06,0.08,114,0.08,NA
754,1196,2.075,0.14,115,0.14,NA
753,1197,2.075,0.3,116,0.3,NA
752,1198,2.079,NA,117,1.55,1.55
732,1218,2.102,0.14,118,0.14,NA
722,1228,2.115,0.2,119,0.29,NA
721,1229,2.116,0.59,120,0.52,NA
719,1231,2.119,0.11,121,0.11,NA
717,1233,2.121,0.21,122,0.21,NA
715,1235,2.123,0.14,123,0.14,NA
711,1239,2.127,0.24,124,0.24,NA
709,1241,2.13,NA,125,0.9,0.9
704,1246,2.135,0.29,126,0.29,NA
665,1285,2.183,0.09,127,0.09,NA
642,1308,2.218,0.15,128,0.15,NA
620,1330,2.246,0.08,129,0.08,NA
617,1333,2.26,NA,130,6.5,6.5
597,1353,2.29,0.55,131,0.55,NA
596,1354,2.292,0.15,132,0.15,NA
594,1356,2.295,0.12,133,0.12,NA
593,1357,2.296,0.11,134,0.11,NA
592,1358,2.297,0.49,135,0.49,NA
591,1359,2.3,0.9,136,0.9,NA
590,1360,2.301,0.25,137,0.25,NA
589,1361,2.302,0.49,138,0.49,NA
588,1362,2.32,NA,139,26,26
564,1386,2.358,0.22,140,0.22,NA
561,1389,2.362,0.19,141,0.19,NA
538,1412,2.395,0.29,142,0.29,NA
537,1413,2.397,0.15,143,0.15,NA
534,1416,2.4,NA,144,1.8,1.8
506,1444,2.442,0.12,145,0.12,NA
500,1450,2.458,NA,146,5.5,5.5
475,1475,2.492,0.14,147,0.14,NA
474,1476,2.493,NA,148,0.94,0.94
451,1499,2.537,0.22,149,0.22,NA
450,1500,2.539,0.09,150,0.09,NA
449,1501,2.541,0.08,151,0.08,NA
448,1502,2.543,0.06,152,0.06,NA
447,1503,2.544,0.16,153,0.16,NA
446,1504,2.547,NA,154,2.7,2.7
439,1511,2.557,0.08,155,0.08,NA
407,1543,2.606,0.21,156,0.21,NA
406,1544,2.607,0.35,157,0.35,NA
381,1569,2.647,0.2,158,0.2,NA
350,1600,2.697,0.2,159,0.2,NA
334,1616,2.724,0.39,160,0.39,NA
325,1625,2.74,0.24,161,0.24,NA
276,1674,2.805,0.2,162,0.2,NA
275,1675,2.806,NA,163,0.98,0.98
259,1691,2.825,0.24,164,0.24,NA
246,1704,2.845,0.3,165,0.3,NA
217,1733,2.885,0.09,166,0.09,NA
-22,1972,3.246,0.14,167,0.14,NA
-76,2026,3.313,0.14,168,0.14,NA
-77,2027,3.315,0.12,169,0.12,NA
-78,2028,3.317,0.29,170,0.29,NA
-79,2029,3.318,0.16,171,0.16,NA
-80,2030,3.32,0.06,172,0.06,NA
-81,2031,3.322,0.27,173,0.27,NA
-82,2032,3.323,NA,174,2.5,2.5
-110,2060,3.363,0.33,175,0.33,NA
-111,2061,3.365,NA,176,0.72,0.72
-116,2066,3.375,0.39,177,0.39,NA
-143,2093,3.407,0.5,178,0.5,NA
-162,2112,3.431,0.2,179,0.2,NA
-181,2131,3.455,0.16,180,0.16,NA
-188,2138,3.464,0.1,181,0.1,NA
-230,2180,3.527,0.1,182,0.1,NA
-232,2182,3.53,0.1,183,0.1,NA
-241,2191,3.545,0.16,184,0.16,NA
-277,2227,3.594,0.3,185,0.3,NA
-278,2228,3.595,0.5,186,0.5,NA
-368,2318,3.722,0.1,187,0.1,NA
-498,2448,3.925,0.82,188,0.82,NA
-516,2466,3.95,0.3,189,0.3,NA
-577,2527,4.039,0.22,190,0.22,NA
-578,2528,4.04,0.5,191,0.5,NA
-697,2647,4.201,1.4,192,1.4,NA
-782,2732,4.338,NA,193,15,15
-797,2747,4.358,0.2,194,0.2,NA
-815,2765,4.379,0.84,195,0.84,NA
-818,2768,4.383,1.6,196,1.6,NA
-820,2770,4.385,0.86,197,0.86,NA
-822,2772,4.388,0.82,198,0.82,NA
-828,2778,4.395,0.99,199,0.99,NA
-830,2780,4.411,NA,200,10,10
-850,2800,4.432,0.7,201,0.7,NA
-914,2864,4.515,0.28,202,0.28,NA
-1042,2992,4.684,0.24,203,0.24,NA
-1048,2998,4.691,0.09,204,0.09,NA
-1050,3000,4.694,NA,205,7,7
-1064,3014,4.715,0.12,206,0.12,NA
-1078,3028,4.73,0.6,207,0.06,NA
-1081,3031,4.733,0.12,208,0.12,NA
-1174,3124,4.845,0.48,209,0.48,NA
-1223,3173,4.896,0.1,210,0.1,NA
-1308,3258,4.992,0.2,211,0.2,NA
-1312,3262,4.996,0.1,212,0.1,NA
-1317,3267,5.003,0.22,213,0.22,NA
-1322,3272,5.008,0.7,214,0.7,NA
-1330,3280,5.016,0.22,215,0.22,NA
-1335,3285,5.022,0.18,216,0.18,NA
-1336,3286,5.023,0.12,217,0.12,NA
-1337,3287,5.024,0.22,218,0.22,NA
-1338,3288,5.025,NA,219,2.4,2.4
-1370,3320,5.058,0.1,220,0.1,NA
-1375,3325,5.063,0.5,221,0.5,NA
-1415,3365,5.103,0.1,222,0.1,NA
-1416,3366,5.104,0.34,223,0.34,NA
-1417,3367,5.105,0.2,224,0.2,NA
-1418,3368,5.116,0.2,225,0.2,NA
-1419,3369,5.117,NA,226,1.8,1.8
-1510,3460,5.245,0.24,227,0.24,NA
-1515,3465,5.25,0.44,228,0.44,NA
-1516,3466,5.252,0.3,229,0.3,NA
-1572,3522,5.315,0.18,230,0.18,NA
-1577,3527,5.323,0.28,231,0.28,NA
-1582,3532,5.329,0.12,232,0.12,NA
-1588,3538,5.335,NA,233,5,5
-1664,3614,5.419,2.2,234,2.2,NA
-1773,3723,5.535,1,235,1,NA
-1780,3730,5.543,1,236,0.35,NA
-1832,3782,5.614,0.05,237,0.05,NA
-1857,3807,5.648,NA,238,3.5,3.5
-1858,3808,5.649,NA,239,2.3,2.3
-1870,3820,5.665,1.4,240,1.4,NA
-1920,3870,5.725,0.25,241,0.25,NA
-1983,3933,5.795,0.3,242,0.3,NA
-2006,3956,5.82,NA,243,7.5,7.5
-2056,4006,5.874,0.25,244,0.25,NA
-2154,4104,5.98,1,245,1,NA
-2196,4146,6.025,0.6,246,0.6,NA
-2341,4291,6.153,0.15,247,0.15,NA
-2385,4335,6.188,0.25,248,0.25,NA
-2521,4471,6.297,0.22,249,0.22,NA
-2528,4478,6.302,0.1,250,0.1,NA
-2530,4480,6.304,0.2,251,0.2,NA
-2541,4491,6.313,NA,252,4.5,4.5
-2600,4550,6.36,0.3,253,0.3,NA
-2671,4621,6.417,0.35,254,0.35,NA
-2680,4630,6.424,0.2,255,0.2,NA
-2701,4651,6.441,0.15,256,0.15,NA
-2734,4684,6.47,0.15,257,0.15,NA
-2763,4713,6.49,0.25,258,0.25,NA
-2773,4723,6.498,NA,259,2.5,2.5
-2815,4765,6.534,0.8,260,0.8,NA
-2830,4780,6.546,0.05,261,0.05,NA
-2901,4851,6.607,0.15,262,0.15,NA
-2910,4860,6.614,NA,263,8,8
-2926,4876,6.628,1.5,264,1.5,NA
-2944,4894,6.633,0.9,265,0.9,NA
-2945,4895,6.644,0.8,266,0.8,NA
-3032,4982,6.718,0.9,267,0.9,NA
-3077,5027,6.756,0.7,268,0.7,NA
-3098,5048,6.774,0.7,269,0.7,NA
-3099,5049,6.775,NA,270,1.4,1.4
-3122,5072,6.795,0.9,271,0.9,NA
-3147,5097,6.816,0.9,272,0.9,NA
-3149,5099,6.818,0.5,273,0.5,NA
-3152,5102,6.82,0.6,274,0.6,NA
-3156,5106,6.824,NA,275,3,3
-3322,5272,6.965,1,276,1,NA
-3334,5284,6.975,0.4,277,0.4,NA
-3392,5342,7.025,1.5,278,1.5,NA
-3428,5378,7.058,0.9,279,0.9,NA
-3434,5384,7.06,0.5,280,0.5,NA
-3445,5395,7.07,0.9,281,0.9,NA
-3455,5405,7.078,NA,282,2.5,2.5
-3480,5430,7.099,0.8,283,0.8,NA
-3564,5514,7.17,0.5,284,0.5,NA
-3585,5535,7.188,1.3,285,1.3,NA
-3646,5596,7.24,0.6,286,0.6,NA
-3746,5696,7.325,0.4,287,0.4,NA
-3757,5707,7.334,0.6,288,0.6,NA
-3804,5754,7.374,0.9,289,0.9,NA
-3828,5778,7.395,NA,290,5,5
-3849,5799,7.413,0.7,291,0.7,NA
-3864,5814,7.425,0.8,292,0.8,NA
-3875,5825,7.435,0.3,293,0.3,NA
-3961,5911,7.508,NA,294,3,3
-3975,5925,7.52,1,295,1,NA
-4016,5966,7.555,0.3,296,0.3,NA
-4027,5977,7.564,0.9,297,0.9,NA
-4163,6113,7.68,NA,298,5,5
-4187,6137,7.7,1,299,1,NA
-4193,6143,7.705,1,300,1,NA
-4211,6161,7.724,0.4,301,0.4,NA
-4281,6231,7.78,1.7,302,1.7,NA
-4357,6307,7.845,0.3,303,0.3,NA
-4428,6378,7.905,0.7,304,0.7,NA
-4461,6411,7.933,NA,305,0.9,0.9
-4469,6419,7.94,0.9,306,0.9,NA
-4499,6449,7.965,0.9,307,0.9,NA
-4505,6455,7.97,1,308,1,NA
-4511,6461,7.975,1.1,309,1.1,NA
-4674,6624,8.113,NA,310,1.4,1.4
-4689,6639,8.125,0.9,311,0.9,NA
-4742,6692,8.167,NA,312,32,32
-4789,6739,8.205,0.4,313,0.4,NA
-4827,6777,8.235,0.4,314,0.4,NA
-4852,6802,8.255,0.8,315,0.8,NA
-5124,7074,8.473,1.1,316,1.1,NA
-5127,7077,8.475,0.3,317,0.3,NA
-5146,7096,8.49,1.2,318,1.2,NA
