depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
11,Carbon-14,110659,50,3690,organic sediment,NA
21,Carbon-14,110660,60,3680,organic sediment,NA
31,Carbon-14,110661,60,5120,organic sediment,NA
41,Carbon-14,110662,60,5360,organic sediment,NA
61,Carbon-14,110663,60,6180,organic sediment,NA
