year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,10.905,0,21.809
1850,100,11.208,0,22.415
1800,150,11.511,0,23.021
1750,200,11.814,0,23.627
1700,250,12.117,0,24.233
1650,300,12.42,0,24.839
1600,350,12.723,0,25.445
1550,400,13.026,0,26.052
1500,450,13.329,0,26.658
1450,500,13.632,0,27.264
1400,550,13.935,0,27.87
1350,600,14.988,0,29.977
1300,650,16.146,0,32.293
1250,700,17.409,0,34.818
1200,750,18.025,0,36.05
1150,800,18.642,0,37.283
1100,850,22.778,1.656,43.899
1050,900,26.982,3.364,50.601
1000,950,32.182,5.123,59.241
950,1000,33.004,5.277,60.732
900,1050,43.697,16.581,70.813
850,1100,48.209,23.331,73.088
800,1150,46.827,23.436,70.217
750,1200,33.47,10.424,56.517
700,1250,25.188,1.915,48.46
650,1300,23.544,0,47.089
600,1350,23.824,0,47.647
550,1400,24.103,0,48.206
500,1450,24.382,0,48.764
450,1500,24.661,0,49.323
400,1550,24.941,0,49.881
350,1600,25.22,0,50.44
300,1650,25.499,0,50.998
250,1700,25.778,0,51.557
200,1750,26.057,0,52.115
150,1800,26.337,0,52.673
100,1850,26.622,0,53.245
50,1900,26.92,0,53.841
0,1950,27.23,0,54.461
-50,2000,27.547,0,55.093
-100,2050,32.281,2.348,62.213
-150,2100,42.186,10.659,73.713
-200,2150,53.91,21.463,86.357
-250,2200,60.208,30.038,90.377
-300,2250,69.073,34.973,103.173
-350,2300,96.892,45.301,148.483
-400,2350,89.175,36.885,141.466
-450,2400,74.15,23.638,124.661
-500,2450,48.976,7.313,90.638
-550,2500,52.735,7.392,98.079
-600,2550,52.695,10.004,95.387
-650,2600,39.59,5.197,73.984
-700,2650,34.096,2.612,65.581
-750,2700,31.964,0,63.928
-800,2750,32.209,0,64.418
-850,2800,32.39,0,64.78
-900,2850,35.067,2.72,67.414
-950,2900,37.762,5.451,70.074
-1000,2950,40.476,8.191,72.76
-1050,3000,40.657,8.223,73.09
-1100,3050,40.837,8.254,73.42
-1150,3100,51.341,10.801,91.88
-1200,3150,82.363,26.657,138.069
-1250,3200,114.766,45.333,184.198
-1300,3250,140.339,68.541,212.136
-1350,3300,146.803,81.322,212.284
-1400,3350,150.492,88.55,212.433
-1450,3400,150.697,88.814,212.581
-1500,3450,149.516,86.303,212.729
-1550,3500,146.144,79.411,212.878
-1600,3550,126.41,63.381,189.439
-1650,3600,106.662,47.286,166.037
-1700,3650,92.595,41.293,143.898
-1750,3700,94.27,44.399,144.141
-1800,3750,90.134,45.034,135.235
-1850,3800,83.9,42.703,125.098
-1900,3850,77.656,40.353,114.96
-1950,3900,75.971,40.455,111.488
-2000,3950,71.537,37.545,105.53
-2050,4000,69.577,34.627,104.526
-2100,4050,68.85,31.702,105.997
-2150,4100,70.866,31.781,109.95
-2200,4150,71.021,31.86,110.183
-2250,4200,69.304,31.94,106.669
-2300,4250,70.363,35.076,105.651
-2350,4300,68.643,35.158,102.127
-2400,4350,68.802,35.251,102.352
-2450,4400,66.192,32.3,100.085
-2500,4450,59.376,24.669,94.083
-2550,4500,52.561,17.014,88.109
-2600,4550,45.768,9.341,82.195
-2650,4600,45.979,9.39,82.568
-2700,4650,46.166,9.434,82.899
-2750,4700,46.31,9.467,83.153
-2800,4750,46.419,9.492,83.347
-2850,4800,46.528,9.516,83.541
-2900,4850,49.107,9.54,88.674
-2950,4900,51.677,9.561,93.792
-3000,4950,54.237,9.579,98.895
-3050,5000,54.319,9.595,99.042
-3100,5050,54.4,9.61,99.19
-3150,5100,54.482,9.626,99.338
-3200,5150,54.563,9.642,99.485
-3250,5200,54.645,9.657,99.633
-3300,5250,52.489,6.443,98.535
-3350,5300,52.57,6.459,98.682
-3400,5350,52.652,6.474,98.83
-3450,5400,54.971,9.719,100.223
-3500,5450,59.741,17.86,101.622
-3550,5500,64.517,26.013,103.022
-3600,5550,72.185,37.44,106.93
-3650,5600,75.176,40.76,109.591
-3700,5650,78.17,44.085,112.255
-3750,5700,88.516,55.816,121.217
-3800,5750,98.976,67.764,130.188
-3850,5800,109.548,79.929,139.167
-3900,5850,107.701,77.26,138.142
-3950,5900,99.168,66.01,132.326
-4000,5950,90.61,54.654,126.565
