depth (cm),age (yrBP),laboratory number (NA),error (yr),type (NA)
145,2240,Beta-65197,90,AMS14C
285,4710,Beta-65198,80,AMS14C
421.5,6730,Mazama Ash,40,tephra
525,8440,Beta-50821,80,AMS14C
675,10270,Beta-50822,70,AMS14C
765,11900,TABRH002,400,AMS14C
