depth (cm),age (Calibrated),temperature (degC),OriginalSampleID (missing),uncertaintyHigh (missing),uncertaintyLow (missing),ReliabIeYN1 (missing)
70-80,0,16.857,70-80,0.958,0.958,y
90-95,1216,16.886,90-95,0.983,0.983,y
95-100,1520,16.587,95-100,0.959,0.959,y
105-110,2128,16.197,105-110,1.025,1.025,y
115-120,2736,16.535,115-120,1.037,1.037,y
120-125,3040,16.525,120-125,0.987,0.987,y
130-135,3647,15.572,130-135,0.991,0.991,y
135-140,3815,16.187,135-140,0.979,0.979,y
145-150,3968,15.948,145-150,1.054,1.054,y
155-160,4121,16.132,155-160,1.003,1.003,y
160-165,4197,15.972,160-165,1.03,1.03,y
170-175,4350,15.885,170-175,0.971,0.971,y
175-180,4426,16.863,175-180,0.961,0.961,y
180-185,4503,16.712,180-185,0.963,0.963,y
185-190,4579,15.958,185-190,1.002,1.002,y
190-195,4656,15.852,190-195,1.102,1.102,y
195-200,4732,15.855,195-200,1.064,1.064,y
205-210,4885,16.691,205-210,0.959,0.959,y
220-225,5115,17.793,220-225,0.946,0.946,y
235-240,5317,17.556,235-240,0.966,0.966,y
245-250,5443,15.807,245-250,0.966,0.966,y
250-255,5506,17.825,250-255,0.95,0.95,y
265-270,5696,17.806,265-270,0.947,0.947,y
275-280,5822,16.984,275-280,0.967,0.967,y
280-285,5885,16.672,280-285,0.976,0.976,y
295-300,6074,16.847,295-300,0.976,0.976,y
310-315,6263,17.694,310-315,0.964,0.964,y
325-330,6453,17.889,325-330,0.966,0.966,y
340-345,6642,17.492,340-345,0.969,0.969,y
350-355,6768,16.535,350-355,0.974,0.974,y
355-360,6831,17.477,355-360,0.968,0.968,y
360-370,6894,17.193,360-370,0.967,0.967,y
370-378,7106,16.676,370-378,0.989,0.989,y
380-385,7319,17.463,380-385,0.946,0.946,y
395-398,7781,16.645,395-398,0.983,0.983,y
405-410,8282,17.344,405-410,0.95,0.95,y
419-423,8783,15.665,419-423,0.976,0.976,y
423-425,9184,16.015,423-425,1.002,1.002,n
425-430,9284,15.623,425-430,0.983,0.983,y
430-435,9534,16.227,430-435,1.004,1.004,y
435-440,9785,16.628,435-440,0.969,0.969,y
440-445,10035,17.217,440-445,0.963,0.963,y
