age (BP),temperature (degC)
-24.346,6.354
99.435,6.443
223.189,6.384
346.911,6.494
470.578,6.491
594.179,6.458
717.694,6.489
841.105,6.537
964.397,6.434
1087.551,6.441
1210.552,6.457
1333.382,6.522
1456.024,6.482
1578.461,6.479
1700.676,6.621
1822.652,6.501
1944.372,6.444
2065.819,6.388
2186.977,6.475
2307.828,6.326
2428.355,6.536
2548.541,6.62
2668.369,6.124
2787.822,6.5
2906.853,6.456
3025.356,6.58
3143.219,6.261
3260.33,6.344
3376.578,6.477
3491.85,6.296
3606.033,6.472
3719.017,6.44
3830.689,6.359
3940.936,6.6
4049.647,6.559
4156.71,6.393
4262.013,6.541
4365.443,6.473
4466.888,6.546
4566.238,6.418
4663.378,6.466
4758.198,6.247
4850.585,6.44
4940.428,6.196
5027.613,6.577
5112.03,6.618
5493.755,6.652
5820.023,6.703
6107.404,6.728
6372.466,6.551
6631.776,6.689
6901.902,7.8
7195.322,6.3
7502.381,6.525
7655.682,7.013
7805.979,6.507
8607.961,6.908
9065.553,7.8
10268.932,6.53
