depth (m),age (BP),planktic.d18O (permil),planktic.MgCa (mmol_mol),temperature (degC),uncertainty.temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),temperature (degC),uncertainty.temperature (degC)
0.02,350,-2.3,NA,NA,NA,NA,NA,NA,NA
0.04,490,-2.04,4.87,27.68,1.24,-1.29,3.06,24.33,0.81
0.06,600,-1.97,4.63,28.35,1.2,-1.19,3.37,25.41,0.87
0.08,750,-1.97,4.45,27.78,1.17,NA,3.08,24.43,0.82
0.1,930,-2.12,4.74,27.34,1.22,-1.31,3.05,24.31,0.81
0.12,1080,-1.95,4.79,28.04,1.22,NA,3.23,24.94,0.84
0.14,1230,-2.13,4.54,28.15,1.19,-1.07,2.9,23.73,0.78
0.16,1400,-1.96,4.73,27.55,1.21,-1.26,3.02,24.21,0.8
0.18,1550,-2.17,4.69,28.01,1.21,NA,3.14,24.65,0.83
0.2,1710,-1.99,4.44,27.93,1.17,-1.03,2.85,23.54,0.77
0.22,1860,-2.12,4.53,27.31,1.18,NA,2.71,22.98,0.74
0.24,2020,-2.1,4.29,27.53,1.15,-1.14,3.15,24.67,0.83
0.26,2180,-2.22,4.8,26.93,1.22,-1.48,2.88,23.68,0.78
0.28,2330,-2.05,4.99,28.19,1.25,NA,2.72,23.03,0.74
0.3,2510,-2.37,4.43,28.61,1.17,-1.27,2.73,23.06,0.74
0.32,2670,-2.15,4.71,27.3,1.21,NA,2.75,23.16,0.75
0.34,2840,-2.01,4.78,27.97,1.22,-0.9,2.78,23.29,0.75
0.36,3010,-2.13,4.53,28.14,1.18,-1,2.88,23.66,0.77
0.38,3180,-2.04,4.32,27.54,1.15,NA,3.07,24.38,0.81
0.4,3350,-2.26,5.17,27.01,1.28,-1.16,2.93,23.88,0.79
0.42,3520,NA,4.72,29.01,1.21,NA,2.68,22.89,0.73
0.44,3680,-2.2,4.44,27.99,1.17,-0.74,2.82,23.46,0.76
0.46,3850,-2.05,4.36,27.31,1.16,-0.9,2.7,22.95,0.74
0.48,4000,-1.9,4.5,27.12,1.18,NA,2.69,22.91,0.74
0.5,4150,-2.1,4.63,27.46,1.2,-1.03,2.83,23.47,0.76
0.52,4310,-2.08,4.51,27.77,1.18,NA,2.52,22.2,0.7
0.54,4420,-2.04,4.91,27.48,1.24,-1.11,2.83,23.48,0.76
0.56,4550,-2.03,4.75,28.43,1.22,-1.12,2.74,23.11,0.75
0.58,4670,-1.94,4.57,28.07,1.19,NA,2.6,22.55,0.72
0.6,4770,-1.88,4.53,27.63,1.18,-1.08,2.65,22.75,0.73
0.62,4850,-2.12,4.65,27.53,1.2,NA,2.76,23.22,0.75
0.64,4960,-2.11,4.9,27.83,1.24,-1.14,2.95,23.92,0.79
0.66,5060,-1.93,4.67,28.42,1.2,-0.93,2.67,22.84,0.73
0.68,5160,-2.07,4.72,27.87,1.21,NA,2.69,22.93,0.74
0.7,5270,-2.15,4.61,28,1.2,-1.07,2.97,24.01,0.79
0.72,5360,NA,4.47,27.73,1.18,NA,2.71,23,0.74
0.74,5470,-1.92,4.96,27.39,1.25,-1.05,3.04,24.29,0.81
0.76,5570,-2.12,4.64,28.54,1.2,-0.83,2.55,22.3,0.7
0.78,5670,-2.06,4.45,27.8,1.17,NA,2.6,22.53,0.72
0.8,5780,-2.18,4.72,27.34,1.21,-0.97,2.61,22.58,0.72
0.82,5890,-1.93,4.99,28,1.25,NA,3.11,24.54,0.82
0.84,5990,-1.98,4.83,28.61,1.23,-1.06,2.76,23.21,0.75
0.86,6110,-1.95,4.27,28.26,1.15,-1.03,2.74,23.1,0.74
0.88,6220,-2.13,4.38,26.89,1.16,NA,2.72,23.03,0.74
0.9,6320,-2.05,4.34,27.16,1.16,-1.15,2.8,23.35,0.76
0.92,6430,-2.26,4.55,27.07,1.19,NA,2.78,23.28,0.75
0.94,6530,-2.03,4.37,27.58,1.16,-0.78,2.66,22.78,0.73
0.96,6630,-1.97,4.48,27.14,1.18,-0.98,2.51,22.16,0.7
