age (yr BP),depth (cm),sample ID (NaN),error (yr),thickness (cm)
-54.1,1,Pb-210,1.1,1
-52.9,2,Pb-210,1.2,1
-52.9,3,Pb-210,1.1,1
-51.7,4,Pb-210,1.2,1
-50.3,5,Pb-210,1.2,1
-49,6,Pb-210,1.2,1
-47.1,7,Pb-210,1.2,1
-45,8,Pb-210,1.2,1
-43.1,9,Pb-210,1.3,1
-42.5,10,Pb-210,1.3,1
-39.9,11,Pb-210,1.3,1
-38.5,12,Pb-210,1.3,1
-35.7,13,Pb-210,1.4,1
-33.6,14,Pb-210,1.4,1
-30.4,15,Pb-210,1.4,1
-27.5,16,Pb-210,1.5,1
-24.1,17,Pb-210,1.5,1
-19.5,18,Pb-210,1.6,1
-13.1,19,Pb-210,1.6,1
-8.1,20,Pb-210,1.7,1
-0.5,21,Pb-210,1.7,1
9.5,22,Pb-210,1.6,1
21.4,23,Pb-210,1.1,1
250,37.5,AMS14C,15,1
800,43,AMS14C,100,1
470,54.3,Helens Wn Tephra,2,1
920,63.5,AMS14C,25,1
1220,75.5,AMS14C,25,1
2035,105.5,AMS14C,30,1
3685,112.3,AMS14C,20,1
6540,137.3,AMS14C,20,1
3245,158.9,AMS14C,20,1
4530,173.6,AMS14C,20,1
4410,211.9,AMS14C,20,1
5310,246.1,AMS14C,20,1
6590,295.9,AMS14C,20,1
6730,306.4,Mazam Tephra,40,1
