depth (mm),year (AD),age (BP),age (1s),thickness (cm2yr-1),depth.top (mm),mineral_flux (gomcm2yr-1),CCA1 (mm)
10,1904,46,70,NA,0,NA,10
19,1810.6,139.4,132.853,0.12,10,0,9
30,1763.19,186.81,135.406,0.217,19,0.001,11
38,1731.062,218.938,137.069,0.17,30,0.001,8
47,1693.676,256.325,138.482,0.22,38,0.001,9
53,1668.514,281.486,139.338,0.291,47,0.002,6
65,1618.34,331.66,140.733,0.269,53,0.001,12
74,1580.864,369.136,141.449,0.313,65,0.001,9
83,1543.316,406.684,142.086,0.261,74,0.001,9
94,1497.248,452.752,142.67,0.352,83,0.001,11
107,1443.011,506.99,142.843,0.27,94,0.001,13
118,1397.267,552.733,142.615,0.266,107,0.001,11
131,1342.888,607.112,141.961,0.265,118,0.001,13
143,1292.693,657.307,141.124,0.336,131,0.001,12
154,1246.834,703.166,139.891,0.303,143,0.001,11
166,1196.77,753.23,138.195,0.283,154,0.001,12
175,1159.195,790.805,136.659,0.247,166,0.001,9
183,1125.804,824.196,135.205,0.261,175,0.001,8
190,1096.6,853.4,133.805,0.215,183,0.002,7
197,1067.396,882.604,132.405,0.211,190,0.002,7
206,1029.94,920.06,129.976,0.18,197,0.001,9
215,992.529,957.471,127.232,0.193,206,0.002,9
222,963.271,986.729,125.015,0.164,215,0.002,7
233,916.658,1033.342,121.205,0.167,222,0.001,11
242,878.675,1071.325,117.877,0.148,233,0.001,9
252,837.073,1112.927,113.362,0.146,242,0.001,10
262,795.458,1154.542,108.601,0.165,252,0.001,10
273,749.629,1200.371,102.279,0.133,262,0.001,11
283,707.915,1242.085,96.088,0.126,273,0.001,10
292,670.264,1279.736,89.585,0.137,283,0.001,9
302,628.449,1321.551,81.821,0.145,292,0.001,10
314,578.36,1371.64,69.923,0.143,302,0.001,12
323,540.794,1409.206,59.718,0.147,314,0.001,9
333,499.053,1450.947,45.529,0.115,323,0.001,10
343,457.59,1492.41,59.845,0.109,333,0.001,10
351,423.904,1526.096,68.862,0.12,343,0.001,8
360,386.006,1563.994,79.006,0.129,351,0.001,9
368,352.818,1597.182,85.009,0.105,360,0.001,8
382,294.623,1655.377,95.224,0.146,368,0.001,14
392,252.556,1697.444,101.279,0.116,382,0.001,10
402,210.486,1739.514,107.097,0.141,392,0.001,10
412,168.403,1781.597,111.965,0.123,402,0.001,10
422,126.475,1823.525,116.59,0.117,412,0.001,10
432,85.163,1864.837,120.243,0.13,422,0.001,10
442,43.69,1906.31,123.748,0.125,432,0.001,10
452,1.573,1948.427,126.66,0.127,442,0.001,10
462,-40.478,1990.478,129.486,0.13,452,0.001,10
472,-82.26,2032.26,131.969,0.131,462,0.001,10
482,-124.061,2074.061,134.299,0.152,472,0.001,10
492,-165.937,2115.937,136.016,0.126,482,0.001,10
502,-207.803,2157.803,137.649,0.129,492,0.001,10
512,-249.635,2199.635,138.942,0.132,502,0.001,10
