depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
25,42,21.371,-5.929,8.136,860.143
30,81,21.086,-6.771,7.712,863.714
35,208,21.029,-6.586,7.693,847.429
40,423,21.371,-6.429,7.974,834.286
45,638,21.086,-6.471,7.857,874.286
50,853,20.714,-6.857,7.39,851.286
55,1068,21.4,-6.229,8.175,853.286
60,1283,21.343,-6.443,7.979,816.857
65,1498,21.429,-6.029,8.319,914.143
70,1713,21.586,-6.257,8.306,859.429
75,1928,20.586,-6.886,7.288,897.286
80,2143,21.529,-5.929,8.279,852.571
85,2358,21.314,-5.5,8.335,902.143
90,2573,21.671,-5.714,8.507,863.714
95,2855,21.543,-5.2,8.671,929.286
100,3404,21.486,-5.914,8.208,874.714
105,3954,20.486,-7.214,7.111,854
110,4503,21.157,-5.786,8.143,911.714
115,5053,20.429,-6.8,7.273,884.429
120,5602,20.629,-7.071,7.137,834.571
125,6152,20.729,-6.386,7.662,899.857
130,6701,19.914,-8.829,6.114,837
135,7250,19.957,-8.971,6.071,828.286
140,7353,20.414,-8.571,6.505,825.571
145,7455,19.771,-9,5.948,832.143
150,7558,20.243,-7.557,6.848,862.429
155,7660,20,-9.443,5.945,832.857
160,7762,20.1,-9.757,5.857,815.429
165,7865,19.957,-9.129,6.017,836.286
170,7967,19.614,-9.329,5.764,868.714
175,8070,19.957,-9.071,6.051,858.286
180,8172,19.886,-10.557,5.462,823.571
185,8274,20,-10.4,5.626,801.143
190,8377,19.914,-9.429,5.871,819.429
195,8479,19.943,-9.557,5.873,818.143
200,8582,20.414,-8.571,6.505,825.571
205,8684,19.943,-9.557,5.873,818.143
210,8786,19.957,-11.857,5.075,796
215,8889,18.986,-12.671,4.181,737.571
220,8991,19.614,-12.457,4.615,794.429
225,9093,19.8,-11.071,5.271,798.429
230,9196,19.757,-11.557,5.019,794.286
235,9298,19.957,-10.929,5.411,803.143
240,9401,20.314,-9.871,6.023,793
245,9503,20,-10.4,5.626,801.143
250,9605,19.843,-8.629,6.051,764.143
255,9669,20.086,-10.957,5.524,819
260,9733,20.271,-9.986,5.949,780.714
265,9797,20.071,-10.757,5.57,825.429
270,9861,20.171,-10.171,5.76,761.143
275,9924,20.086,-10.957,5.524,819
280,9988,18.914,-10.257,4.769,815.286
286,10065,19.743,-11.957,4.939,796.571
290,10116,19.457,-10.614,5.05,787.714
295,10180,19.8,-11.071,5.271,798.429
300,10243,19.771,-10.357,5.394,775.714
305,10307,20.086,-10.957,5.524,819
310,10371,20.171,-10.129,5.792,761
315,10435,20.086,-10.957,5.524,819
320,10499,19.386,-10.2,5.135,786.857
325,10562,19.8,-11.071,5.271,798.429
330,10626,19.2,-8.957,5.462,785
335,10690,20.014,-10.6,5.58,794.714
340,10754,19.086,-10.371,4.895,789.143
345,10818,20.029,-11.343,5.32,805.429
350,10881,18.914,-10.8,4.623,802.286
355,10945,20.086,-11.014,5.493,817.571
360,11009,NA,NA,NA,NA
365,11073,NA,NA,NA,NA
370,11137,NA,NA,NA,NA
375,11200,NA,NA,NA,NA
380,11264,NA,NA,NA,NA
385,11328,NA,NA,NA,NA
390,11392,NA,NA,NA,NA
395,11456,NA,NA,NA,NA
400,11519,NA,NA,NA,NA
405,11612,NA,NA,NA,NA
410,11704,NA,NA,NA,NA
415,11796,NA,NA,NA,NA
420,11896,NA,NA,NA,NA
425,12008,NA,NA,NA,NA
430,12119,NA,NA,NA,NA
435,12231,NA,NA,NA,NA
440,12342,NA,NA,NA,NA
445,12454,NA,NA,NA,NA
450,12566,NA,NA,NA,NA
455,12677,NA,NA,NA,NA
460,12789,NA,NA,NA,NA
465,12900,NA,NA,NA,NA
470,13012,NA,NA,NA,NA
475,13123,NA,NA,NA,NA
480,13235,NA,NA,NA,NA
485,13346,NA,NA,NA,NA
490,13458,NA,NA,NA,NA
495,13569,NA,NA,NA,NA
