age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1 sd),thickness (mm),age_type (),material_dated ()
-23,837,8370,8370,NA,NA,0,2,NA
NA,849.5,8490,8500,570,50,10,1,1
NA,865.75,8655,8660,1780,65,5,1,1
NA,897.75,8975,8980,3630,70,5,1,1
NA,915.75,9155,9160,4350,65,5,1,1
NA,936.75,9365,9370,5705,90,5,1,1
NA,958.75,9585,9590,7155,80,5,1,1
NA,974.75,9745,9750,8225,85,5,1,1
NA,979.5,9790,9800,9210,95,10,1,1
