depth (cm),age (BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,0.7,13.971,-8.957,2.283,614.429
2,14.4,12.586,-9.914,1.05,637.143
7,82.9,14.1,-8.857,2.402,610.714
12,151.4,14.843,-8.357,3.054,595.857
17,219.9,13.7,-8.986,2.098,628.571
22,288.4,13.686,-9.171,2.017,616.571
27,356.9,14.014,-8.9,2.321,610.143
32,425.4,12.714,-9.7,1.208,643.571
37,493.8,11.557,-10.6,0.195,634
42,562.3,12.6,-9.971,1.081,605.143
47,630.8,13.686,-9.143,2.029,617.571
52,699.3,13.114,-9.571,1.513,625.714
57,767.8,13.157,-9.514,1.554,628
62,836.3,12.643,-9.914,1.121,607.429
67,904.8,13.686,-9.143,2.029,617.571
72,973.3,13.686,-9.143,2.029,617.571
77,1041.8,12.586,-9.914,1.05,637.143
82,1110.3,14.014,-8.929,2.31,609.143
87,1178.8,12.943,-9.671,1.369,631.714
92,1247.3,13.543,-9.1,1.956,631.429
97,1315.8,13.114,-9.571,1.513,625.714
101,1370.6,14.1,-8.857,2.402,610.714
105,1425.4,13.529,-9.257,1.899,619.857
110,1493.8,13.671,-9.157,2.007,613.857
116,1576,14.843,-8.329,3.065,596.857
121,1644.5,13.529,-9.286,1.887,618.857
126,1713,11.714,-10.4,0.352,664.286
129,1754.1,11.714,-10.4,0.356,663.857
132,1795.2,11.943,-10.386,0.474,647.714
134,1822.6,12.243,-10.1,0.771,648.571
137,1863.7,11.271,-10.714,-0.048,671.286
139,1891.1,13,-9.629,1.424,630.286
142,1932.2,13.157,-9.514,1.554,628
147,2000.7,13,-9.629,1.424,630.286
153,2082.9,13.686,-9.143,2.029,617.571
158,2151.4,13.114,-9.571,1.513,625.714
161,2192.5,13,-9.629,1.424,630.286
163,2219.9,12.586,-9.914,1.05,637.143
166,2261,13.686,-9.171,2.017,616.571
168,2288.4,14.429,-8.643,2.683,602.286
190,2589.7,13.557,-9.086,1.973,546.857
195,2702.8,13.471,-9.229,1.871,628.857
200,2882.8,11.329,-10.6,0.039,596.143
202,2954.8,12.971,-9.429,1.479,564.143
207,3134.8,13.5,-9.057,1.939,638.571
212,3314.8,13.5,-9.057,1.939,638.571
216,3458.8,13.5,-9.057,1.939,638.571
221,3638.7,11.843,-10.357,0.433,574
226,3818.7,13.5,-9.057,1.939,638.571
230,3962.7,13.886,-8.843,2.265,539.429
235,4142.7,11.629,-10.314,0.313,594.857
240,4322.7,11.843,-10.357,0.433,574
247,4574.6,12.786,-9.571,1.324,658.143
249,4646.6,11.614,-10.286,0.331,599
258,4970.6,10.914,-10.886,-0.331,602.571
267,5294.6,12.043,-10.029,0.683,588.429
270,5402.6,10.929,-10.871,-0.318,602.429
272,5474.6,12.043,-10.029,0.683,588.429
277,5654.5,11.443,-10.543,0.132,677
281,5798.5,11.714,-10.243,0.4,595.714
286,5978.5,13.671,-9.029,2.064,630.857
291,6158.5,12.957,-9.5,1.44,555.286
293,6230.5,10.8,-10.943,-0.424,607.571
295,6302.5,12.157,-9.971,0.775,672.429
298,6410.5,13.3,-9.229,1.764,644.286
300,6482.5,12.157,-9.971,0.775,672.429
