depth (m),age (BP),deep.temp (degC),temperature (degC),d18O (permil),Mg/Ca (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil),depth (m),age (BP),CaCO3 (percent),depth (m),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil),planktic.d18O (permil)
0.01,0,NA,NA,NA,NA,NA,0.83,0.04,221,5.1,0.17,1185,22.749,-0.916,3.997,NA,0.986
0.02,70,NA,NA,NA,NA,NA,0.9,0.045,257,5.2,0.18,1230,23.148,-0.929,3.461,NA,0.982
0.03,150,NA,NA,NA,NA,NA,1,0.05,294,5.3,0.19,1332,23.911,-1.259,3.605,NA,1.005
0.04,220,NA,NA,NA,NA,NA,1.03,0.055,331,5.3,0.2,1435,23.675,-1.23,3.897,NA,0.91
0.05,290,NA,NA,NA,NA,NA,0.94,0.06,368,5.4,0.21,1537,23.006,-0.923,3.804,NA,0.961
0.06,370,NA,NA,NA,NA,NA,1.06,0.065,404,5.1,0.22,1639,23.452,-0.986,3.553,NA,0.815
0.07,440,NA,NA,NA,NA,NA,1.14,0.07,441,5.1,0.23,1742,24.957,-0.715,3.718,NA,0.994
0.08,510,NA,NA,NA,NA,NA,0.97,0.075,478,5.3,0.24,1844,23.996,-1.001,4.335,NA,0.961
0.09,590,NA,NA,NA,NA,NA,0.97,0.08,515,5.1,0.25,1946,24.138,-0.644,3.93,NA,0.976
0.1,660,NA,NA,NA,NA,NA,0.61,0.085,551,5.3,0.26,2049,24.224,-0.922,3.988,NA,1.122
0.11,740,NA,NA,NA,NA,NA,1.02,0.09,588,5.2,0.27,2151,22.856,-0.619,4.023,NA,1.036
0.12,810,NA,NA,NA,NA,NA,0.83,0.095,625,5.2,0.28,2254,23.118,-0.929,3.499,NA,0.929
0.13,880,NA,NA,NA,NA,NA,1.11,0.1,662,5.4,0.29,2356,23.249,-0.81,3.594,NA,0.912
0.14,960,NA,NA,NA,NA,NA,0.93,0.105,699,5.6,0.3,2458,25.026,-0.874,3.642,NA,NA
0.15,1030,NA,NA,NA,NA,NA,0.77,0.11,735,5.3,0.31,2561,23.538,-0.743,4.366,NA,0.936
0.16,1100,NA,NA,NA,NA,NA,0.93,0.115,772,5.3,0.32,2663,23.316,-0.931,3.751,NA,0.788
0.17,1180,NA,NA,NA,NA,NA,0.99,0.12,809,5.3,0.33,2765,22.343,-0.721,3.667,NA,0.869
0.18,1250,NA,NA,NA,NA,NA,0.98,0.125,846,5.4,0.34,2868,22.474,-0.644,3.321,NA,0.968
0.19,1350,NA,NA,NA,NA,NA,1,0.13,882,5.6,0.35,2970,22.953,-1.048,3.366,NA,1.051
0.2,1450,NA,NA,NA,NA,NA,0.91,0.135,919,6,0.36,3065,22.78,-0.915,3.534,NA,1.107
0.21,1550,NA,NA,NA,NA,NA,0.96,0.14,956,5.8,0.37,3160,23.142,-0.824,3.472,NA,0.924
0.22,1650,NA,NA,NA,NA,NA,0.81,0.145,993,6.1,0.38,3255,23.093,-0.477,3.603,NA,0.887
0.23,1750,NA,NA,NA,NA,NA,0.99,0.15,1029,6.2,0.39,3350,24.048,-0.811,3.585,NA,0.928
0.24,1850,NA,NA,NA,NA,NA,0.96,0.155,1066,5.9,0.4,3445,22.589,-0.955,3.952,NA,1.173
0.25,1950,NA,NA,NA,NA,NA,0.98,0.16,1103,6.4,0.41,3540,NA,NA,3.405,NA,0.913
0.26,2050,NA,NA,NA,NA,NA,1.12,0.165,1140,6.2,0.42,3635,22.918,-0.976,3.69,NA,0.994
0.27,2160,NA,NA,NA,NA,NA,1.04,0.17,1176,6.7,0.43,3730,NA,-0.731,3.521,NA,0.968
0.28,2260,NA,NA,NA,NA,NA,0.93,0.175,1213,6.7,0.44,3825,21.998,-0.613,3.887,NA,1.093
0.29,2360,NA,NA,NA,NA,NA,0.91,0.18,1250,6.9,0.45,3920,24.28,-0.725,3.206,NA,1.119
0.3,2460,NA,NA,NA,NA,NA,1.28,0.185,1300,7.1,0.46,4015,NA,-0.287,4.046,NA,1.009
0.31,2560,NA,NA,NA,NA,NA,0.94,0.19,1351,7.1,0.47,4110,25.321,-0.731,3.36,NA,1.167
0.32,2660,NA,NA,NA,NA,NA,0.79,0.195,1401,6.3,0.48,4205,22.616,-0.633,4.499,NA,1.05
0.33,2760,NA,NA,NA,NA,NA,0.87,0.2,1451,7,0.49,4300,NA,-0.364,3.415,NA,0.985
0.34,2860,NA,NA,NA,NA,NA,0.97,0.205,1501,7.3,0.5,4395,21.957,-0.67,NA,NA,1.078
0.35,2960,NA,NA,NA,NA,NA,1.05,0.21,1552,7.2,0.51,4490,22.5,-0.543,3.192,NA,1.062
0.36,3050,NA,NA,NA,NA,NA,1.11,0.215,1602,7.2,0.52,4585,22.538,-0.364,3.374,NA,1.162
0.37,3150,NA,NA,NA,NA,NA,0.92,0.22,1652,6.5,0.53,4680,23.497,-0.459,3.387,NA,0.954
0.38,3240,NA,NA,NA,NA,NA,0.89,0.225,1703,6.5,0.54,4775,21.104,-0.513,3.736,NA,0.963
0.39,3340,NA,NA,NA,NA,NA,0.93,0.23,1753,6.7,0.55,4870,NA,-0.722,2.926,NA,0.989
0.4,3430,NA,NA,NA,NA,NA,1.17,0.235,1803,6.8,0.86,10200,22.233,-0.124,3.284,NA,NA
0.41,3530,NA,NA,NA,NA,NA,0.91,0.24,1854,7.3,0.87,10254,22.843,-0.226,3.494,NA,NA
0.42,3620,NA,NA,NA,NA,NA,0.99,0.245,1904,7,0.88,10308,22.542,0.339,3.389,NA,NA
0.43,3720,NA,NA,NA,NA,NA,0.97,0.25,1954,7,0.89,10362,21.85,-0.48,3.158,NA,NA
0.44,3810,NA,NA,NA,NA,NA,1.09,0.255,2004,7.6,0.9,10417,NA,0.249,NA,NA,NA
0.45,3910,NA,NA,NA,NA,NA,1.12,0.26,2055,7.6,0.91,10471,NA,0.066,NA,NA,NA
0.46,4000,NA,NA,NA,NA,NA,1.01,0.265,2105,7.8,0.92,10525,NA,-0.207,NA,NA,NA
0.47,4090,NA,NA,NA,NA,NA,1.17,0.27,2155,7.4,0.93,10579,21.547,-0.206,3.062,NA,NA
0.48,4190,NA,NA,NA,NA,NA,1.05,0.275,2206,7.6,0.94,10633,21.984,-0.042,3.201,NA,NA
0.49,4280,NA,NA,NA,NA,NA,0.98,0.28,2256,8,0.95,10688,22.927,0.039,3.524,NA,NA
0.5,4380,NA,NA,NA,NA,NA,1.08,0.285,2306,7.7,0.96,10742,22.507,-0.469,3.377,NA,NA
0.51,4470,NA,NA,NA,NA,NA,1.06,0.29,2356,8,0.97,10796,21.481,0.025,3.041,NA,NA
0.52,4570,NA,NA,NA,NA,NA,1.16,0.295,2407,8,0.98,10850,21.697,-0.569,3.109,NA,NA
0.53,4660,NA,NA,NA,NA,NA,0.95,0.3,2457,7.9,0.99,10980,NA,0.064,NA,NA,NA
0.54,4760,NA,NA,NA,NA,NA,0.96,0.305,2507,7.2,1,11110,21.677,0.058,3.102,NA,NA
0.55,4850,NA,NA,NA,NA,NA,0.99,0.31,2558,7.3,1.01,11240,22.742,-0.566,3.459,NA,NA
0.56,5000,NA,NA,NA,NA,NA,1.07,0.315,2608,7.4,1.02,11370,21.714,0.328,3.114,NA,NA
0.57,5160,NA,NA,NA,NA,NA,1.09,0.32,2658,7.8,1.03,11500,21.74,-0.407,3.123,NA,NA
0.58,5310,NA,NA,NA,NA,NA,0.93,0.325,2709,7.8,1.04,11630,22.311,-0.202,3.31,NA,NA
0.59,5460,NA,NA,NA,NA,NA,1.42,0.33,2759,7.8,1.05,11760,23.124,0.234,3.596,NA,NA
0.6,5620,NA,NA,NA,NA,NA,1.14,0.335,2809,7.7,1.06,11890,21.463,0.076,3.036,NA,NA
0.61,5770,NA,NA,NA,NA,NA,1.09,0.34,2859,7.9,1.07,12020,21.601,0.537,3.079,NA,NA
0.62,5920,NA,NA,NA,NA,NA,1.06,0.345,2910,8.1,1.08,12150,21.823,0.237,3.149,NA,NA
0.63,6080,NA,NA,NA,NA,NA,1.11,0.35,2960,8,1.09,12280,21.88,0.366,3.168,NA,NA
0.64,6230,NA,NA,NA,NA,NA,1,0.355,3007,7.8,1.1,12410,21.747,0.174,3.125,NA,NA
0.65,6380,NA,NA,NA,NA,NA,0.99,0.36,3055,8.1,1.11,12540,21.691,0.133,3.107,NA,NA
0.66,6540,NA,NA,NA,NA,NA,1.22,0.365,3102,8.2,1.12,12670,22.062,0.24,3.227,NA,NA
0.67,6690,NA,NA,NA,NA,NA,1.18,0.37,3149,7.3,1.13,12800,22.688,0.23,3.44,NA,NA
0.68,6840,NA,NA,NA,NA,NA,1.26,0.375,3196,7.8,1.14,12930,22.9,0.191,3.515,NA,NA
0.69,7000,NA,NA,NA,NA,NA,1.16,0.38,3244,8.3,1.15,13060,22.654,0.084,3.428,NA,NA
0.7,7150,NA,NA,NA,NA,NA,1.23,0.385,3291,8.3,1.16,13190,22.483,0.199,3.368,NA,NA
0.71,7300,NA,NA,NA,NA,NA,1.19,0.39,3338,8,1.17,13320,22.524,0.258,3.383,NA,NA
0.72,7460,NA,NA,NA,NA,NA,1.2,0.395,3385,8.1,1.18,13450,NA,0.473,NA,NA,NA
0.73,7610,NA,NA,NA,NA,NA,1.05,0.4,3433,8.1,1.19,13580,21.795,0.299,3.14,NA,NA
0.74,7810,NA,NA,NA,NA,NA,1.22,0.405,3480,7.9,1.2,13710,21.974,0.412,3.198,NA,NA
0.75,8010,NA,NA,NA,NA,NA,1.05,0.41,3527,8,1.21,13840,21.672,0.491,3.101,NA,NA
0.76,8210,NA,NA,NA,NA,NA,1.16,0.415,3574,8.1,1.22,13970,20.579,-0.059,2.774,NA,NA
0.77,8410,NA,NA,NA,NA,NA,1.11,0.42,3622,8.5,1.23,14100,22.27,-0.129,3.296,NA,NA
0.78,8610,NA,NA,NA,NA,NA,1.46,0.425,3669,8.2,1.24,14114,NA,0.098,NA,NA,NA
0.79,8810,NA,NA,NA,NA,NA,1.24,0.43,3716,7.9,1.25,14128,NA,0.39,NA,NA,NA
0.8,9000,NA,NA,NA,NA,NA,1.4,0.435,3763,7.4,1.26,14143,NA,0.598,NA,NA,NA
0.81,9200,NA,NA,NA,NA,NA,1.94,0.44,3811,8.2,1.27,14157,21.579,0.827,3.072,NA,NA
0.82,9400,NA,NA,NA,NA,NA,1.65,0.445,3858,7.5,1.28,14171,NA,0.315,NA,NA,NA
0.83,9600,NA,NA,NA,NA,NA,1.84,0.45,3905,7.8,1.29,14185,NA,0.387,NA,NA,NA
0.84,9800,NA,NA,NA,NA,NA,1.71,0.455,3952,7.8,1.3,14199,NA,0.172,NA,NA,NA
0.85,10000,NA,NA,NA,NA,NA,1.94,0.46,4000,7.9,1.31,14214,NA,0.124,NA,NA,NA
0.86,10200,NA,NA,NA,NA,NA,1.62,0.465,4047,8.2,1.32,14228,22.446,0.441,3.356,NA,NA
0.87,10250,NA,NA,NA,NA,NA,1.92,0.47,4094,8.1,1.33,14242,NA,0.199,NA,NA,NA
0.88,10300,NA,NA,NA,NA,NA,1.76,0.475,4141,7.9,1.34,14256,21.568,0.435,3.068,NA,NA
0.89,10350,NA,NA,NA,NA,NA,1.36,0.48,4189,8,1.35,14271,NA,-0.158,NA,NA,NA
0.9,10400,NA,NA,NA,NA,NA,1.73,0.485,4236,7.6,1.36,14285,21.372,0.622,3.007,NA,NA
0.91,10450,NA,NA,NA,NA,NA,1.62,0.49,4283,7.7,1.37,14299,NA,0.377,NA,NA,NA
0.92,10057,NA,NA,NA,NA,NA,1.72,0.495,4330,7.7,1.38,14313,NA,0.375,NA,NA,NA
0.93,10186,NA,NA,3.21,NA,NA,1.89,0.5,4378,8.1,1.39,14327,NA,0.179,NA,NA,NA
0.94,10315,NA,9.21,3.29,NA,1.53,1.78,0.505,4425,7.9,1.4,14342,22.142,0.112,3.253,NA,NA
