year (AD),age (BP),depth (cm),temperature (degC),error (degC)
1977,-27,3,21.848,2.482
1921,29,15,21.856,2.489
1872,78,27,22.191,2.527
1833,117,40,23.337,2.494
1814,136,54,22.952,2.519
1815,135,52,23.018,2.476
1811,139,99,23.288,2.489
1785,165,120,23.37,2.479
1712,238,147,23.308,2.482
1540,410,181,23.299,2.485
1310,640,210,23.588,2.483
1086,864,231,23.631,2.473
987,963,239,22.596,2.501
879,1071,247,24.432,2.489
756,1194,255,23.001,2.479
632,1318,262,23.216,2.493
467,1483,270,22.13,2.505
374,1576,274,23.37,2.493
246,1704,279,23.115,2.483
104,1846,284,24.724,2.468
-52,2002,289,22.886,2.484
-260,2210,295,24.376,2.466
-488,2438,301,23.191,2.477
-934,2884,312,24.252,2.469
-1130,3080,317,24.548,2.474
-1276,3226,321,24.85,2.469
-1583,3533,331,24.853,2.457
-1988,3938,350,24.588,2.47
-2266,4216,368,24.315,2.48
-2546,4496,385,25.19,2.484
-2891,4841,400,25.587,2.478
-3438,5388,418,25.463,2.484
-3927,5877,436,26.355,2.486
-4305,6255,454,25.599,2.492
-4807,6757,485,25.676,2.515
-5298,7248,513,26.068,2.504
-5607,7557,547,24.76,2.513
-5789,7739,582,24.921,2.517
-5993,7943,597,25.391,2.512
-6263,8213,609,24.107,2.528
-6291,8241,610,24.589,2.48
-6444,8394,615,24.577,2.482
-6619,8569,620,24.401,2.509
-6817,8767,625,24.56,2.492
-7034,8984,630,24.052,2.497
-7365,9315,637,23.933,2.48
-7515,9465,640,23.912,2.476
-7775,9725,645,24.397,2.48
-8043,9993,650,23.34,2.48
-8318,10268,655,24.485,2.481
-8597,10547,660,24.598,2.47
-8877,10827,665,23.665,2.471
-9156,11106,670,23.822,2.476
-9432,11382,675,22.079,2.485
-9701,11651,680,21.916,2.48
-10163,12113,689,21.954,2.472
-10356,12306,693,22.363,2.469
-10628,12578,699,22.793,2.47
-10882,12832,705,22.462,2.479
-11043,12993,709,21.698,2.486
-11234,13184,714,21.736,2.481
-11416,13366,719,22.427,2.5
-11591,13541,724,21.636,2.499
-11760,13710,729,21.281,2.493
-11924,13874,734,21.973,2.484
-12084,14034,739,21.081,2.511
-12242,14192,744,20.615,2.497
