depth (cm),age (yrBP),laboratory number (NA),error (yr),type (NA)
95,1890,Beta-71375,70,AMS14C
165,2100,Beta-71376,70,AMS14C
265,5190,Beta-71377,70,AMS14C
301,6730,Mazama ash,40,tephra
365,7420,Beta-71379,70,AMS14C
465,8980,Beta-71380,70,AMS14C
565,10270,Beta-71381,270,AMS14C
675,11820,Beta-71382,820,AMS14C
