depth (cm),age (BP),temperature (degC)
837,-23,13.52
839,81,13.365
841,200,13.454
843,379,13.765
845,499,13.856
847,619,13.975
849,740,14.242
851,861,13.624
853,983,13.725
855,1105,13.258
857,1228,13.976
859,1352,14.408
861,1476,14.967
863,1600,14.104
865,1725,14.794
867,1851,14.168
869,1978,15.068
871,2105,14.435
873,2232,14.295
875,2360,13.882
877,2489,14.234
879,2618,14.102
881,2748,15.025
883,2879,14.507
885,3010,14.56
887,3141,14.024
889,3273,14.313
891,3406,14.346
893,3539,14.391
895,3673,14.072
897,3807,15.206
899,3941,14.883
901,4077,14.026
903,4212,14.289
905,4349,14.706
907,4485,14.276
909,4623,15
911,4761,14.422
913,4899,14.701
915,5038,15.128
917,5178,15.041
919,5248,14.8
921,5459,15.081
923,5601,14.985
925,5743,14.847
927,5886,14.839
929,6029,14.928
930,6101,14.809
932,6246,14.895
934,6391,14.512
936,6537,15.524
938,6683,15.068
940,6831,15.055
942,6979,14.997
944,7127,15.082
946,7276,14.512
948,7426,14.805
950,7577,14.497
952,7728,14.98
954,7880,14.76
956,8032,14.782
958,8185,14.423
960,8339,14.781
962,8493,14.629
964,8648,14.228
966,8803,14.275
968,8959,14.149
