year (AD),age (BP),temperature (degC),Pollen_T (degC),SHCal04Age (BP),ageUncertainty (yr)
1967.917,-17.917,8.655,8.655,10.102,34.578
1940.833,9.167,7.908,7.908,19.67,43.921
1924,26,8.034,8.034,29.074,46.444
1918,32,7.561,7.561,34.66,45.596
1914,36,8.265,8.265,38.356,43.869
1910,40,7.744,7.744,42.029,41.149
1906,44,7.561,7.561,45.672,37.216
1898,52,8.361,8.361,52.813,23.198
1894,56,7.821,7.821,55.996,0.504
1847.25,102.75,8.619,8.619,119.85,84.429
1831.667,118.333,8.207,8.207,140.787,95.252
1800.5,149.5,8.793,8.793,182.396,104.718
1753.75,196.25,8.295,8.295,244.35,101.358
1707,243,8.283,8.283,304.997,78.318
1660.4,289.6,8.286,8.286,348.821,102.811
1613.8,336.2,8.852,8.852,391.451,119.291
1567.2,382.8,8.753,8.753,433.774,128.79
1551.667,398.333,8.302,8.302,447.855,131.188
1505.067,444.933,8.71,8.71,489.965,134.295
1458.467,491.533,8.799,8.799,531.958,133.515
1411.867,538.133,8.343,8.343,573.808,127.706
1396.333,553.667,8.636,8.636,587.739,125.052
1349.733,600.267,9.072,9.072,629.386,111.914
1303.133,646.867,8.505,8.505,670.839,91.704
1256.533,693.467,8.855,8.855,711.447,49.743
1241,709,8.845,8.845,724.648,29.272
1206.2,743.8,8.59,8.59,762.436,65.737
1171.4,778.6,8.737,8.737,798.857,72.047
1148.2,801.8,8.924,8.924,822.728,63.129
1093.929,856.071,8.738,8.738,871.212,67.94
1042.143,907.857,8.898,8.898,912.827,91.679
938.57,1011.43,8.639,8.639,995.179,97.256
835,1115,8.388,8.388,1075.874,49.902
727.58,1222.42,8.894,8.894,1186.286,123.869
620.16,1329.84,8.245,8.245,1294.761,153.144
512.74,1437.26,8.516,8.516,1402.748,163.269
405.32,1544.68,8.051,8.051,1510.348,157.936
297.9,1652.1,8.392,8.392,1617.5,135.361
190.48,1759.52,7.968,7.968,1723.675,82.796
66.33,1883.67,8.855,8.855,1876.11,139.252
-62,2012,8.626,8.626,2038.462,174.623
-190.33,2140.33,8.453,8.453,2199.99,179.66
-447,2397,8.051,8.051,2518.942,88.602
-675.6,2625.6,8.455,8.455,2746.443,180.886
-904.2,2854.2,8.806,8.806,2970.782,213.369
-1132.8,3082.8,8.968,8.968,3194.205,214.503
-1361.4,3311.4,8.431,8.431,3416.712,184.426
-1590,3540,8.909,8.909,3636.057,93.858
-1762.6,3712.6,8.512,8.512,3815.499,171.122
-1935.2,3885.2,8.81,8.81,3992.225,200.797
