depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0.7,-34.882,NA,NA,12.956,10.193,N
12.7,172.851,NA,NA,12.465,9.715,N
18.7,276.718,NA,NA,13.369,10.594,N
34.7,553.696,NA,NA,13.039,10.28,N
49.8,819.709,NA,NA,12.242,9.499,N
66.8,1130.345,NA,NA,11.631,8.771,N
77.6,1327.691,NA,NA,12.493,9.711,N
87.6,1567.64,NA,NA,11.678,8.898,N
99.6,1858.44,NA,NA,12.077,9.309,N
111.6,2149.24,NA,NA,12.157,9.354,N
122.6,2415.807,10.89,NA,12.273,9.508,Y
139.6,2830.031,10.767,NA,12.148,9.386,Y
151,3122.378,11.305,NA,12.692,9.919,Y
162,3404.467,11.217,NA,12.624,9.81,Y
169,3583.978,11.16,NA,12.547,9.773,Y
177,3789.133,10.837,NA,12.233,9.442,Y
185,3979.605,10.867,NA,12.256,9.478,Y
192,4107.721,11.176,NA,12.546,9.806,Y
203,4309.047,10.675,NA,12.063,9.287,Y
212,4473.767,11.928,NA,13.359,10.498,Y
220,4620.186,11.782,NA,13.172,10.391,Y
226,4730,11.744,NA,13.134,10.354,Y
236,5053.333,11.383,NA,12.767,9.999,Y
242,5247.333,11.321,NA,12.693,9.948,Y
250,5506,11.347,NA,12.722,9.973,Y
258,5764.667,11.099,NA,12.497,9.701,Y
270,6296.857,11.127,NA,12.498,9.757,Y
281,6850.786,11.587,NA,12.994,10.181,Y
288,7203.286,11.341,NA,12.728,9.954,Y
300,7478.938,11.656,NA,13.033,10.278,Y
319.2,7814.82,11.768,NA,13.136,10.4,Y
329.2,7989.758,13.026,NA,14.393,11.659,Y
339.2,8164.696,11.128,NA,12.513,9.742,Y
345.2,8269.659,12.549,NA,13.913,11.185,Y
352.2,8392.116,11.67,NA,13.042,10.297,Y
361.2,8549.56,11.474,NA,12.865,10.082,Y
381.4,8761.222,11.919,NA,13.3,10.538,Y
390.4,8796.029,11.862,NA,13.244,10.481,Y
405.4,8854.041,12.31,NA,13.684,10.935,Y
426.4,8935.258,11.745,NA,13.121,10.37,Y
440.4,8989.402,11.419,NA,12.784,10.053,Y
454.4,9047.773,11.71,NA,13.08,10.34,Y
470.4,9278.682,11.799,NA,13.18,10.419,Y
482.4,9451.864,12.305,NA,13.675,10.936,Y
488.4,9538.455,11.395,NA,12.764,10.025,Y
519.4,9950.841,11.891,NA,13.26,10.522,Y
533,10124.87,11.949,NA,13.312,10.587,Y
565.1,10391.913,10.494,NA,11.86,9.129,Y
596.1,10448.5,9.893,NA,11.265,8.52,Y
620.5,10493.04,10.024,NA,11.393,8.654,Y
637.5,10524.071,10.663,NA,12.061,9.266,Y
672.6,10588.143,11.277,NA,12.667,9.888,Y
699.4,10753.527,9.745,NA,11.125,8.365,Y
725.4,10942.485,10.432,NA,11.821,9.043,Y
774,11295.69,11.015,NA,12.39,9.641,Y
801.8,11497.73,9.309,NA,10.691,7.927,Y
822.4,11647.442,9.087,NA,10.462,7.712,Y
911.4,12294.259,NA,10.89,9.803,7.028,N
