depth (cm),age (BP),temperature (degC)
0,724.8,11.152
5,815.9,11.172
10,907,11.994
15,998.1,11.232
20,1089.2,11.445
25,1180.3,11.607
30,1271.4,11.783
35,1362.5,10.915
40,1453.6,11.624
45,1544.7,11.355
50,1635.8,11.683
55,1726.9,11.163
60,1818,11.67
65,1962,10.976
70,2106,11.798
75,2250,10.988
80,2394,11.461
85,2538,11.303
90,2682,11.466
95,2826,11.042
100,2970,11.191
105,3114,11.054
110,3258,11.436
115,3346.444,11.279
120,3434.889,11.318
125,3523.333,10.915
130,3611.778,11.474
135,3700.222,11.368
140,3788.667,11.504
145,3877.111,11.655
150,3965.556,11.478
155,4054,11.446
160,4142.444,11.356
165,4230.889,12.302
170,4319.333,11.578
175,4407.778,11.195
180,4496.222,11.464
185,4584.667,11.152
190,4673.111,11.623
195,4761.556,11.659
200,4850,11.629
205,4950.125,12.79
210,5050.25,11.832
215,5150.375,11.769
220,5250.5,11.513
225,5350.625,11.599
230,5450.75,11.542
235,5550.875,11.292
240,5651,11.488
245,5740.269,11.25
250,5829.538,11.737
255,5918.808,11.28
260,6008.077,11.859
265,6097.346,11.871
270,6186.615,11.672
275,6275.885,11.302
280,6365.154,11.447
285,6454.423,12.72
290,6543.692,11.789
295,6632.962,12.185
300,6722.231,11.782
305,6811.5,12.754
310,6900.769,12.335
315,6990.038,11.613
320,7079.308,12.131
325,7168.577,11.831
330,7257.846,12.467
335,7347.115,11.744
340,7436.385,12.331
345,7525.654,13.037
350,7614.923,12.511
355,7704.192,12.432
360,7793.462,12.819
365,7882.731,12.671
370,7972,12.538
375,8044.786,12.209
380,8117.571,12.066
385,8190.357,12.321
390,8263.143,12.124
395,8335.929,12.326
400,8408.714,12.529
405,8481.5,12.106
410,8554.286,12.96
415,8627.071,14.421
420,8699.857,12.682
425,8772.643,11.553
430,8845.429,12.475
435,8918.214,12.871
440,8991,11.951
445,9027.333,11.872
450,9063.667,13.019
455,9100,11.897
460,9136.333,14.762
465,9172.667,12.425
470,9209,12.762
480,9281.667,12.028
485,9318,12.342
490,9354.333,12.198
495,9390.667,12.504
505,9469.9,12.522
510,9512.8,12.223
515,9555.7,12.687
520,9598.6,11.94
525,9641.5,12.057
530,9684.4,12.57
535,9727.3,12.124
540,9770.2,12.413
545,9813.1,12.385
550,9856,12.627
555,9898.9,12.594
560,9941.8,12.133
565,9984.7,12.726
570,10027.6,12.342
