depth (cm),age14C (bp),age_error (1s),age_type (),note ()
40.5,2185,30,1,1
80.5,3065,35,1,1
160.5,4305,30,1,1
190.5,4610,30,1,1
230.5,5165,35,1,1
310.5,6485,40,1,1
410.5,9825,50,1,1
