depth (cm),deltaT (degC),pore ice age (cal bp),dD (permil),d18O (permil),d-excess (permil),dD_swcorr (permil),d18O_swcorr (permil),d-excess_swcorr (permil),deltaT - 1 sigma (degC),deltaT + 1 sigma (degC)
58,2.1,-63,-154.8,-19.22,-1.1,-154.8,-19.22,-1.1,1.5,2.8
59,1.9,-55,-155.1,-19.47,0.7,-155.1,-19.47,0.7,1.4,2.6
60,2,-47,-155,-19.23,-1.2,-155,-19.23,-1.2,1.4,2.7
61,1.9,-40,-155.2,-19.26,-1.1,-155.2,-19.26,-1.1,1.3,2.6
62,1.7,-32,-155.3,-19.29,-1,-155.3,-19.29,-1,1.2,2.4
63,1.5,-21,-155.8,-19.33,-1.2,-155.8,-19.33,-1.2,1,2.1
64,1.3,-9,-156.1,-19.3,-1.7,-156.1,-19.3,-1.7,0.8,1.9
66,0,15,-157.9,-19.75,0.1,-158,-19.76,0.1,-0.4,0.5
68,0.2,37,-157.6,-19.54,-1.3,-157.7,-19.55,-1.3,-0.2,0.7
69,0.3,75,-157.5,-19.56,-1,-157.6,-19.57,-1,-0.1,0.8
70,0,110,-158,-19.59,-1.3,-158.1,-19.6,-1.3,-0.5,0.4
71,0.1,150,-157.8,-19.64,-0.6,-157.8,-19.65,-0.6,-0.3,0.6
72,-0.4,190,-158.6,-19.65,-1.4,-158.7,-19.66,-1.4,-0.9,0
73,-0.7,300,-159,-19.73,-1.1,-159.1,-19.74,-1.1,-1.2,-0.2
76,-0.5,630,-158.8,-19.82,-0.2,-158.8,-19.82,-0.2,-1,-0.1
86,-1.1,1240,-159.8,-19.97,0,-159.7,-19.97,0,-1.7,-0.6
96,-0.7,1515,-159.2,-19.86,-0.3,-159.2,-19.85,-0.3,-1.3,-0.3
106,-0.7,1785,-159.2,-19.82,-0.6,-159.1,-19.81,-0.6,-1.2,-0.3
116,-1.1,2065,-159.9,-19.92,-0.5,-159.8,-19.91,-0.5,-1.7,-0.7
126,-0.7,2320,-159.2,-19.84,-0.5,-159.2,-19.83,-0.5,-1.3,-0.3
136,-0.7,2565,-159.2,-19.83,-0.5,-159.1,-19.82,-0.5,-1.2,-0.3
146,-0.9,2810,-159.5,-19.94,0.1,-159.4,-19.94,0.1,-1.5,-0.5
156,-1,3050,-159.6,-19.93,-0.1,-159.6,-19.93,-0.1,-1.6,-0.5
166,-1,3295,-159.5,-19.93,-0.1,-159.6,-19.94,-0.1,-1.6,-0.5
176,-0.4,3550,-158.6,-19.82,-0.1,-158.7,-19.83,-0.1,-0.9,0
186,-0.6,3865,-158.9,-19.89,0.2,-159,-19.91,0.3,-1.2,-0.2
196,-0.9,4140,-159.3,-19.9,-0.1,-159.4,-19.93,0,-1.5,-0.5
206,-0.1,4380,-158,-19.77,0.1,-158.2,-19.8,0.2,-0.6,0.3
216,-0.5,4615,-158.6,-19.81,-0.1,-158.8,-19.84,-0.1,-1,-0.1
226,-0.5,4855,-158.6,-19.86,0.3,-158.8,-19.9,0.4,-1,-0.1
236,-0.4,5090,-158.4,-19.83,0.3,-158.7,-19.87,0.3,-0.9,0
246,-0.2,5330,-158,-19.8,0.4,-158.4,-19.85,0.4,-0.7,0.2
256,-0.4,5565,-158.3,-19.85,0.5,-158.7,-19.9,0.6,-0.9,0
266,-0.2,5805,-157.9,-19.78,0.3,-158.3,-19.84,0.4,-0.6,0.2
276,-0.9,6040,-158.9,-19.9,0.3,-159.4,-19.96,0.3,-1.4,-0.4
286,-0.2,6305,-157.9,-19.83,0.7,-158.4,-19.9,0.8,-0.7,0.2
290,0.1,6440,-157.3,-19.79,1,-157.8,-19.87,1.1,-0.3,0.6
296,0.3,6635,-157,-19.79,1.3,-157.5,-19.86,1.4,-0.1,0.8
