depth (cm),age (BP),d18O (permil)
0,0,-20.69
2,44,-22.64
4,88,-21.8
8,220,-21.19
10,290,-18.8
16,403,-22.22
20,478,-23.02
22,516,-21.4
24,554,-23.06
26,591,-23.03
28,622,-22.1
30,646,-22.82
32,670,-21.86
34,714,-22.48
36,759,-22.55
38,803,-20.63
40,847,-21.06
42,891,-21.12
44,936,-22.55
46,980,-22.55
48,1024,-23.53
50,1069,-22.65
52,1113,-22.64
60,1290,-22.79
62,1340,-22.1
64,1391,-21.49
74,1642,-21.135
77,1718,-23.064
81,1818,-21.349
85,1919,-20.196
88,1994,-22.225
92,2095,-20.776
95,2170,-22.507
97,2221,-21.46
97.5,2233,-21.48
99,2271,-20.88
137,3216,-20.45
141,3234,-21.766
147.5,3264,-21.58
285,4026,-20.195
290.5,4159,-21.66
294,4297,-18.856
301.5,4593,-17.27
304,4692,-21.099
305.5,4751,-21.35
309.5,4960,-21.67
311.5,5107,-21.27
315.5,5400,-22.32
321,5803,-22.121
322.5,5913,-22.07
326,6170,-19.977
327,6243,-23.009
330,6463,-19.79
332.5,6647,-22.71
334,6757,-21.974
