depth (cm),age (yp bp),material (unitless),type (unitless)
8,2660,G. ruber,AMS14C
18,4195,G. ruber,AMS14C
28,4875,G. ruber,AMS14C
38,5910,G. ruber,AMS14C
91,7755,G. ruber,AMS14C
190,8445,G. ruber,AMS14C
288,8755,G. ruber,AMS14C
358,9860,G. ruber,AMS14C
403,12626,NA,AMS14C
458,16143,NA,AMS14C
529,15800,G. ruber,AMS14C
564,18370,G. ruber,AMS14C
