depth (m),age (BP),planktic.d18O (permil),planktic.MgCa (permil),planktic.MgCa (mmol_mol),temperature (mmol_mol),depth (m),temperature (degC),d18O (degC)
0.01,880,-2.727,-1.896,3.853,2.346,0.01,26.886,21.397
0.03,1140,-2.716,NA,3.519,NA,0.03,24.997,NA
0.05,1390,-2.487,-2.061,4.009,2.236,0.05,27.712,20.864
0.07,1640,-2.662,NA,4.132,NA,0.07,28.345,NA
0.09,1890,-2.541,-2.025,3.913,2.208,0.09,27.209,20.722
0.13,2400,-2.488,NA,4.047,NA,0.13,27.913,NA
0.15,2650,-2.607,-1.803,4.107,2.526,0.15,28.22,22.216
0.17,2910,-2.548,NA,NA,NA,0.19,26.082,22.277
0.19,3160,-2.483,-1.965,3.707,2.539,0.23,28.36,19.159
0.23,3660,-2.547,-2.158,4.135,1.918,0.27,28.588,19.754
0.27,4170,-2.838,-2.139,4.181,2.024,0.31,27.271,19.249
0.31,4670,-2.888,-1.757,3.925,1.934,0.35,28.094,NA
0.35,5180,-2.753,-1.91,4.083,NA,0.39,28.549,21.623
0.39,5690,-2.49,-1.654,4.173,2.394,0.43,31.459,21.341
0.43,6190,-2.898,-2.251,4.798,2.334,0.49,NA,20.427
0.49,6950,-2.898,-1.787,NA,2.15,0.535,30.182,22.192
0.535,7520,-2.438,-1.973,4.513,2.52,0.585,28.236,22.143
0.585,8150,-2.68,-1.813,4.111,2.509,0.635,28.96,21.798
0.635,8780,-2.469,-1.902,4.256,2.433,0.71,28.777,22.377
0.71,9730,-2.305,-1.324,4.219,2.562,0.785,25.59,24.488
0.785,10610,-2.17,-1.297,3.62,3.099,0.835,27.424,22.219
0.835,11100,-1.853,-1.199,3.954,2.526,0.91,26.254,21.994
0.91,11830,-1.443,-0.956,3.738,2.476,0.985,27.312,22.273
0.985,12640,-1.315,-0.65,3.932,2.539,1.035,30.194,21.747
1.035,13280,-1.722,-0.534,4.516,2.421,1.085,30.783,21.048
1.085,13910,-1.427,-1.332,4.645,2.274,1.135,25.985,20.176
1.135,14550,-0.68,-0.877,3.69,2.102,1.185,25.593,20.368
1.185,15190,-1.135,NA,3.621,2.139,1.235,NA,21.875
1.235,15830,-0.866,-0.424,NA,2.449,1.285,26.781,23.785
1.285,16460,-1.371,-0.257,3.833,2.909,1.335,29.41,NA
1.335,17100,-0.888,-0.129,4.349,NA,1.385,28.321,22.166
1.385,17740,-0.496,0.153,4.128,2.514,1.435,28.227,23.042
1.435,18370,-0.843,0.113,4.109,2.721,1.485,25.787,22.654
1.485,19010,-0.48,0.253,3.655,2.627,1.51,23.215,NA
1.51,19330,-0.26,NA,3.23,NA,1.535,27.13,21.867
1.535,19650,-0.373,0.129,3.898,2.448,1.56,25.957,NA
1.56,19970,-0.525,NA,3.685,NA,1.585,29.48,20.867
1.585,20290,-0.468,-0.238,4.364,2.237,1.61,26.288,NA
1.61,20610,-0.51,NA,3.744,NA,1.635,24.377,22.365
1.635,20920,-0.491,NA,3.416,2.56,1.66,23.61,NA
1.66,21240,-0.671,NA,3.292,NA,1.685,26.853,22.846
1.685,21560,-0.49,-0.049,3.847,2.673,1.735,25.268,20.741
1.71,21880,-0.67,NA,NA,NA,1.76,26.197,NA
1.735,22200,-0.781,0.108,3.565,2.212,1.785,NA,21.904
1.76,22520,-0.297,NA,3.727,NA,1.81,22.971,NA
1.785,22840,NA,-0.007,NA,2.456,1.835,NA,21.241
1.81,23150,-0.789,NA,3.193,NA,1.86,26.855,NA
1.835,23470,NA,0.063,NA,2.313,1.885,23.476,22.193
1.86,23790,-0.61,NA,3.847,NA,1.91,22.008,NA
1.885,24110,-0.64,0.136,3.271,2.52,1.935,25.372,21.631
1.91,24790,-0.652,NA,3.049,NA,1.985,25.317,23.602
1.935,25480,-0.723,0.191,3.583,2.396,2.025,24.844,NA
1.985,26850,-0.816,0.029,3.573,2.861,2.075,26.328,23.412
2.025,27950,-0.687,NA,3.493,NA,2.125,25.298,NA
2.075,29320,-0.545,-0.14,3.751,2.813,2.225,27.089,21.12
2.125,30690,-0.839,NA,3.57,NA,2.275,24.388,NA
2.225,32590,-1.04,-0.233,3.89,2.288,2.325,26.387,24.027
2.275,33130,-0.745,NA,3.417,NA,2.375,25.244,NA
2.325,33660,-0.68,0.169,3.762,2.973,2.425,22.69,22.558
2.375,34200,-0.561,NA,3.561,NA,2.475,23.471,NA
2.425,34730,-1.178,-0.125,3.15,2.604,2.525,28.461,21.182
2.475,35270,-1.196,NA,3.27,NA,2.575,21.968,NA
2.525,35800,-1.02,-0.2,4.155,2.301,2.625,NA,21.161
2.575,36340,-0.891,NA,3.043,NA,2.675,25.642,NA
2.625,36870,-1.234,-0.193,NA,2.297,2.725,NA,20.913
2.675,37410,-1.276,NA,3.63,NA,2.825,NA,24.452
2.725,37940,-1.041,-0.496,NA,2.246,2.875,24.125,NA
2.775,38480,-0.723,NA,NA,NA,2.925,NA,21.715
2.825,39010,-1.193,-0.6,NA,3.089,2.975,25.212,NA
2.875,39550,-1.084,NA,3.374,NA,3.025,28.054,22.854
2.925,40080,-0.869,-0.267,NA,2.414,3.075,26.67,NA
2.975,40620,-0.864,NA,3.555,NA,3.125,26.722,21.795
3.025,41150,-0.935,-0.275,4.075,2.675,3.175,25.784,NA
3.075,41690,-1.009,NA,3.813,NA,3.225,NA,22.669
3.125,42220,-1.217,-0.691,3.823,2.432,3.275,27.111,NA
3.175,42760,-1.169,NA,3.654,NA,3.425,NA,21.573
3.225,43290,-1.46,-0.755,NA,2.631,3.475,23.631,NA
3.275,43830,-1.17,NA,3.895,NA,3.525,NA,20.34
3.425,45430,-0.967,-0.621,NA,2.384,3.575,28.763,NA
3.475,45970,-1.186,NA,3.296,NA,3.725,NA,20.328
