depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
100,Carbon-14,109032,130,640,NA,NA
340,Carbon-14,109033,65,3935,NA,NA
578,Carbon-14,109034,195,7055,NA,NA
742,Carbon-14,109035,110,10770,NA,NA
935,Carbon-14,109036,290,11410,NA,NA
