year (AD),age (BP),AnnualPrecipitation (mm/yr)
1950,0,NA
1900,50,NA
1850,100,NA
1800,150,NA
1750,200,1179.857
1700,250,1180.214
1650,300,1180.572
1600,350,1180.929
1550,400,1181.286
1500,450,1181.643
1450,500,1182
1400,550,1182.357
1350,600,1182.571
1300,650,1182.571
1250,700,1182.571
1200,750,1182.571
1150,800,1182.571
1100,850,1182.571
1050,900,1182.571
1000,950,1182.571
950,1000,1182.571
900,1050,1182.571
850,1100,1182.571
800,1150,1182.571
750,1200,1182.571
700,1250,1182.571
650,1300,1182.571
600,1350,1182.571
550,1400,1182.571
500,1450,1180.778
450,1500,1174.855
400,1550,1168.932
350,1600,1163.009
300,1650,1157.086
250,1700,1151.163
200,1750,1145.24
150,1800,1139.317
100,1850,1133.394
50,1900,1127.471
0,1950,1136.379
-50,2000,1150.185
-100,2050,1163.991
-150,2100,1177.797
-200,2150,1181.967
-250,2200,1181.043
-300,2250,1180.119
-350,2300,1179.195
-400,2350,1178.271
-450,2400,1177.348
-500,2450,1176.424
-550,2500,1175.5
-600,2550,1173.206
-650,2600,1169.3
-700,2650,1165.393
-750,2700,1161.487
-800,2750,1157.58
-850,2800,1153.674
-900,2850,1149.767
-950,2900,1145.86
-1000,2950,1136.697
-1050,3000,1117.373
-1100,3050,1098.049
-1150,3100,1078.725
-1200,3150,1086.009
-1250,3200,1097.661
-1300,3250,1109.312
-1350,3300,1120.964
-1400,3350,1132.616
-1450,3400,1144.268
-1500,3450,1155.92
-1550,3500,1145.593
-1600,3550,1132.689
-1650,3600,1119.786
-1700,3650,1106.882
-1750,3700,1093.978
-1800,3750,1081.074
-1850,3800,1068.17
-1900,3850,1055.266
-1950,3900,1042.362
-2000,3950,1029.459
-2050,4000,1016.555
-2100,4050,1003.651
-2150,4100,991.026
-2200,4150,992.339
-2250,4200,993.653
-2300,4250,994.966
-2350,4300,996.279
-2400,4350,997.593
-2450,4400,998.906
-2500,4450,1004.28
-2550,4500,1016.144
-2600,4550,1028.008
-2650,4600,1039.872
-2700,4650,1051.736
-2750,4700,1063.599
-2800,4750,1075.463
-2850,4800,1087.327
-2900,4850,1099.191
-2950,4900,1111.055
-3000,4950,1122.919
-3050,5000,1134.783
-3100,5050,1146.647
-3150,5100,1156.336
-3200,5150,1149.338
-3250,5200,1142.341
-3300,5250,1135.343
-3350,5300,1128.345
-3400,5350,1121.347
-3450,5400,1114.349
-3500,5450,1113.246
-3550,5500,1118.515
-3600,5550,1123.783
-3650,5600,1129.052
-3700,5650,1134.321
-3750,5700,1137.143
-3800,5750,1137.143
-3850,5800,1137.143
-3900,5850,1134.777
-3950,5900,1129.228
-4000,5950,1123.679
-4050,6000,1118.13
-4100,6050,1112.581
-4150,6100,1107.032
-4200,6150,1105.44
-4250,6200,1111.176
-4300,6250,1116.912
-4350,6300,1122.648
-4400,6350,1128.384
-4450,6400,1134.12
-4500,6450,1139.856
-4550,6500,1131.279
-4600,6550,1112.183
-4650,6600,1093.088
-4700,6650,1073.992
-4750,6700,1054.897
-4800,6750,1051.705
-4850,6800,1056.127
-4900,6850,1060.55
-4950,6900,1064.972
-5000,6950,1069.395
-5050,7000,1073.817
-5100,7050,1078.239
-5150,7100,1082.662
-5200,7150,1087.084
-5250,7200,1091.582
-5300,7250,1096.311
-5350,7300,1101.04
-5400,7350,1105.77
-5450,7400,1110.499
-5500,7450,1115.229
-5550,7500,1119.958
-5600,7550,1124.688
-5650,7600,1129.417
-5700,7650,1132.429
-5750,7700,1132.429
-5800,7750,1132.429
-5850,7800,1132.429
-5900,7850,1132.429
-5950,7900,1131.029
-6000,7950,1129.513
-6050,8000,1127.997
-6100,8050,1126.481
-6150,8100,1124.965
-6200,8150,1123.449
-6250,8200,1121.933
-6300,8250,1120.417
-6350,8300,1108.929
-6400,8350,1084.88
-6450,8400,1060.832
-6500,8450,1036.783
-6550,8500,1012.734
-6600,8550,988.685
-6650,8600,964.636
-6700,8650,940.587
-6750,8700,925.972
-6800,8750,967.459
-6850,8800,1008.946
-6900,8850,1050.433
-6950,8900,1091.921
-7000,8950,1075.757
-7050,9000,1059.282
-7100,9050,1042.808
-7150,9100,1026.333
-7200,9150,1009.859
-7250,9200,993.385
-7300,9250,976.91
-7350,9300,960.436
-7400,9350,935.447
-7450,9400,906.741
-7500,9450,878.035
-7550,9500,785.308
-7600,9550,774.039
-7650,9600,773.921
-7700,9650,773.804
-7750,9700,773.686
-7800,9750,773.568
-7850,9800,773.451
-7900,9850,773.333
-7950,9900,773.38
-8000,9950,773.539
-8050,10000,773.697
-8100,10050,773.855
-8150,10100,774.013
-8200,10150,774.172
-8250,10200,774.33
-8300,10250,774.429
-8350,10300,774.429
-8400,10350,774.429
-8450,10400,774.429
-8500,10450,774.429
-8550,10500,774.429
-8600,10550,774.429
-8650,10600,774.429
-8700,10650,774.429
-8750,10700,774.429
-8800,10750,774.429
-8850,10800,774.429
-8900,10850,774.429
-8950,10900,774.429
-9000,10950,774.429
-9050,11000,774.429
