depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
870,Carbon-14,109489,100,2015,gyttja,Dates SI-5371 (13280Â±410) and SI-5372 (25280Â±1010) on carbonate fraction.
975,Carbon-14,109490,75,3995,gyttja,NA
1068.5,Carbon-14,109491,90,5565,gyttja,NA
1210,Carbon-14,109492,100,7005,gyttja,NA
1312.5,Carbon-14,109493,75,8310,gyttja,NA
1442.5,Carbon-14,109494,210,10410,gyttja,NA
1477.5,Carbon-14,109495,115,7410,gyttja,NA
1612.5,Carbon-14,109496,140,10670,black silt,NA
1640,Carbon-14,109497,100,8480,black silt,NA
1832.5,Carbon-14,109498,260,11330,gray-green silt,NA
1982.5,Carbon-14,109499,395,11790,black and gray silty clay,NA
2102.5,Carbon-14,109500,410,13280,black silty clay,NA
2312,Carbon-14,109501,1010,25280,dark gray to black silty clay,NA
