depth (cm),age (bp),depth_top (mm),depth_bot (mm),mass dry (mg),age14C (bp),age_error (1_s),deltaR (years),depth_mid (mm),thickness (mm),age_type (),core_name (),lab_id (),material_dated (),original_reference ()
0.5,770,0,10,1.5,1230,35,0,5,10,1,1,11,1,1
50.5,2311,500,510,3.8,2625,35,0,505,10,1,1,6,1,1
100.5,3604,1000,1010,1.9,3690,60,0,1005,10,1,1,12,1,1
150.5,4785,1500,1510,3.5,4565,35,0,1505,10,1,1,7,1,1
200.5,6043,2000,2010,1.9,5640,40,0,2005,10,1,1,13,1,1
250.5,7357,2500,2510,4.8,6835,35,0,2505,10,1,1,8,1,1
280.5,8029,2800,2810,2.4,7570,45,0,2805,10,1,1,1,2,1
300.5,8356,3000,3010,2,7890,50,0,3005,10,1,1,2,2,1
328.5,8819,3280,3290,2.6,8270,50,0,3285,10,1,1,3,2,1
340.5,8954,3400,3410,3.3,8370,70,0,3405,10,1,1,4,2,1
350.5,8870,3500,3510,5.8,8300,35,0,3505,10,1,1,9,1,1
380.5,9247,3800,3810,2.5,8590,60,0,3805,10,1,1,5,2,1
450.5,10347,4500,4510,1.6,9490,80,0,4505,10,1,1,10,1,1
550.5,13957,5500,5510,1.4,12510,90,0,5505,10,1,1,14,1,1
600.5,18612,6000,6010,2.6,15750,80,0,6005,10,1,1,15,1,1
