depth (m),planktic.d18O (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.d13C (permil),d18O (permil),d13C (permil),depth (m),temperature (degC),temperature (degC)
0.005,1.04,-0.11,1.71,1.09,NA,NA,0,10.5,15.1
0.025,0.68,-0.17,1.57,1.01,3.34,0.8,0.02,11.2,16.1
0.045,1.11,0.03,1.46,1.01,3.51,1.26,0.04,11.5,16.2
0.065,1.07,0.08,NA,NA,3.49,1.5,0.06,11.4,16.1
0.085,1.29,0.11,NA,NA,3.39,0.93,0.08,11.2,15.8
0.105,1.22,-0.06,1.48,1.04,3.28,0.99,0.1,11.4,16.3
0.125,1.46,-0.02,1.54,0.88,3.31,0.97,0.12,11,15.5
0.145,1.02,-0.12,1.65,1.02,3.32,1.01,0.14,11.5,16.3
0.165,1.05,-0.03,1.53,0.89,3.4,1.11,0.16,11.4,16
0.185,0.96,-0.14,1.44,0.94,3.42,1.07,0.18,11.3,16
0.205,0.88,-0.24,1.59,1.05,3.37,1.02,0.2,11.1,15.5
0.225,0.93,-0.04,1.47,1.01,3.41,1.02,0.22,11.3,16
0.245,1.04,-0.04,1.83,1.01,3.46,1.15,0.24,10.9,16.1
0.265,0.92,-0.07,1.52,0.99,3.4,1.07,0.26,11.2,15.6
0.285,1.19,-0.15,1.59,0.88,3.37,1.15,0.28,11.3,15.9
0.305,1.11,-0.09,1.59,1.04,3.54,1.17,0.3,11.1,15.7
0.325,1.13,-0.25,1.61,0.96,3.48,1.28,0.32,11.1,15.6
0.345,1.15,-0.21,1.68,0.71,0,NA,0.34,10.8,15
0.365,1.22,-0.1,1.74,0.77,0,NA,0.36,10.2,14.5
0.385,1.13,-0.12,1.79,0.91,3.57,1.1,0.38,10.9,15.3
0.405,1.6,-0.54,1.99,0.71,NA,NA,0.4,10.3,14.6
0.425,1.73,-0.38,2.01,0.7,NA,NA,0.42,11,15.4
0.445,1.34,-0.81,1.74,0.78,NA,NA,0.44,10,14.4
0.465,1.51,-0.71,2.65,0.51,NA,NA,0.46,9.2,13.4
0.485,1.7,-0.56,2.38,0.54,NA,NA,0.48,9.8,14.3
0.505,1.98,-0.69,2.6,0.39,NA,NA,0.5,8.5,13.1
0.525,1.62,-0.39,2.67,0.36,NA,NA,0.52,7.8,12
0.545,2.01,-0.24,2.64,0.6,NA,NA,0.54,6.4,10.2
0.565,2.13,-0.65,2.66,0.39,NA,NA,0.56,6.4,10.2
0.585,2.07,-0.52,2.63,0.57,4.1,0.69,0.58,7.5,11.9
0.605,1.88,-0.54,2.54,0.49,4.1,0.76,0.6,10.5,15.9
0.625,2.01,-0.67,2.57,0.51,4.09,0.55,0.62,6.3,10.7
0.645,1.95,-0.6,2.63,0.53,4.07,0.49,0.64,4.9,8.7
0.665,1.77,-0.58,2.47,0.48,NA,NA,0.66,4,7.7
0.685,2.09,-0.51,2.59,0.43,3.99,0.71,0.68,4,7.8
0.705,1.91,-0.88,2.58,0.29,4.45,0.47,0.7,4,7.8
0.725,2.02,-0.87,3.29,0.15,NA,NA,0.72,0,3.5
0.745,1.96,-0.76,3.62,0.17,4.86,0.53,0.74,0.1,3.4
0.765,2.64,-0.97,4.21,0.23,NA,NA,0.76,0.5,4
0.785,3.09,-0.65,4.25,0.01,NA,NA,0.78,0,3.2
0.805,3.59,-0.37,4.03,-0.16,4.39,NA,0.8,0.8,4.3
0.825,3.56,-0.31,4.11,-0.04,NA,NA,0.82,0.5,4.1
0.845,3.31,-0.28,4.2,0.09,NA,NA,0.84,0.9,4.5
0.865,3.46,-0.38,4.15,-0.02,4.95,0.53,0.86,0.6,4
0.885,3.22,-0.35,4.21,0.06,NA,NA,0.88,0.5,4
0.905,3.33,-0.62,4.16,-0.13,5.2,0.53,0.9,0.8,4.1
0.925,2.88,-0.43,4.18,0.06,NA,NA,0.92,0.5,4
0.945,2.84,-0.21,4.24,-0.24,NA,NA,0.94,0.6,4.2
0.965,2.76,-0.44,4.13,0.1,NA,NA,0.96,0.5,4.1
0.985,2.92,-0.49,4.13,-0.02,NA,NA,0.98,0.8,4.4
1.005,2.57,-0.45,4.12,0.07,NA,NA,1,1.1,5
1.025,2.89,-0.59,4.13,0.06,NA,NA,1.02,0.7,4.1
1.045,2.76,-0.6,4.15,0.11,NA,NA,1.04,1.1,5
1.065,2.85,-0.35,3.53,-0.12,NA,NA,1.06,0.7,4.1
1.085,NA,NA,3.94,-0.26,NA,NA,1.08,0.2,3.4
1.105,2.65,-0.36,4.02,-0.06,NA,NA,1.1,0.8,4
1.125,2.55,-0.29,4,-0.12,NA,NA,1.12,1.1,5.3
1.145,2.6,-0.4,3.89,0.02,NA,NA,1.14,1.8,5.8
1.165,2.62,-0.33,4.02,-0.04,NA,NA,1.16,1.7,5.7
1.185,2.78,-0.25,3.97,-0.11,NA,NA,1.18,1.9,5.7
1.205,2.39,-0.19,4.02,-0.22,NA,NA,1.2,2.9,6.9
1.225,2.65,0.02,3.92,-0.42,NA,NA,1.22,1.8,5.8
1.245,2.54,-0.25,3.76,-0.29,NA,NA,1.24,3.8,7.8
1.265,2.61,-0.3,3.73,0.12,NA,NA,1.26,3.3,7.6
1.285,2.68,-0.42,3.93,-0.12,NA,NA,1.28,1.9,6.1
1.305,2.53,-0.13,3.77,-0.16,NA,NA,1.3,3.9,7.8
1.325,2.61,-0.3,3.4,0.18,NA,NA,1.32,4,7.8
1.345,2.69,-0.33,3.36,0.06,NA,NA,1.34,1.3,5.1
1.365,2.78,-0.35,3.55,-0.1,NA,NA,1.36,1.1,4.9
1.385,2.53,-0.29,3.42,0.12,NA,NA,1.38,0.5,4
1.405,2.74,-0.4,3.49,-0.27,NA,NA,1.4,3.7,7.8
1.425,2.77,-0.23,3.17,0,NA,NA,1.42,1.2,4.6
1.445,2.51,-0.32,3.56,0,NA,NA,1.44,0.5,4.2
1.485,2.91,0,3.99,0.16,NA,NA,1.46,4.2,8.2
1.505,2.78,0.11,3.91,0.12,NA,NA,1.48,0.7,4.2
1.525,2.98,-0.01,3.88,-0.18,NA,NA,1.5,2.5,6.6
1.545,2.77,0.09,3.78,0.04,NA,NA,1.52,3.1,7.2
1.565,2.83,0.17,3.71,0.07,NA,NA,1.54,3.8,7.7
1.585,2.94,-0.13,3.76,0.05,NA,NA,1.56,3.6,7.7
1.605,2.74,0.14,3.74,0.14,NA,NA,1.58,3.6,7.7
1.645,2.84,-0.04,3.75,0.18,NA,NA,1.6,3.7,7.8
1.665,2.76,-0.1,3.81,0.32,NA,NA,1.62,2.6,6.4
1.685,2.79,-0.05,3.88,0.19,NA,NA,1.64,3.8,7.6
1.705,2.85,0.05,3.93,0.13,NA,NA,1.66,3.8,7.8
1.725,2.71,-0.19,3.73,0.06,NA,NA,1.68,4.3,9
1.745,2.71,-0.02,3.84,0.16,NA,NA,1.7,3.9,8.1
1.765,2.79,0.22,3.8,0.13,NA,NA,1.72,3.7,7.6
1.785,2.65,-0.1,3.74,0.3,NA,NA,1.74,3.7,7.6
1.805,2.75,0.06,3.61,0.18,NA,NA,1.76,3.9,7.7
1.825,2.81,-0.12,3.63,0.21,NA,NA,1.78,3.9,7.9
1.845,2.72,-0.02,3.64,0.43,NA,NA,1.8,3.9,7.9
1.865,2.78,0.08,3.39,0.21,NA,NA,1.82,3.9,7.9
1.885,2.65,-0.31,3.51,0.3,NA,NA,1.84,3.9,8.1
1.905,2.59,-0.24,3.64,0.23,NA,NA,1.86,3.9,7.9
1.925,2.72,-0.14,3.81,0.13,NA,NA,1.88,4,7.8
1.945,2.68,-0.12,3.37,0.07,NA,NA,1.9,3.6,7.4
1.965,2.72,0.01,3.41,0.39,NA,NA,1.92,3.6,7.7
1.985,2.46,0.06,3.52,0.55,NA,NA,1.94,3.8,7.8
2.005,2.51,-0.05,3.08,0.99,NA,NA,1.96,3.9,8
2.025,2.69,0.2,2.65,0.82,NA,NA,1.98,6.2,10.4
2.045,2.56,0,2.83,0.6,NA,NA,2,6.2,9.8
2.065,2.53,0.06,2.84,1.01,NA,NA,2.02,7.1,10.9
2.085,2.5,-0.07,2.69,0.55,NA,NA,2.04,6.4,10.1
2.105,2.34,-0.13,3.32,0.89,NA,NA,2.06,6.9,10.6
2.125,2.47,-0.04,2.71,0.37,NA,NA,2.08,11.6,16.5
2.145,2.56,-0.04,3.03,0.4,NA,NA,2.1,5.1,9
2.165,2.36,-0.28,2.99,0.52,NA,NA,2.12,6.2,10.3
2.185,2.28,-0.26,2.84,0.07,NA,NA,2.14,3.9,7.7
2.205,2.29,-0.33,2.95,NA,NA,NA,2.16,4,7.8
2.225,NA,NA,NA,0.21,NA,NA,2.18,6.4,10.4
2.245,2.56,-0.5,2.02,0.13,NA,NA,2.2,4,7.8
2.265,NA,NA,1.72,NA,NA,NA,2.24,1.2,5
2.305,NA,NA,NA,0.49,NA,NA,2.26,0.8,4.2
2.325,2.34,-0.43,3.38,-0.04,NA,NA,2.3,1.6,5.4
2.345,2.46,-0.48,3.35,0.05,NA,NA,2.32,3.2,7.5
2.365,2.9,-0.31,3.81,-0.25,NA,NA,2.34,2.5,6.7
2.385,2.88,-0.13,3.92,-0.47,NA,NA,2.36,3.6,7.8
2.405,2.85,-0.37,3.67,-0.08,NA,NA,2.38,3.8,7.8
2.425,2.52,-0.3,3.79,-0.14,NA,NA,2.4,3.9,7.7
