year (AD),age (BP),Psmr (mm/yr),Tjan (degC)
-2580,4530,97.8,5.58
-2662,4612,96.25,5.65
-2744,4694,96.86,5.66
-2826,4776,99.39,5.58
-2908,4858,105.12,5.38
-2990,4940,111.04,5.18
-3072,5022,116.43,5.01
-3154,5104,119.28,4.9
-3236,5186,120.44,4.87
-3318,5268,119.27,5.01
-3400,5350,117.76,5.32
-3482,5432,116.9,5.65
-3564,5514,117.16,5.95
-3646,5596,117.82,6.14
-3728,5678,119.21,6.25
-3810,5760,121.58,6.13
-3892,5842,123.36,5.89
-3974,5924,124.57,5.6
-4056,6006,127.34,5.34
-4138,6088,131.88,5.07
-4220,6170,136.99,4.76
-4302,6252,140.88,4.4
-4384,6334,143.96,4.11
-4466,6416,146.05,3.81
-4548,6498,144.94,3.56
-4630,6580,141.49,3.37
-4712,6662,137.56,3.37
-4794,6744,134.95,3.46
-4876,6826,133.99,3.53
-4958,6908,135.26,3.59
-5040,6990,137.91,3.62
-5122,7072,142.69,3.58
-5204,7154,146.31,3.52
-5286,7236,147.04,3.48
-5368,7318,145.9,3.45
-5450,7400,145.15,3.43
-5532,7482,143.11,3.49
-5614,7564,138.49,3.68
-5696,7646,134.24,3.85
-5778,7728,132.52,3.96
-5860,7810,128.96,4.12
-5942,7892,122.54,4.37
-6024,7974,116.83,4.6
-6106,8056,114.99,4.76
-6188,8138,114.47,4.87
-6270,8220,114.73,4.9
-6352,8302,117.8,4.76
-6434,8384,123.05,4.53
-6516,8466,129.2,4.27
-6598,8548,133.79,4.08
-6680,8630,137.18,3.95
-6762,8712,139.84,3.93
-6844,8794,142.97,3.95
-6926,8876,145.61,3.92
-7008,8958,147.75,3.71
-7090,9040,149.67,3.38
-7172,9122,152.32,3.01
-7254,9204,154.45,2.72
-7336,9286,155.65,2.54
-7418,9368,156.58,2.55
-7500,9450,159.31,2.79
-7582,9532,162.57,3.11
-7664,9614,163.64,3.42
-7746,9696,162.21,3.58
-7828,9778,161.2,3.55
-7910,9860,161.04,3.28
-7992,9942,160.64,2.97
-8074,10024,159.77,2.63
-8156,10106,160.89,2.26
-8238,10188,163.41,1.9
-8320,10270,164.82,1.71
-8402,10352,163.77,1.7
-8484,10434,161.26,1.67
-8566,10516,158.83,1.64
-8648,10598,158.17,1.6
-8730,10680,157.76,1.58
-8812,10762,157.66,1.47
-8894,10844,157.47,1.3
-8976,10926,158.18,1.13
-9058,11008,157.55,1.05
-9140,11090,155.86,1.06
-9222,11172,154.51,1.12
-9304,11254,154.33,1.14
-9386,11336,154.35,1.15
-9468,11418,154.65,1.17
-9550,11500,155.24,1.19
