depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],age (BP) [2-2],temperature (degC) [2-2],age (BP) [3-1],depth (cm) [3-1],temperature (degC) [3-1]
0,0,9.771,3,36.212,10.745,9263,-0.545,0,0,9.878
3,79.212,10.162,10,239.108,9.777,9069.471,-0.342,94,0.5,9.565
8,224.139,10.043,15,384.02,10.581,8875.943,-0.098,239,1,9.776
10,282.108,9.973,20,528.914,10.452,8682.415,-0.363,384,1.5,9.831
15,427.02,11.044,25,673.783,10.612,8488.887,-0.431,529,2,9.836
20,571.914,10.496,30,818.621,10.514,8295.359,-0.887,674,2.5,9.472
25,716.783,10.001,35,963.421,11.091,8101.831,-0.755,819,3,9.686
30,861.621,10.034,40,1108.176,10.933,7908.302,-0.981,963,3.5,9.845
35,1006.421,10.503,45,1252.995,10.386,7714.774,0.062,1108,4,10.28
40,1151.176,10.572,50,1398.275,10.602,7521.246,-0.299,1253,4.5,10.033
45,1295.995,10.086,55,1544.461,10.851,7327.718,0.265,1398,5,9.92
50,1441.275,10.005,60,1691.998,11.489,7134.19,0.398,1544,5.5,10.268
55,1587.461,10.237,65,1841.33,11.034,6940.661,0.81,1692,6,10.221
60,1734.998,10.428,70,1992.902,11.07,6747.133,0.539,1841,6.5,9.689
65,1884.33,10.225,75,2147.097,11.091,6553.605,0.587,1993,7,10.134
70,2035.902,10.699,80,2304.015,10.921,6360.077,0.694,2147,7.5,10.264
75,2190.097,10.24,85,2463.673,11.076,6166.549,0.608,2304,8,10.292
80,2347.015,10.184,91,2658.901,11.184,5973.021,0.809,2528,8.7,10.045
87,2571.306,10.016,95,2791.272,10.897,5779.492,0.754,2692,9.2,10.197
92,2734.827,10.365,100,2959.247,10.786,5585.964,0.573,2858,9.7,10.053
97,2901.127,10.52,107.5,3199.13,10.361,5392.436,0.564,3027,10.2,10.088
102,3070.222,9.871,112.5,3373.868,10.897,5198.908,0.143,3199,10.7,10.25
107,3242.13,10.218,117.5,3551.451,10.938,5005.38,0.553,3374,11.2,10.55
112,3416.868,10.836,122.5,3731.896,11.589,4811.852,0.337,3551,11.7,10.357
117,3594.451,8.688,127.5,3915.221,10.866,4618.323,0.298,3732,12.2,10.791
122,3774.896,10.697,132.5,4101.441,10.865,4424.795,0.128,3915,12.7,10.48
127,3958.221,10.678,137.5,4290.574,11.25,4231.267,0.247,4101,13.2,10.704
132,4144.441,10.96,142.5,4482.635,11.295,4037.739,0.15,4291,13.7,10.328
137,4333.574,10.429,147.5,4677.63,11.427,3844.211,0.082,4483,14.2,10.458
142,4525.635,10.768,152.5,4875.455,11.161,3650.683,-0.244,4678,14.7,10.497
147,4720.63,11.051,155,4995.443,11.333,3457.154,0.136,4875,15.2,10.598
152,4918.455,10.992,160,5197.469,11.032,3263.626,-0.323,5076,15.7,11.132
157,5118.953,10.642,165,5401.913,10.993,3070.098,-0.483,5197,16,10.695
160,5240.469,10.359,170,5608.618,11.21,2876.57,-0.128,5402,16.5,11.527
165,5444.913,10.97,175,5817.424,11.302,2683.042,-0.017,5609,17,10.717
170,5651.618,11.59,180,6028.175,11.599,2489.513,-0.221,5817,17.5,11.263
175,5860.424,11.494,185,6240.711,11.266,2295.985,-0.134,6028,18,11.273
180,6071.175,11.068,190,6454.873,10.982,2102.457,0.008,6241,18.5,11.287
185,6283.711,11.772,195,6670.504,11.365,1908.929,-0.203,6455,19,11.126
190,6497.873,11.131,200,6887.445,11.312,1715.401,0.114,6671,19.5,11.409
195,6713.504,10.642,205,7105.537,11.364,1521.873,-0.186,6887,20,11.606
200,6930.445,11.311,210,7324.622,11.384,1328.344,-0.414,7106,20.5,11.453
205,7148.537,10.176,215,7544.542,10.697,1134.816,-0.004,7325,21,10.813
210,7367.622,10.398,220,7765.138,10.389,941.288,-0.198,7545,21.5,9.381
215,7587.542,10.824,225,7986.251,9.609,747.76,-0.552,7765,22,11.077
220,7808.138,10.517,230,8207.724,9.775,554.232,-0.338,7986,22.5,9.683
225,8029.251,9.789,235,8429.405,10.04,360.704,-0.292,8208,23,9.546
230,8250.724,9.817,240,8651.2,10.086,167.175,-0.749,8429,23.5,9.848
235,8472.405,10.616,245,8873.05,10.979,NA,NA,8651,24,9.799
240,8694.2,10.825,250,9094.907,10.719,NA,NA,8873,24.5,9.316
245,8916.05,11.209,255,9316.764,9.73,NA,NA,9095,25,9.909
250,9137.907,10.146,NA,NA,NA,NA,NA,9317,25.5,9.747
255,9359.764,10.684,NA,NA,NA,NA,NA,NA,NA,NA
