depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
24,Carbon-14,110229,90,1710,gyttja,NA
55,Carbon-14,110230,110,3230,gyttja,NA
100.5,Carbon-14,110231,160,5610,gyttja/silt-clay,NA
