age (BP),year (AD),age (BP),depth (cm),age (BP),dD (permil),dD (permil)
-21,1950,0,1.25,23,-128.9,-128.9
105,1812,138,7.5,170,-128.3,-128.3
183,1724,226,11.5,265,-133.6,-133.6
279,1615,335,16.5,383,-133.6,-133.6
376,1508,442,21.5,500,-138.1,-138.1
512,1360,590,28.5,658,-134.6,-134.6
630,1235,715,34.5,787,-130.8,-130.8
790,1070,880,42.5,950,-133.5,-133.5
917,948,1002,48.5,1072,-132.4,-132.4
1132,744,1206,58.5,1275,-129,-129
1389,482,1468,71.5,1542,-130.2,-130.2
1895,-33,1983,103.5,2060,-134,-134
2165,-315,2265,128.5,2336,-132.4,-132.5
2414,-609,2559,148.5,2641,-134.1,-134.3
2819,-1015,2965,164.5,3053,-134.2,-134.5
3036,-1217,3167,170.5,3264,-135.3,-135.6
3337,-1506,3456,178.5,3575,-131.8,-132.1
3413,-1580,3530,180.5,3653,-132.9,-133.2
3842,-2014,3964,192.5,4100,-121.5,-121.8
3974,-2144,4094,196.5,4223,-134.3,-134.6
4100,-2260,4210,200.5,4330,-129,-129.2
4382,-2522,4472,210.5,4554,-144.2,-144.4
4585,-2765,4715,220.5,4810,-134.3,-134.5
4676,-2860,4810,224.5,4905,-135.8,-135.9
4771,-2952,4902,228.5,4994,-138.8,-138.9
4871,-3043,4993,232.5,5080,-136.1,-136.2
4973,-3133,5083,236.5,5162,-137.3,-137.5
5077,-3221,5171,240.5,5244,-141,-141.2
5309,-3437,5387,250.5,5454,-141.1,-141.3
5505,-3645,5595,260.5,5670,-147.1,-147.4
5695,-3838,5788,270.5,5863,-140.5,-140.9
5877,-4015,5965,280.5,6037,-141.6,-142
6017,-4148,6098,288.5,6169,-148.2,-148.6
6154,-4280,6230,296.5,6299,-139.7,-140.2
6560,-4701,6651,320.5,6726,-147.2,-147.7
6970,-5135,7085,340.5,7175,-141.2,-141.8
7600,-5769,7719,360.5,7815,-142.9,-143.6
8392,-6577,8527,380.5,8657,-142.9,-143.6
9157,-7381,9331,400.5,9500,-147.3,-148.1
9562,-7789,9739,412.5,9905,-140.9,-142
9795,-8005,9955,420.5,10100,-146.8,-148
9985,-8171,10121,428.5,10245,-141.2,-142.5
10107,-8275,10225,434.5,10341,-141.6,-142.9
10216,-8369,10319,440.5,10446,-142.1,-143.4
10575,-8725,10675,460.5,10890,-139.6,-141.1
10842,-9012,10962,470.5,11187,-135.7,-137.3
11193,-9368,11318,480.5,11527,-121.6,-123.7
11348,-9528,11478,484.5,11672,-128.3,-130.6
11504,-9695,11645,488.5,11821,-125.6,-128.1
11661,-9863,11813,492.5,11978,-122.2,-125
11821,-10034,11984,496.5,12136,-122.3,-125.2
11984,-10207,12157,500.5,12300,-123,-126
12385,-10629,12579,510.5,12714,-126,-129.3
12775,-11020,12970,520.5,13095,-134,-137.5
13105,-11346,13296,530.5,13464,-129.5,-133.3
13365,-11635,13585,540.5,13872,-127.3,-131.4
13643,-11987,13937,550.5,14359,-117.6,-122.1
14035,-12480,14430,560.5,14950,-118.5,-123.4
14375,-12811,14761,564.5,15247,-127.9,-132.9
14914,-13282,15232,568.5,15618,-108.9,-114.3
15504,-13818,15768,572.5,16033,-104.6,-110.4
16031,-14336,16286,576.5,16459,-105.8,-112.1
16425,-14725,16675,580.5,16825,-102.6,-109.2
17139,-15369,17319,590.5,17472,-103.2,-110.4
17615,-15875,17825,600.5,18015,-108.8,-116.3
17986,-16240,18190,610.5,18366,-112.2,-119.7
18286,-16518,18468,620.5,18625,-108.3,-115.8
18970,-17275,19225,640.5,19385,-114.3,-121.6
21248,-19545,21495,660.5,21746,-108.1,-115.2
24220,-22505,24455,680.5,24795,-112.1,-118.8
25442,-23844,25794,690.5,26140,-108.4,-114.6
26315,-24940,26890,700.5,27420,-108.7,-115.1
27030,-25672,27622,710.5,28125,-111,-117.4
27700,-26301,28251,720.5,28702,-110.3,-116.7
28317,-26844,28794,730.5,29194,-109.9,-116.3
28881,-27329,29279,740.5,29626,-110.9,-117.1
29384,-27780,29730,750.5,30035,-115,-121
29829,-28215,30165,760.5,30439,-114.5,-120.4
30257,-28658,30608,770.5,30850,-113.2,-119.1
30720,-29120,31070,780.5,31290,-112.5,-118.4
31597,-29992,31942,800.5,32228,-116.4,-122.2
31914,-30416,32366,810.5,32751,-115.2,-120.9
32220,-30860,32810,820.5,33297,-117.4,-123.1
32985,-31865,33815,840.5,34440,-119.1,-124.8
33602,-32515,34465,850.5,35094,-119.1,-124.7
34407,-33260,35210,860.5,35926,-118.2,-123.6
35977,-34862,36812,880.5,37852,-122.2,-127.4
36616,-35583,37533,890.5,38709,-118.3,-123.3
37215,-36195,38145,900.5,39260,-118.6,-123.8
37781,-36735,38685,910.5,39706,-119.2,-124.7
38306,-37220,39170,920.5,40204,-121,-126.5
38722,-37680,39630,930.5,40723,-120.6,-126.1
39019,-38116,40066,940.5,41239,-121,-126.5
