OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,1,Core top,-40,-38,-42,Y,120Pb Dating
VERA-50056,24,25,C14 Uncalibrated,2120,2180,2060,Y,Moss remains and unidentified twig/root
VERA-50093,26,27,C14 Uncalibrated,2155,2210,2100,Y,Unidentified twig/root
VERA-50057,34,35,C14 Uncalibrated,2470,2500,2440,Y,Moss remains and unidentified twig/root
VERA-50095,60,61,C14 Uncalibrated,3920,3960,3880,Y,Moss remains
VERA-50096,69,70,C14 Uncalibrated,4600,4640,4560,Y,Unidentified twig
VERA-50048,83,84,C14 Uncalibrated,5095,5125,5065,Y,Unidentified twig/root
VERA-50097,114,115,C14 Uncalibrated,6785,6825,6745,Y,Moss remains
VERA-50058,127,128,C14 Uncalibrated,7320,7350,7290,Y,Bud scale
VERA-50059,147,148,C14 Uncalibrated,8650,8680,8620,Y,Moss remains and unidentified twig/root
