depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
111.143,-19,NA,NA,12.195,9.438,N
114.571,151.636,NA,NA,12.304,9.55,N
119.143,303.273,NA,NA,11.707,8.944,N
123.714,454.909,NA,NA,12.096,9.324,N
128.286,606.545,NA,NA,11.824,9.06,N
132.857,758.182,NA,NA,12.728,9.977,N
137.429,909.818,NA,NA,12.424,9.659,N
142,1061.455,NA,NA,12.047,9.276,N
146.571,1213.091,NA,NA,12.955,10.187,N
151.143,1364.727,NA,NA,11.055,8.304,N
155.714,1516.364,NA,NA,12.203,9.44,N
160.286,1668,NA,NA,10.563,7.807,N
164.857,1764,NA,NA,11.15,8.391,N
169.429,1859,NA,NA,10.736,7.972,N
174,1955,NA,NA,9.936,7.139,N
178.571,2050,9.349,NA,10.734,7.965,Y
183.143,2146,8.749,NA,10.132,7.366,Y
187.714,2241,9.196,NA,10.575,7.816,Y
192.286,2336,9.791,NA,11.177,8.406,Y
196.857,2432,10.175,NA,11.559,8.791,Y
201.07,2520,9.228,NA,10.627,7.83,Y
204.278,2587,10.318,NA,11.699,8.937,Y
208.556,2676,9.341,NA,10.725,7.957,Y
212.834,2765,10.449,NA,11.835,9.064,Y
217.112,2855,8.838,NA,10.23,7.445,Y
221.39,2944,9.296,NA,10.671,7.921,Y
225.668,3033,10.869,NA,12.249,9.489,Y
229.947,3122,10.024,NA,11.401,8.647,Y
234.225,3212,10.984,NA,12.367,9.602,Y
238.503,3301,11.615,NA,13.012,10.218,Y
242.781,3444,11.178,NA,12.561,9.795,Y
247.059,3587,10.644,NA,12.027,9.262,Y
251.337,3730,10.724,NA,12.106,9.343,Y
255.615,3873,10.919,NA,12.311,9.527,Y
259.893,4015,11.149,NA,12.531,9.766,Y
264.171,4158,11.026,NA,12.413,9.64,Y
268.449,4301,10.762,NA,12.144,9.38,Y
272.727,4444,9.908,NA,11.296,8.521,Y
277.005,4587,10.862,NA,12.246,9.479,Y
281.283,4730,11.299,NA,12.686,9.911,Y
285.561,4873,11.086,NA,12.472,9.699,Y
289.84,5015,10.93,NA,12.326,9.534,Y
294.118,5158,10.876,NA,12.265,9.486,Y
298.396,5301,10.644,NA,12.04,9.248,Y
301.064,5390,10.726,NA,12.109,9.342,Y
304.255,5497,10.725,NA,12.118,9.333,Y
308.511,5639,10.741,NA,12.13,9.352,Y
312.766,5781,11.374,NA,12.766,9.981,Y
317.021,5928,11.244,NA,12.641,9.846,Y
321.277,6079,10.945,NA,12.336,9.554,Y
325.532,6230,10.987,NA,12.38,9.594,Y
329.787,6381,11.442,NA,12.853,10.031,Y
334.043,6532,11.906,NA,13.298,10.515,Y
338.298,6683,13.147,NA,14.57,11.724,Y
342.553,6834,12.512,NA,13.932,11.093,Y
346.809,6985,12.073,NA,13.469,10.678,Y
351.064,7136,11.985,NA,13.383,10.588,Y
355.319,7274,12.258,NA,13.66,10.855,Y
359.574,7359,12.521,NA,13.923,11.118,Y
363.83,7443,12.021,NA,13.423,10.619,Y
368.085,7527,11.949,NA,13.35,10.549,Y
372.34,7612,12.287,NA,13.681,10.894,Y
376.596,7696,12.106,NA,13.497,10.715,Y
380.851,7781,12.448,NA,13.858,11.038,Y
385.106,7865,13.199,NA,14.61,11.788,Y
389.362,7949,12.912,NA,14.319,11.504,Y
393.617,8034,11.788,NA,13.188,10.389,Y
397.872,8118,12.762,NA,14.169,11.355,Y
401.02,8181,12.585,NA,13.991,11.179,Y
404.082,8241,12.894,NA,14.296,11.493,Y
408.163,8322,12.217,NA,13.616,10.819,Y
412.245,8403,13.83,NA,15.234,12.425,Y
416.327,8484,12.994,NA,14.403,11.585,Y
420.408,8565,13.145,NA,14.552,11.737,Y
424.49,8646,11.923,NA,13.322,10.524,Y
428.571,8727,12.194,NA,13.589,10.799,Y
432.653,8808,12.744,NA,14.148,11.339,Y
436.735,8889,12.835,NA,14.239,11.431,Y
440.816,8970,13.432,NA,14.838,12.026,Y
444.898,9051,12.627,NA,14.026,11.228,Y
448.98,9132,13.397,NA,14.818,11.976,Y
453.061,9198,13.113,NA,14.524,11.702,Y
457.143,9263,13.156,NA,14.552,11.759,Y
461.224,9327,14.242,NA,15.651,12.833,Y
465.306,9392,12.669,NA,14.071,11.268,Y
469.388,9456,13.041,NA,14.435,11.647,Y
473.469,9521,12.372,NA,13.768,10.976,Y
477.551,9585,12.339,NA,13.74,10.937,Y
481.633,9650,11.85,NA,13.244,10.456,Y
485.714,9714,12.94,NA,14.333,11.547,Y
489.8,9779,13.163,NA,14.563,11.763,Y
493.878,9843,12.465,NA,13.855,11.074,Y
497.959,9908,12.841,NA,14.238,11.444,Y
502,9972,12.936,NA,14.334,11.537,Y
504,10003,12.099,NA,13.498,10.699,Y
506,10035,11.928,NA,13.333,10.523,Y
508,10066,13.147,NA,14.547,11.747,Y
510,10098,11.996,NA,13.387,10.605,Y
512,10130,12.668,NA,14.075,11.261,Y
514,10161,11.837,NA,13.226,10.448,Y
516,10193,12.235,NA,13.634,10.836,Y
518,10224,10.955,NA,12.342,9.568,Y
520,10256,10.847,NA,12.229,9.465,Y
522,10280.378,10.967,NA,12.359,9.576,Y
524,10312.757,11.688,NA,13.075,10.301,Y
526,10352.336,12.297,NA,13.683,10.911,Y
528,10399.115,11.475,NA,12.86,10.091,Y
530,10453.094,11.927,NA,13.322,10.533,Y
532,10514.273,11.735,NA,13.121,10.348,Y
534,10582.652,11.545,NA,12.946,10.145,Y
536,10658.231,11.926,NA,13.317,10.535,Y
538,10741.01,11.339,NA,12.726,9.952,Y
540,10830.555,11.76,NA,13.171,10.35,Y
542,10925.584,10.745,NA,12.14,9.35,Y
544,11026.127,9.273,NA,10.675,7.871,Y
548,11243.81,9.16,NA,10.543,7.778,Y
550,11360.939,8.551,NA,9.933,7.169,Y
552,11483.564,8.059,NA,9.444,6.673,Y
