depth (cm),age (BP),temperature (degC)
729,-50,10.99
732,-37,11.104
736,62,11.914
740,167,11.273
744,273,10.945
748,379,11.066
752,484,11.507
756,589,10.936
760,693,11.139
764,798,10.904
768,901,10.395
772,1005,10.553
776,1107,11.134
780,1210,11.085
784,1311,11.242
788,1412,10.759
792,1512,10.561
796,1611,10.802
799,1685,10.87
804,1807,10.614
807,1879,11.181
810,1951,10.997
814,2045,11.794
818,2139,11.296
822,2231,11.21
826,2323,11.108
830,2413,11.05
834,2503,10.982
838,2592,10.888
842,2680,11.945
846,2768,11.33
850,2855,11.452
854,2942,11.113
858,3028,11.927
862,3114,11.32
866,3200,11.124
870,3287,11.284
874,3374,11.165
878,3463,11.143
882,3552,11.338
886,3643,11.874
890,3736,11.03
894,3831,11.528
898,3928,12.101
903,4053,12.479
906,4130,11.869
910,4235,12.145
914,4344,11.693
918,4457,11.975
922,4573,11.507
926,4693,12.265
930,4817,12.02
934,4945,11.924
938,5076,11.624
942,5212,12.336
946,5351,12.235
950,5494,12.366
954,5642,12.172
958,5793,12.523
962,5948,12.54
966,6108,12.557
970,6271,12.349
974,6438,12.675
978,6610,12.696
982,6786,12.816
986,6985,12.761
990,7149,12.573
994,7337,12.883
998,7530,13.463
1002,7726,12.931
1006,7926,12.835
1010,8131,12.8
1014,8339,13.36
1017.75,8550,13.25
1026,8988,12.431
