depth (cm),age (BP),temperature (degC)
0,-45,9.655
4,161.66,9.45
8,378.02,9.834
12,591.68,10.01
16,801.24,10.219
20,1005.31,9.73
24,1202.46,9.716
28,1391.36,10.058
32,1571.9,10.172
36,1744.84,9.906
40,1911.09,9.701
44,2071.49,9.735
48,2226.92,10.363
52,2378.24,10.195
56,2526.32,10.565
60,2672.01,10.248
64,2816.19,10.222
68,2959.72,9.674
72,3103.46,9.765
76,3248.28,10.195
80,3395.05,10.295
84,3544.62,10.544
88,3697.85,10.851
92,3855.2,10.39
96,4016.85,10.295
100,4182.93,10.79
104,4353.6,10.106
108,4529.02,10.413
113,4755.07,10.75
116,4894.06,10.271
120,5082.9,9.863
124,5275.32,10.668
128,5470.82,10.436
132,5668.95,10.946
136,5869.2,11.551
140,6071.11,11.162
144,6274.2,11.016
148,6477.98,11.003
152,6681.98,11.07
156,6885.77,11.136
160,7088.94,11.313
164,7291.11,11.522
168,7491.89,11.423
172,7690.99,11.361
176,7888.55,11.79
180,8084.75,10.575
184,8279.81,10.695
188,8473.93,10.77
192,8667.3,11.128
196,8860.14,11.393
