depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
43.25,435,430,3720,45,4160,3960,5,1,2,3
47,480,460,3820,55,4415,4085,20,1,1,1
62.25,625,620,5695,40,6630,6400,5,1,3,3
15,170,130,1135,30,1140,965,40,1,4,4
29.5,320,270,1505,30,1515,1315,50,1,5,4
58.5,610,560,2475,35,2715,2365,50,1,6,1
82.5,840,810,3590,35,3985,3825,30,1,7,1
114,1160,1120,5060,40,5910,5715,40,1,8,1
143.5,1450,1420,6630,40,7575,7455,30,1,9,4
143.5,1450,1420,6440,40,7430,7290,30,1,10,2
172,1740,1700,8260,0,9420,9090,40,1,11,4
