depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
33,Carbon-14,108922,80,1780,NA,NA
123.5,Carbon-14,108923,80,2160,NA,NA
203,Carbon-14,108924,75,3440,NA,NA
325,Carbon-14,108925,80,5030,NA,NA
421,Carbon-14,108926,100,9220,NA,NA
