depth (cm),age (BP),d18O (permil)
2310,-10,-27.14
3610,10,-26.76
4705,30,-26.94
5605,50,-27.86
6470,70,-27.63
7255,90,-27.23
7985,110,-27.74
8660,130,-27.77
9285,150,-27.49
9865,170,-27.38
10450,190,-27.47
11125,210,-27.74
11715,230,-27.65
12225,250,-27.97
12720,270,-27.07
13135,290,-27.26
13635,310,-27.35
14020,330,-27.63
14425,350,-27.56
14840,370,-27.34
15190,390,-27.61
15552.5,410,-27.13
15907.5,430,-27.01
16252.5,450,-27.5
16607.5,470,-27.32
16907.5,490,-27.48
17215,510,-26.73
17457.5,530,-27.58
17715,550,-26.71
17935,570,-26.72
18192.5,590,-27.6
18447.5,610,-27.63
18680,630,-27
18897.5,650,-27.17
19137.5,670,-27.71
19397.5,690,-27.46
19577.5,710,-27.78
19747.5,730,-27.32
19912.5,750,-27
20115,770,-27.5
20272.6,790,-26.55
20430,810,-27.21
20584.2,830,-27.46
20735.2,850,-27.11
20883.2,870,-27.41
21028.2,890,-27.76
21170.3,910,-27.35
21309.6,930,-27.42
21446.2,950,-27.15
21580.2,970,-27.16
21711.5,990,-26.81
21840.5,1010,-27.29
21966.7,1030,-27.16
22088.2,1050,-27.39
22202,1070,-26.92
22307,1090,-27.07
22409.3,1110,-27.03
22509.9,1130,-26.9
22608.9,1150,-27.52
22706,1170,-27.88
22801.3,1190,-26.51
22894.7,1210,-26.96
22986.2,1230,-27.2
23075.6,1250,-27.42
23162.9,1270,-27.67
23248,1290,-27.28
23331,1310,-27.52
23411.6,1330,-27.07
23489.9,1350,-27.29
23565.8,1370,-27.46
23639.2,1390,-27.02
23710.1,1410,-26.89
23778.5,1430,-27.27
23845.1,1450,-26.97
23910.1,1470,-27.2
23973.6,1490,-27.86
24035.5,1510,-26.97
24096,1530,-26.71
24155,1550,-26.45
24212.7,1570,-27.11
24269,1590,-27.26
24323.9,1610,-27.26
24377.6,1630,-26.86
24430.1,1650,-27.73
24481.4,1670,-26.79
24531.5,1690,-27.59
24580.5,1710,-27.33
24628.4,1730,-27.62
24675.3,1750,-27.5
24721.2,1770,-27.43
24765.9,1790,-26.89
24809.3,1810,-27.25
24851.3,1830,-26.53
24892.1,1850,-27.33
24931.9,1870,-27.73
24970.6,1890,-26.81
25008.4,1910,-27.08
25045.5,1930,-27.21
25081.8,1950,-26.96
25117.6,1970,-27.16
25153,1990,-26.1
25187.9,2010,-26.98
25222.2,2030,-27.7
25255.8,2050,-26.96
25288.7,2070,-27.09
25321,2090,-27.37
