depth (cm),age (BP),temperature (degC)
0,0,4.405
2,96.101,4.149
4,190.677,4.611
6,283.75,4.947
8,375.344,4.428
20,895.062,5.603
24,1057.467,5.517
28,1214.751,6.165
32,1367.092,5.684
36,1514.667,5.673
40,1657.655,6.918
44,1796.233,6.152
48,1930.579,6.24
52,2060.871,6.715
56,2187.287,5.956
60,2310.004,6.7
64,2429.201,6.773
68,2545.055,6.158
72,2657.744,7.084
76,2767.445,6.028
80,2874.337,7.063
84,2978.598,7.101
88,3080.404,6.819
92,3179.935,6.318
96,3277.367,6.449
100,3372.879,7.557
104,3466.649,6.63
108,3558.854,6.488
112,3649.671,7.57
116,3739.28,6.284
120,3827.858,6.507
124,3915.582,7.184
128,4002.629,6.708
132,4089.18,7.401
136,4175.41,6.817
140,4261.498,8.088
144,4347.622,7.37
148,4433.958,7.567
152,4520.687,7.575
156,4607.983,7.299
160,4696.026,7.566
164,4784.995,7.553
168,4875.066,7.282
172,4966.417,7.431
176,5059.226,7.887
180,5153.671,7.879
184,5249.929,6.732
188,5348.179,7.086
192,5448.599,8.053
196,5551.364,7.669
200,5656.655,7.234
204,5764.649,8.405
208,5875.523,7.056
212,5989.457,7.745
216,6106.625,7.393
220,6227.208,7.187
224,6351.383,7.446
228,6479.327,7.499
232,6611.218,7.971
236,6747.235,7.328
240,6887.555,7.043
244,7032.355,7.079
248,7181.814,6.224
252,7336.109,7.186
256,7495.419,6.897
260,7659.921,6.688
264,7829.793,6.831
268,8005.212,6.39
272,8186.357,6.405
276,8373.405,5.781
280,8566.535,5.894
284,8765.923,6.747
288,8971.748,5.5
