year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
2009,-59,0.95,-7.81,0.89
2008.3,-58.3,1.7,-5.91,3.18
2007.8,-57.8,2.2,-9.03,-0.76
2007.4,-57.4,2.58,-5.35,3.75
2007,-57,2.98,-5.61,3.87
2006.2,-56.2,3.4,-5.98,3.56
2005.4,-55.4,3.8,-5.35,4.14
2004.4,-54.4,4.15,-6.67,2.71
2003.2,-53.2,4.45,-5.82,3.8
2002,-52,4.75,-5.88,3.23
2001,-51,5,-6.36,3.19
2000,-50,5.2,-5.4,3.76
1999,-49,5.4,-5.53,3.68
1998,-48,5.6,-5.86,3.41
1996.6,-46.6,5.88,-5.6,3.85
1995.1,-45.1,6.18,-6.58,2.5
1994.1,-44.1,6.38,-6.63,2.65
1993.4,-43.4,6.53,-5.78,3.59
1992.6,-42.6,6.68,-5.31,3.7
1991.9,-41.9,6.83,-6.66,2.28
1991.3,-41.3,6.95,-6.64,2.52
1990.6,-40.6,7.05,-6.54,2.27
1989.7,-39.7,7.15,-5.98,2.99
1988.8,-38.8,7.25,-5.45,3.26
1987.9,-37.9,7.35,-8.81,0.12
1987,-37,7.45,-7.7,2.31
1985.6,-35.6,7.6,-10.14,-0.42
1983.8,-33.8,7.8,-6.4,2.79
1981.6,-31.6,8.05,-5.47,3.74
1980.7,-30.7,8.15,-6.25,2.97
1979.3,-29.3,8.3,-8.15,1.07
1978,-28,8.45,-7.84,1.52
1976.6,-26.6,8.6,-10.1,-0.96
1975.3,-25.3,8.75,-6.21,3.07
1974.4,-24.4,8.85,-8.65,0.75
1973.5,-23.5,8.95,-6.52,2.57
1972.7,-22.7,9.05,-7.83,1.75
1971.6,-21.6,9.2,-7.6,1.71
1970.6,-20.6,9.35,-6.82,2.45
1969.9,-19.9,9.45,-7.67,1.74
1969.2,-19.2,9.55,-5.93,3.5
1968.5,-18.5,9.65,-6.66,2.58
1967.8,-17.8,9.75,-9.93,-1.83
1966.7,-16.7,9.9,-5.61,3.29
1965.3,-15.3,10.05,-7.17,2.13
1963.8,-13.8,10.15,-6.51,2.64
1961.5,-11.5,10.3,-5.79,3.46
1959.3,-9.3,10.45,-6.08,2.97
1957,-7,10.6,-5.87,3.14
1954.8,-4.8,10.75,-5.12,4.26
1953.3,-3.3,10.85,-8.72,0.47
1951.8,-1.8,10.95,-5.62,3.36
1949.5,0.5,11.1,-8.93,0.35
1947.2,2.8,11.25,-6.68,2.21
1945,5,11.4,-7.25,1.8
1942.7,7.3,11.55,-4.93,3.84
1941.2,8.8,11.65,-7.22,2.16
1939.7,10.3,11.75,-4.96,4.68
1938.2,11.8,11.85,-6.3,3
1936.7,13.3,11.95,-4.91,4.45
1934.7,15.3,12.05,-5.83,3.56
1932.2,17.8,12.15,-4,4.55
1928.5,21.5,12.3,-5.5,4.11
1924.7,25.3,12.45,-5.74,3.62
1921,29,12.6,-5.91,3.78
1916,34,12.8,-6.12,3.43
1912.2,37.8,12.95,-5.44,4.32
1908.5,41.5,13.1,-4.93,4.69
1904.7,45.3,13.25,-5.2,4.42
1902.2,47.8,13.35,-4.83,4.17
1898.5,51.5,13.5,-4.91,4.13
1894.7,55.3,13.65,-4.74,4.42
1892.2,57.8,13.75,-4.44,4.61
1888.5,61.5,13.9,-4.86,4.33
1884.7,65.3,14.1,-4.86,4.53
1882.1,67.9,14.3,-4.7,4.46
1880.1,69.9,14.45,-5.25,4.07
1878.2,71.8,14.6,-5.77,3.44
1876.2,73.8,14.75,-5.23,3.71
1874.9,75.1,14.85,-7.01,2.3
1873,77,15,-6.56,2.42
1870.2,79.8,15.2,-4.7,4.26
1867.4,82.6,15.4,-5.46,3.43
1865.3,84.7,15.55,-6.96,2.13
1863.9,86.1,15.65,-6.61,2.19
1862.5,87.5,15.75,-5.27,3.53
1860.4,89.6,15.9,-4.87,3.77
1858.3,91.7,16.05,-5.26,2.74
1857,93,16.15,-5.79,2.57
1855.1,94.9,16.3,-4.65,4.23
1853.1,96.9,16.45,-5.44,3.77
1851.8,98.2,16.55,-7.07,2.38
1849.9,100.1,16.7,-5.03,4.55
1847.9,102.1,16.85,-5.91,3.52
1846.6,103.4,16.95,-6.08,3.31
1845.3,104.7,17.05,-7.76,1.78
1843.2,106.8,17.2,-6.39,3.01
1840.4,109.6,17.4,-5.43,4.19
1837.6,112.4,17.6,-5.45,4.29
1835.5,114.5,17.75,-5.54,4.31
1834.1,115.9,17.85,-5.37,4.41
1832.7,117.3,17.95,-5.23,4.14
1830.6,119.4,18.1,-5.12,4.56
1828.5,121.5,18.25,-5.36,4.43
1826.4,123.6,18.4,-5.15,4.47
1824.3,125.7,18.55,-2.83,5.43
1822.2,127.8,18.7,-5.19,4.42
1819.4,130.6,18.9,-5.41,3.92
1815.4,134.6,19.2,-5.41,4.11
1813.4,136.6,19.35,-5.6,3.97
1811.5,138.5,19.5,-5.34,4.09
1809.5,140.5,19.65,-5.44,4.25
1808.2,141.8,19.75,-5.68,3.86
1805.6,144.4,19.95,-5.29,4.15
1804.3,145.7,20.05,-5.26,4.21
1802.9,147.1,20.15,-5.68,3.49
1801.5,148.5,20.25,-5.85,3.22
1800.1,149.9,20.35,-5.57,4
1798.7,151.3,20.45,-5.51,3.97
1795.9,154.1,20.65,-5.51,4.13
1794.5,155.5,20.75,-5.76,4.05
1792.4,157.6,20.9,-5.4,4.1
1790.3,159.7,21.05,-6.11,3.23
1789,161,21.15,-6.86,1.97
1787.1,162.9,21.3,-6.15,2.77
1785.1,164.9,21.45,-5.26,3.89
1783.8,166.2,21.55,-5.93,3.12
1782.5,167.5,21.65,-5.67,3.32
1781.2,168.8,21.75,-6.29,2.69
1779.3,170.7,21.9,-5.73,3.4
1777.3,172.7,22.05,-5.54,3.52
1775.9,174.1,22.15,-5.84,3.32
1774.5,175.5,22.25,-5.56,3.59
1772.4,177.6,22.4,-5.18,3.98
1770.3,179.7,22.55,-5.2,3.85
1767.5,182.5,22.75,-5.37,3.97
1764,186,23,-5.18,4.35
1762,188,23.15,-5.08,4.34
1760.7,189.3,23.25,-5.18,4.06
1759.4,190.6,23.35,-5.29,4.33
1758.1,191.9,23.45,-4.99,4.49
1756.2,193.8,23.6,-5.01,4.47
1754.2,195.8,23.75,-5.12,4.5
1752.3,197.7,23.9,-5.29,4.36
1749.6,200.4,24.1,-5.38,4.12
1747.5,202.5,24.25,-5.58,3.95
1745.4,204.6,24.4,-5,4.22
1743.3,206.7,24.55,-5.37,4.01
1741.9,208.1,24.65,-4.93,4.58
1739.8,210.2,24.8,-5.03,4.35
1737,213,25,-5.3,4
1735,215,25.15,-5.56,4.09
1733.7,216.3,25.25,-4.87,4.37
1732.4,217.6,25.35,-4.88,4.48
1731.1,218.9,25.45,-5.1,4.46
1729.8,220.2,25.55,-4.98,4.46
1727.9,222.1,25.7,-5.01,4.36
1725.9,224.1,25.85,-4.94,4.61
1724.6,225.4,25.95,-4.98,4.51
1722.6,227.4,26.1,-4.01,4.71
