year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1700,250,0.862,-45.02,46.744
1650,300,2.417,-44.165,49
1600,350,7.882,-35.126,50.89
1550,400,-8.736,-67.623,50.152
1500,450,-26.462,-101.219,48.294
1450,500,-39.974,-127.235,47.287
1400,550,-36.896,-121.085,47.293
1350,600,-20.409,-89.764,48.945
1300,650,-3.616,-57.836,50.605
1250,700,14.103,-24.592,52.797
1200,750,15.77,-23.099,54.638
1150,800,9.113,-37.917,56.143
1100,850,-1.788,-61.122,57.546
1050,900,-0.418,-60.118,59.282
1000,950,5.14,-50.929,61.209
950,1000,10.657,-41.805,63.118
900,1050,16.103,-32.736,64.943
850,1100,21.308,-23.98,66.596
800,1150,26.321,-15.384,68.027
750,1200,31.22,-6.844,69.284
700,1250,36.087,1.7,70.473
650,1300,40.95,10.25,71.65
600,1350,41.531,10.366,72.696
550,1400,42.265,10.482,74.048
500,1450,49.385,21.241,77.528
450,1500,50.946,21.352,80.539
400,1550,57.158,29.932,84.384
350,1600,58.366,29.58,87.153
300,1650,69.12,45.738,92.503
250,1700,73.866,51.679,96.052
200,1750,78.606,58.01,99.202
150,1800,78.1,56.621,99.579
100,1850,75.406,50.922,99.891
50,1900,71.342,43.123,99.562
0,1950,68.551,37.185,99.917
-50,2000,69.156,37.307,101.005
-100,2050,69.76,37.428,102.092
-150,2100,70.363,37.55,103.176
-200,2150,70.971,37.671,104.271
-250,2200,71.592,37.793,105.392
-300,2250,72.239,37.914,106.563
-350,2300,72.926,38.036,107.817
-400,2350,73.686,38.157,109.215
-450,2400,69.772,29.73,109.813
-500,2450,65.945,21.3,110.59
-550,2500,62.162,12.865,111.46
-600,2550,63.163,12.972,113.354
-650,2600,64.168,13.08,115.257
-700,2650,65.128,13.188,117.068
-750,2700,66.039,13.295,118.782
-800,2750,62.305,4.824,119.786
-850,2800,58.559,-3.651,120.769
-900,2850,50.382,-20.719,121.484
-950,2900,46.593,-29.217,122.403
-1000,2950,38.179,-46.316,122.674
-1050,3000,33.646,-54.836,122.129
-1100,3050,25.174,-71.967,122.315
-1150,3100,21.321,-80.508,123.151
-1200,3150,18.237,-89.053,125.527
-1250,3200,19.532,-88.996,128.061
-1300,3250,25.753,-80.313,131.819
-1350,3300,31.877,-71.626,135.38
-1400,3350,33.548,-71.568,138.664
-1450,3400,30.41,-80.135,140.955
-1500,3450,27.264,-88.702,143.229
-1550,3500,28.5,-88.586,145.586
-1600,3550,37.592,-76.795,151.979
-1650,3600,46.022,-63.894,155.939
-1700,3650,47.484,-63.587,158.556
-1750,3700,41.133,-74.859,157.126
-1800,3750,40.099,-78.354,158.552
-1850,3800,65.685,-35.436,166.807
-1900,3850,100.246,25.893,174.6
-1950,3900,130.13,78.633,181.627
-2000,3950,140.286,97.802,182.77
-2050,4000,143.978,103.257,184.699
-2100,4050,137.071,90.549,183.593
-2150,4100,127.818,72.961,182.676
-2200,4150,115.867,50.561,181.172
-2250,4200,114.259,46,182.517
-2300,4250,114.712,46,183.425
-2350,4300,115.022,46,184.044
-2400,4350,115.299,46,184.599
-2450,4400,115.576,46,185.153
-2500,4450,115.853,46,185.707
-2550,4500,116.131,46,186.261
-2600,4550,116.408,46,186.815
-2650,4600,119.066,50.832,187.299
-2700,4650,119.343,50.832,187.853
-2750,4700,119.62,50.832,188.408
-2800,4750,117.516,46,189.032
-2850,4800,117.794,46,189.588
-2900,4850,118.095,46,190.19
-2950,4900,118.591,46,191.182
-3000,4950,119.282,46,192.563
-3050,5000,120.144,46,194.287
-3100,5050,121.006,46,196.012
-3150,5100,124.485,50.958,198.012
-3200,5150,130.93,60.899,200.961
-3250,5200,134.482,65.883,203.082
-3300,5250,132.727,60.925,204.53
-3350,5300,127.97,50.983,204.958
-3400,5350,128.707,51.021,206.393
-3450,5400,129.192,51.021,207.364
-3500,5450,129.543,51.021,208.065
-3550,5500,127.127,46,208.255
-3600,5550,127.499,46,208.998
-3650,5600,127.962,46,209.924
-3700,5650,128.682,46,211.365
-3750,5700,143.145,67.382,218.909
-3800,5750,157.936,89.218,226.655
-3850,5800,159.094,89.218,228.97
-3900,5850,177.624,118.003,237.245
-3950,5900,195.871,146.333,245.408
-4000,5950,227.63,196.5,258.761
-4050,6000,228.401,196.5,260.302
-4100,6050,229.178,196.5,261.856
-4150,6100,229.955,196.5,263.411
-4200,6150,230.732,196.5,264.965
-4250,6200,231.51,196.5,266.52
-4300,6250,232.287,196.5,268.074
-4350,6300,233.064,196.5,269.628
-4400,6350,233.841,196.5,271.183
-4450,6400,234.619,196.5,272.737
-4500,6450,235.396,196.5,274.291
-4550,6500,236.173,196.5,275.846
-4600,6550,236.95,196.5,277.4
-4650,6600,237.727,196.5,278.955
-4700,6650,238.505,196.5,280.509
-4750,6700,239.282,196.5,282.064
-4800,6750,240.059,196.5,283.618
-4850,6800,240.836,196.5,285.173
-4900,6850,241.614,196.5,286.727
-4950,6900,242.391,196.5,288.281
-5000,6950,243.168,196.5,289.836
-5050,7000,243.945,196.5,291.39
-5100,7050,244.723,196.5,292.945
-5150,7100,245.499,196.5,294.499
-5200,7150,246.277,196.5,296.054
-5250,7200,247.054,196.5,297.608
-5300,7250,247.831,196.5,299.163
-5350,7300,248.608,196.5,300.716
-5400,7350,249.386,196.5,302.271
-5450,7400,250.163,196.5,303.825
-5500,7450,250.94,196.5,305.38
-5550,7500,251.707,196.5,306.914
-5600,7550,252.325,196.5,308.15
-5650,7600,252.788,196.5,309.075
-5700,7650,253.105,196.5,309.71
-5750,7700,253.415,196.5,310.331
-5800,7750,253.726,196.5,310.952
-5850,7800,254.036,196.5,311.572
-5900,7850,254.346,196.5,312.192
-5950,7900,254.657,196.5,312.813
-6000,7950,254.967,196.5,313.434
-6050,8000,255.277,196.5,314.055
-6100,8050,255.588,196.5,314.675
-6150,8100,255.898,196.5,315.296
-6200,8150,256.208,196.5,315.917
-6250,8200,256.519,196.5,316.537
-6300,8250,256.829,196.5,317.158
-6350,8300,257.139,196.5,317.778
-6400,8350,257.45,196.5,318.399
-6450,8400,257.76,196.5,319.02
-6500,8450,258.07,196.5,319.641
-6550,8500,258.381,196.5,320.261
-6600,8550,258.691,196.5,320.882
-6650,8600,259.001,196.5,321.503
-6700,8650,259.312,196.5,322.124
-6750,8700,259.622,196.5,322.744
-6800,8750,259.932,196.5,323.365
-6850,8800,260.243,196.5,323.985
-6900,8850,260.553,196.5,324.606
-6950,8900,260.863,196.5,325.227
-7000,8950,261.174,196.5,325.847
-7050,9000,261.484,196.5,326.468
-7100,9050,261.794,196.5,327.089
-7150,9100,262.105,196.5,327.71
-7200,9150,262.415,196.5,328.33
-7250,9200,262.725,196.5,328.95
-7300,9250,263.036,196.5,329.571
-7350,9300,263.349,196.5,330.198
-7400,9350,263.668,196.5,330.835
-7450,9400,264.218,196.5,331.937
-7500,9450,265.003,196.5,333.506
-7550,9500,266.019,196.5,335.538
-7600,9550,267.04,196.5,337.58
-7650,9600,268.062,196.5,339.624
-7700,9650,269.083,196.5,341.666
-7750,9700,270.105,196.5,343.71
-7800,9750,271.127,196.5,345.753
-7850,9800,272.149,196.5,347.797
-7900,9850,273.17,196.5,349.841
-7950,9900,274.192,196.5,351.883
-8000,9950,275.213,196.5,353.926
-8050,10000,276.235,196.5,355.97
-8100,10050,277.256,196.5,358.013
