year (AD),age (BP),d18O (permil)
1990,-40,-35.16
1970,-20,-35.82
1950,0,-35.11
1930,20,-34.65
1910,40,-34.53
1890,60,-35.29
1870,80,-35.02
1850,100,-35.02
1830,120,-35.78
1810,140,-35.16
1790,160,-35.61
1770,180,-35.12
1750,200,-35.79
1730,220,-35.82
1710,240,-35.36
1690,260,-36.05
1670,280,-35.39
1650,300,-36.14
1630,320,-35.33
1610,340,-35.35
1590,360,-35.72
1570,380,-35.03
1550,400,-35.61
1530,420,-35.82
1510,440,-34.93
1490,460,-35.07
1470,480,-35.87
1450,500,-35.13
1430,520,-34.98
1410,540,-35.05
1390,560,-35.53
1370,580,-34.86
1350,600,-35.25
1330,620,-36.43
1310,640,-35.07
1290,660,-35.2
1270,680,-35.49
1250,700,-35.67
1230,720,-35.4
1210,740,-35.15
1190,760,-35.8
1170,780,-35.34
1150,800,-35.62
1130,820,-35.37
1110,840,-35.59
1090,860,-35.14
1070,880,-35.45
1050,900,-35.61
1030,920,-35.92
1010,940,-34.96
990,960,-35.24
970,980,-35.02
950,1000,-35
930,1020,-34.98
910,1040,-35.41
890,1060,-35.73
870,1080,-35.35
850,1100,-35.75
830,1120,-35.45
810,1140,-35.34
790,1160,-35.38
770,1180,-35.27
750,1200,-35.15
730,1220,-35.33
710,1240,-35.33
690,1260,-35.27
670,1280,-35.14
650,1300,-34.69
630,1320,-35.44
610,1340,-35.26
590,1360,-35.14
570,1380,-35.28
550,1400,-34.43
530,1420,-35.78
510,1440,-35.33
490,1460,-35.83
470,1480,-35.39
450,1500,-35.35
430,1520,-35.74
410,1540,-34.46
390,1560,-34.64
370,1580,-35.27
350,1600,-35.86
330,1620,-35.49
310,1640,-35.27
290,1660,-35.8
270,1680,-34.93
250,1700,-35.55
230,1720,-35.9
210,1740,-35.44
190,1760,-35.47
170,1780,-35.37
150,1800,-35.04
130,1820,-35.39
110,1840,-34.49
90,1860,-35.07
70,1880,-34.43
50,1900,-34.71
30,1920,-35.1
10,1940,-35.32
-10,1960,-35.11
-30,1980,-34.79
-50,2000,-35.35
-70,2020,-34.95
-90,2040,-34.89
-110,2060,-35.07
-130,2080,-35.46
-150,2100,-35.18
-170,2120,-36.07
-190,2140,-35.76
-210,2160,-35.2
-230,2180,-35.26
-250,2200,-34.84
-270,2220,-34.57
-290,2240,-34.81
-310,2260,-35.11
-330,2280,-34.94
-350,2300,-35.09
-370,2320,-35.26
-390,2340,-35.08
-410,2360,-34.68
-430,2380,-34.86
-450,2400,-35.32
-470,2420,-35.88
-490,2440,-35.48
-510,2460,-35.71
-530,2480,-34.83
-550,2500,-35.24
-570,2520,-34.84
-590,2540,-35.43
-610,2560,-35.06
-630,2580,-35.41
-650,2600,-35.14
-670,2620,-35.14
-690,2640,-35.43
-710,2660,-35.32
-730,2680,-35.12
-750,2700,-35.1
-770,2720,-34.83
-790,2740,-34.91
-810,2760,-34.99
-830,2780,-34.92
-850,2800,-34.63
-870,2820,-35.49
-890,2840,-35.2
-910,2860,-34.98
-930,2880,-34.81
-950,2900,-34.38
-970,2920,-34.81
-990,2940,-34.85
-1010,2960,-34.79
-1030,2980,-35.45
-1050,3000,-35.14
-1070,3020,-34.94
-1090,3040,-35.14
-1110,3060,-34.97
-1130,3080,-34.87
-1150,3100,-35.04
-1170,3120,-35.26
-1190,3140,-34.54
-1210,3160,-35.25
-1230,3180,-35.28
-1250,3200,-34.76
-1270,3220,-35.54
-1290,3240,-35.25
-1310,3260,-35.24
-1330,3280,-34.89
-1350,3300,-34.29
-1370,3320,-34.98
-1390,3340,-35.42
-1410,3360,-34.66
-1430,3380,-34.8
-1450,3400,-34.67
-1470,3420,-35.19
-1490,3440,-35.28
-1510,3460,-34.75
-1530,3480,-35.1
-1550,3500,-35.42
-1570,3520,-34.77
-1590,3540,-34.63
-1610,3560,-35.09
-1630,3580,-35.18
-1650,3600,-34.93
-1670,3620,-34.28
-1690,3640,-34.71
-1710,3660,-34.68
-1730,3680,-34.41
-1750,3700,-34.65
-1770,3720,-35.36
-1790,3740,-35.27
-1810,3760,-34.78
-1830,3780,-35.01
-1850,3800,-35.17
-1870,3820,-35.36
-1890,3840,-34.9
-1910,3860,-35.34
-1930,3880,-35.16
-1950,3900,-34.85
-1970,3920,-35.12
-1990,3940,-34.96
-2010,3960,-35.14
-2030,3980,-34.41
-2050,4000,-35.2
-2070,4020,-34.74
-2090,4040,-35.53
-2110,4060,-35.14
-2130,4080,-34.87
-2150,4100,-35.2
-2170,4120,-34.72
-2190,4140,-34.76
-2210,4160,-34.5
-2230,4180,-34.78
-2250,4200,-35.01
-2270,4220,-35.26
-2290,4240,-34.92
-2310,4260,-34.63
-2330,4280,-34.79
-2350,4300,-34.75
-2370,4320,-35
-2390,4340,-35.47
-2410,4360,-35.2
-2430,4380,-34.76
-2450,4400,-34.06
-2470,4420,-34.8
-2490,4440,-35.15
-2510,4460,-34.83
-2530,4480,-35.27
-2550,4500,-34.83
-2570,4520,-34.21
-2590,4540,-34.57
-2610,4560,-34.51
-2630,4580,-35.05
-2650,4600,-34.69
-2670,4620,-35.21
-2690,4640,-35.02
-2710,4660,-34.71
-2730,4680,-34.79
-2750,4700,-35.09
-2770,4720,-34.54
-2790,4740,-34.82
-2810,4760,-34.66
-2830,4780,-34.93
-2850,4800,-34.42
-2870,4820,-34.89
-2890,4840,-34.79
-2910,4860,-34.65
-2930,4880,-34.55
-2950,4900,-34.57
-2970,4920,-34.08
-2990,4940,-34.92
-3010,4960,-34.79
-3030,4980,-34.53
-3050,5000,-34.8
-3070,5020,-34.63
-3090,5040,-34.84
-3110,5060,-34.64
-3130,5080,-35.11
-3150,5100,-34.73
-3170,5120,-35.05
-3190,5140,-33.85
-3210,5160,-34.63
-3230,5180,-34.9
-3250,5200,-34.74
-3270,5220,-34.56
-3290,5240,-35.27
-3310,5260,-35.03
-3330,5280,-34.77
-3350,5300,-35.39
-3370,5320,-34.96
-3390,5340,-34.78
-3410,5360,-35.1
-3430,5380,-34.35
-3450,5400,-34.81
-3470,5420,-34.91
-3490,5440,-34.47
-3510,5460,-34.53
-3530,5480,-34.7
-3550,5500,-34.36
-3570,5520,-34.22
-3590,5540,-35.06
-3610,5560,-34.78
-3630,5580,-35.19
-3650,5600,-33.88
-3670,5620,-35.2
-3690,5640,-35.18
-3710,5660,-34.51
-3730,5680,-35.25
-3750,5700,-34.69
-3770,5720,-34.71
-3790,5740,-34.55
-3810,5760,-34.5
-3830,5780,-34.71
-3850,5800,-35.02
-3870,5820,-34.71
-3890,5840,-33.95
-3910,5860,-34.2
-3930,5880,-34.61
-3950,5900,-34.91
-3970,5920,-34.73
-3990,5940,-34.85
-4010,5960,-35.03
-4030,5980,-34.77
-4050,6000,-34.78
-4070,6020,-35.49
-4090,6040,-34.27
-4110,6060,-35.17
-4130,6080,-34.71
-4150,6100,-34.39
-4170,6120,-34.42
-4190,6140,-34.89
-4210,6160,-34.89
-4230,6180,-34.58
-4250,6200,-34.6
-4270,6220,-35.13
-4290,6240,-34.38
-4310,6260,-35.2
-4330,6280,-34.55
-4350,6300,-34.6
-4370,6320,-34.86
-4390,6340,-34.99
-4410,6360,-34.23
-4430,6380,-34.62
-4450,6400,-34.07
-4470,6420,-34.97
-4490,6440,-34.32
-4510,6460,-34.5
-4530,6480,-34.53
-4550,6500,-35.01
-4570,6520,-34.97
-4590,6540,-34.98
-4610,6560,-34.45
-4630,6580,-34.37
-4650,6600,-34.61
-4670,6620,-34.57
-4690,6640,-34.74
-4710,6660,-34.37
-4730,6680,-34.49
-4750,6700,-34.52
-4770,6720,-34.58
-4790,6740,-35.12
-4810,6760,-34.69
-4830,6780,-34.32
-4850,6800,-34.36
-4870,6820,-34.72
-4890,6840,-34.56
-4910,6860,-34.97
-4930,6880,-34.32
-4950,6900,-34.26
-4970,6920,-35.11
-4990,6940,-34.73
-5010,6960,-34.47
-5030,6980,-34.82
-5050,7000,-34.9
-5070,7020,-34.77
-5090,7040,-34.4
-5110,7060,-34.95
-5130,7080,-34.97
-5150,7100,-34.36
-5170,7120,-35.28
-5190,7140,-34.74
-5210,7160,-34.68
-5230,7180,-34.93
-5250,7200,-34.87
-5270,7220,-34.12
-5290,7240,-34.84
-5310,7260,-34.99
-5330,7280,-34.73
-5350,7300,-34.64
-5370,7320,-34.74
-5390,7340,-34.31
-5410,7360,-34.55
-5430,7380,-34.62
-5450,7400,-34.5
-5470,7420,-34.44
-5490,7440,-33.88
-5510,7460,-34.77
-5530,7480,-34.78
-5550,7500,-35.04
-5570,7520,-34.34
-5590,7540,-34.52
-5610,7560,-34.08
-5630,7580,-34.01
-5650,7600,-34.88
-5670,7620,-33.9
-5690,7640,-34.01
-5710,7660,-34.65
-5730,7680,-34.26
-5750,7700,-34.09
-5770,7720,-34.75
-5790,7740,-34.35
-5810,7760,-34.13
-5830,7780,-33.76
-5850,7800,-34.35
-5870,7820,-34.4
-5890,7840,-34.62
-5910,7860,-34.98
-5930,7880,-34.51
-5950,7900,-34.78
-5970,7920,-34.83
-5990,7940,-33.6
-6010,7960,-34.04
-6030,7980,-34.4
-6050,8000,-34.43
-6070,8020,-35.05
-6090,8040,-34.51
-6110,8060,-34.5
-6130,8080,-33.96
-6150,8100,-35.44
-6170,8120,-35.68
-6190,8140,-35.54
-6210,8160,-36.06
-6230,8180,-35.88
-6250,8200,-36.03
-6270,8220,-35.21
-6290,8240,-35.68
-6310,8260,-34.5
-6330,8280,-34.7
-6350,8300,-34.87
-6370,8320,-34.95
-6390,8340,-34.41
-6410,8360,-35.36
-6430,8380,-34.79
-6450,8400,-34.46
-6470,8420,-35.07
-6490,8440,-34.7
-6510,8460,-34.43
-6530,8480,-34.83
-6550,8500,-34.99
-6570,8520,-34.59
-6590,8540,-34.35
-6610,8560,-34.83
-6630,8580,-34.18
-6650,8600,-35.02
-6670,8620,-35.46
-6690,8640,-35.21
