depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],depth (cm) [3-1],age (BP) [3-1],temperature (degC) [3-1]
0.5,-45.143,2.184,1,-36.287,10.9,0.5,-45.143,10.805
1.5,-27.43,2.197,3.25,3.569,12.3,1.5,-27.43,10.373
2.5,-9.716,2.126,5.75,47.853,10.8,2.5,-9.716,9.829
3.5,7.997,2.326,8,87.708,11.3,3.5,7.997,10.401
4.5,25.711,1.909,10.25,127.563,10.4,4.5,25.711,9.716
5.5,43.424,2.267,12.75,171.847,10.9,5.5,43.424,NA
6.5,61.138,2.312,15,306.497,10.4,6.5,61.138,NA
7.5,78.851,2.156,17.25,603.325,11,7.5,78.851,NA
8.5,96.565,2.372,19.75,933.134,10.4,8.5,96.565,NA
9.5,114.278,2.641,20.75,1065.057,9.9,9.5,114.278,NA
10.5,131.992,2.168,23,1270.105,10.2,10.5,131.992,NA
11.5,149.705,2.511,25.25,1429.263,10.3,11.5,149.705,NA
12.5,167.418,2.518,27.5,1588.421,10.4,12.5,167.418,NA
13.5,185.132,2.546,29.75,1747.579,9.8,13.5,185.132,NA
14.5,240.535,2.439,31.75,1889.053,10,14.5,240.535,8.86
15.5,372.458,2.172,34,2048.211,10.3,15.5,372.458,9.486
16.5,504.382,2.725,36.25,2207.368,10.3,16.5,504.382,9.161
17.5,636.306,2.334,38.5,2366.526,9.9,17.5,636.306,9.747
18.5,768.229,2.359,41,2777.6,10.5,18.5,768.229,10.249
19.5,900.153,2.919,43.5,4125.6,11.3,19.5,900.153,10.337
20.5,1032.076,1.668,45.75,5266.35,11.1,20.5,1032.076,10.592
21.5,1164,3.113,48,5827.5,11,21.5,1164,10.721
22.5,1234.737,2.211,50.25,6388.65,11.2,22.5,1234.737,NA
23.5,1305.474,1.639,52.5,6655.2,11,23.5,1305.474,NA
24.5,1376.211,1.775,55,6910.45,11.5,24.5,1376.211,NA
25.5,1446.947,1.717,57,7114.65,11.4,25.5,1446.947,NA
26.5,1517.684,1.881,59.5,7369.9,11.7,26.5,1517.684,NA
27.5,1588.421,2.205,61.75,7530.333,11.9,27.5,1588.421,NA
28.5,1659.158,2.161,63.7,7621.333,11,28.5,1659.158,9.334
29.5,1729.895,2.27,66.5,7752,12.1,29.5,1729.895,10.064
30.5,1800.632,2.278,68.75,7857,12.2,30.5,1800.632,NA
31.5,1871.368,2.161,71,7998.853,12.1,31.5,1871.368,10.204
32.5,1942.105,1.293,73.25,8159.132,11.7,32.5,1942.105,NA
33.5,2012.842,NA,75.5,8319.412,12.6,33.5,2012.842,10.93
34.5,2083.579,2.113,77.75,8479.691,12,34.5,2083.579,9.631
35.5,2154.316,1.974,80,8639.971,12.8,35.5,2154.316,10.376
36.5,2225.053,2.205,87,9156.577,11.6,36.5,2225.053,9.832
37.5,2295.789,2.324,94,9906.654,12,37.5,2295.789,10.453
38.5,2366.526,2.158,101,10508.848,12.1,38.5,2366.526,10.606
39.5,2437.263,2.191,108,10568.804,11.7,39.5,2437.263,10.487
40.5,2508,2.23,114.75,10626.62,11.9,40.5,2508,NA
41.5,3047.2,2.35,121.5,10684.435,11.6,41.5,3047.2,10.8
42.5,3586.4,2.275,128.25,10905.75,10.5,42.5,3586.4,10.282
43.5,4125.6,2.445,135.25,11107.583,10.4,43.5,4125.6,10.261
44.5,4664.8,2.312,142.25,11137.917,8.6,44.5,4664.8,9.136
45.5,5204,2.391,149.25,11182.195,11.6,45.5,5204,10.001
46.5,5453.4,2.141,155.75,11331.22,9.3,46.5,5453.4,9.918
47.5,5702.8,2.29,163,11497.439,NA,47.5,5702.8,10.112
48.5,5952.2,2.34,169.75,11652.195,NA,48.5,5952.2,10.141
49.5,6201.6,2.25,NA,NA,NA,49.5,6201.6,9.47
50.5,6451,2.411,NA,NA,NA,50.5,6451,10.191
51.5,6553.1,2.391,NA,NA,NA,51.5,6553.1,NA
52.5,6655.2,2.092,NA,NA,NA,52.5,6655.2,NA
53.5,6757.3,2.376,NA,NA,NA,53.5,6757.3,NA
54.5,6859.4,2.196,NA,NA,NA,54.5,6859.4,9.491
55.5,6961.5,2.229,NA,NA,NA,55.5,6961.5,9.466
56.5,7063.6,2.133,NA,NA,NA,56.5,7063.6,9.698
57.5,7165.7,2.346,NA,NA,NA,57.5,7165.7,10.209
58.5,7267.8,2.279,NA,NA,NA,58.5,7267.8,10.262
59.5,7369.9,1.786,NA,NA,NA,59.5,7369.9,NA
60.5,7472,2.299,NA,NA,NA,60.5,7472,NA
61.5,7518.667,2.245,NA,NA,NA,61.5,7518.667,10.964
62.5,7565.333,2.032,NA,NA,NA,62.5,7565.333,10.964
63.5,7612,1.986,NA,NA,NA,63.5,7612,10.879
64.5,7658.667,1.927,NA,NA,NA,64.5,7658.667,10.868
65.5,7705.333,2.359,NA,NA,NA,65.5,7705.333,NA
66.5,7752,2.317,NA,NA,NA,66.5,7752,10.827
67.5,7798.667,2.505,NA,NA,NA,67.5,7798.667,10.8
68.5,7845.333,2.205,NA,NA,NA,68.5,7845.333,10.736
69.5,7892,2.204,NA,NA,NA,69.5,7892,10.783
70.5,7963.235,2.393,NA,NA,NA,70.5,7963.235,10.103
71.5,8034.471,2.214,NA,NA,NA,71.5,8034.471,10.789
72.5,8105.706,2.409,NA,NA,NA,72.5,8105.706,10.815
73.5,8176.941,2.495,NA,NA,NA,73.5,8176.941,NA
74.5,8248.176,2.642,NA,NA,NA,74.5,8248.176,10.769
75.5,8319.412,2.377,NA,NA,NA,75.5,8319.412,10.367
76.5,8390.647,2.049,NA,NA,NA,76.5,8390.647,10.656
77.5,8461.882,2.235,NA,NA,NA,77.5,8461.882,10.539
78.5,8533.118,1.73,NA,NA,NA,78.5,8533.118,10.636
79.5,8604.353,2.53,NA,NA,NA,79.5,8604.353,10.506
80.5,8675.588,2.216,NA,NA,NA,80.5,8675.588,10.558
81.5,8746.824,1.982,NA,NA,NA,81.5,8746.824,10.441
82.5,8818.059,2.125,NA,NA,NA,82.5,8818.059,10.461
83.5,8889.294,2.173,NA,NA,NA,83.5,8889.294,10.571
84.5,8960.529,2.154,NA,NA,NA,84.5,8960.529,10.575
85.5,9031.765,2.259,NA,NA,NA,85.5,9031.765,10.591
86.5,9103,2.328,NA,NA,NA,86.5,9103,NA
87.5,9210.154,2.325,NA,NA,NA,87.5,9210.154,10.687
88.5,9317.308,1.768,NA,NA,NA,88.5,9317.308,10.517
89.5,9424.462,2.154,NA,NA,NA,89.5,9424.462,10.49
90.5,9531.615,2.054,NA,NA,NA,90.5,9531.615,10.399
91.5,9638.769,1.996,NA,NA,NA,91.5,9638.769,10.73
92.5,9745.923,1.233,NA,NA,NA,92.5,9745.923,9.897
93.5,9853.077,1.037,NA,NA,NA,93.5,9853.077,10.266
94.5,9960.231,0.774,NA,NA,NA,94.5,9960.231,10.762
95.5,10067.385,0.885,NA,NA,NA,95.5,10067.385,10.127
96.5,10174.538,1.023,NA,NA,NA,96.5,10174.538,10.262
97.5,10281.692,1.571,NA,NA,NA,97.5,10281.692,9.878
98.5,10388.846,1.252,NA,NA,NA,98.5,10388.846,10.205
99.5,10496,0.617,NA,NA,NA,99.5,10496,9.929
100.5,10504.565,1.488,NA,NA,NA,100.5,10504.565,10.343
101.5,10513.13,0.687,NA,NA,NA,101.5,10513.13,10.289
102.5,10521.696,1.121,NA,NA,NA,102.5,10521.696,10.588
103.5,10530.261,1.511,NA,NA,NA,103.5,10530.261,10.597
104.5,10538.826,1.255,NA,NA,NA,104.5,10538.826,10.21
