year (AD),age (BP),LakeLevel_cm_ (cm)
1950,0,NA
1900,50,NA
1850,100,1171.924
1800,150,1164.666
1750,200,1149.11
1700,250,1133.554
1650,300,1117.998
1600,350,1125.42
1550,400,1134.18
1500,450,1142.939
1450,500,1151.698
1400,550,1160.458
1350,600,1159.814
1300,650,1156.44
1250,700,1153.066
1200,750,1149.692
1150,800,1145.018
1100,850,1124.306
1050,900,1103.594
1000,950,1082.882
950,1000,1094.347
900,1050,1114.625
850,1100,1134.903
800,1150,1140.543
750,1200,1131.25
700,1250,1121.957
650,1300,1112.663
600,1350,1103.37
550,1400,1094.077
500,1450,1093.047
450,1500,1096.107
400,1550,1099.168
350,1600,1102.228
300,1650,1105.289
250,1700,1108.349
200,1750,1111.409
150,1800,1113.775
100,1850,1112.312
50,1900,1110.848
0,1950,1109.384
-50,2000,1107.921
-100,2050,1106.457
-150,2100,1104.993
-200,2150,1103.53
-250,2200,1104.362
-300,2250,1106.497
-350,2300,1108.632
-400,2350,1110.767
-450,2400,1112.902
-500,2450,1115.037
-550,2500,1117.171
-600,2550,1119.306
-650,2600,1121.441
-700,2650,1123.576
-750,2700,1121.695
-800,2750,1119.206
-850,2800,1116.716
-900,2850,1114.227
-950,2900,1111.737
-1000,2950,1109.247
-1050,3000,1106.758
-1100,3050,1104.268
-1150,3100,1104.26
-1200,3150,1104.551
-1250,3200,1104.842
-1300,3250,1105.133
-1350,3300,1099.332
-1400,3350,1093.308
-1450,3400,1087.285
-1500,3450,1081.261
-1550,3500,1075.793
-1600,3550,1079.786
-1650,3600,1083.78
-1700,3650,1087.774
-1750,3700,1091.768
-1800,3750,1095.762
-1850,3800,1099.755
-1900,3850,1103.749
-1950,3900,1107.743
-2000,3950,1111.737
-2050,4000,1115.73
-2100,4050,1119.724
-2150,4100,1123.718
-2200,4150,1119.905
-2250,4200,1112.401
-2300,4250,1104.897
-2350,4300,1097.392
-2400,4350,1089.888
-2450,4400,1082.444
-2500,4450,1084.965
-2550,4500,1087.486
-2600,4550,1090.008
-2650,4600,1092.529
-2700,4650,1095.05
-2750,4700,1108.642
-2800,4750,1122.655
-2850,4800,1136.669
-2900,4850,1144.857
-2950,4900,1126.726
-3000,4950,1108.595
-3050,5000,1090.464
-3100,5050,1072.333
-3150,5100,1068.924
-3200,5150,1069.939
-3250,5200,1070.954
-3300,5250,1071.97
-3350,5300,1072.985
-3400,5350,1074
-3450,5400,1075.016
-3500,5450,1076.031
-3550,5500,1076.143
-3600,5550,1076.143
-3650,5600,1076.143
-3700,5650,1079
-3750,5700,1083.744
-3800,5750,1088.489
-3850,5800,1090.429
-3900,5850,1090.429
-3950,5900,1090.628
-4000,5950,1091.429
-4050,6000,1092.229
-4100,6050,1093.346
-4150,6100,1094.698
-4200,6150,1088.173
-4250,6200,1075.588
-4300,6250,1063.003
-4350,6300,1050.418
-4400,6350,1037.833
-4450,6400,1031.013
-4500,6450,1039.359
-4550,6500,1047.705
-4600,6550,1056.051
-4650,6600,1064.396
-4700,6650,1072.742
-4750,6700,1081.088
-4800,6750,1089.434
-4850,6800,1097.78
-4900,6850,1106.126
-4950,6900,1114.472
-5000,6950,1122.818
-5050,7000,1123.705
-5100,7050,1117.597
-5150,7100,1111.489
-5200,7150,1105.381
-5250,7200,1099.272
-5300,7250,1093.164
-5350,7300,1087.056
-5400,7350,1080.948
-5450,7400,1074.84
-5500,7450,1068.732
-5550,7500,1070.04
-5600,7550,1074.282
-5650,7600,1078.524
-5700,7650,1082.766
-5750,7700,1087.008
-5800,7750,1091.251
-5850,7800,1095.493
-5900,7850,1099.735
-5950,7900,1103.977
-6000,7950,1108.219
-6050,8000,1106.035
-6100,8050,1103.269
-6150,8100,1100.502
-6200,8150,1097.736
-6250,8200,1094.97
-6300,8250,1092.204
-6350,8300,1089.438
-6400,8350,1086.672
-6450,8400,1083.905
-6500,8450,1081.139
-6550,8500,1078.373
-6600,8550,1075.607
-6650,8600,1072.841
-6700,8650,1070.971
-6750,8700,1069.258
-6800,8750,1067.545
-6850,8800,1065.832
-6900,8850,1052.808
-6950,8900,1038.949
-7000,8950,1025.09
-7050,9000,1011.232
-7100,9050,997.373
-7150,9100,983.514
-7200,9150,969.655
-7250,9200,955.796
-7300,9250,941.937
-7350,9300,928.078
-7400,9350,914.219
-7450,9400,900.36
-7500,9450,886.502
-7550,9500,872.643
-7600,9550,858.784
-7650,9600,844.925
-7700,9650,831.066
-7750,9700,821.968
-7800,9750,820.409
-7850,9800,818.85
-7900,9850,817.291
-7950,9900,815.732
-8000,9950,814.614
-8050,10000,814.059
-8100,10050,813.505
-8150,10100,812.951
-8200,10150,812.396
-8250,10200,811.842
-8300,10250,811.979
-8350,10300,814.144
-8400,10350,816.31
-8450,10400,818.475
-8500,10450,820.64
-8550,10500,814.352
-8600,10550,788.899
-8650,10600,763.445
-8700,10650,737.992
-8750,10700,712.539
-8800,10750,687.085
-8850,10800,660.899
-8900,10850,629.394
-8950,10900,597.89
-9000,10950,567.693
-9050,11000,581.928
