depth (mm),depth (cm),age (BP),BSi (percent)
1,0.1,-4.623,26.713
3,0.3,-3.847,22.978
5,0.5,-3.042,17.797
7,0.7,-2.209,16.282
9,0.9,-1.347,14.471
11,1.1,-0.458,14.646
13,1.3,0.46,20.242
15,1.5,1.405,20.493
17,1.7,2.377,24.765
19,1.9,3.377,25.977
21,2.1,4.403,28.537
23,2.3,5.456,32.041
25,2.5,6.535,32.225
27,2.7,7.64,28.781
29,2.9,8.771,29.704
31,3.1,9.928,30.347
33,3.3,11.11,32.255
35,3.5,12.318,33.939
37,3.7,13.55,29.606
39,3.9,14.808,34.46
41,4.1,16.089,32.938
43,4.3,17.395,32.448
45,4.5,18.725,32.665
47,4.7,20.079,34.677
49,4.9,21.457,33.332
51,5.1,22.858,33.515
53,5.3,24.282,32.619
55,5.5,25.729,26.748
57,5.7,27.199,30.247
59,5.9,28.691,28.385
61,6.1,30.206,25.324
63,6.3,31.743,27.326
65,6.5,33.302,28.186
67,6.7,34.882,29.478
69,6.9,36.484,25.528
71,7.1,38.107,27.171
73,7.3,39.752,24.085
75,7.5,41.417,33.577
77,7.7,43.103,33.07
79,7.9,44.81,34.057
81,8.1,46.536,39.248
83,8.3,48.283,30.866
85,8.5,50.05,32.872
87,8.7,51.837,34.031
89,8.9,53.643,34.199
91,9.1,55.468,36.513
93,9.3,57.313,30.221
95,9.5,59.176,28.989
97,9.7,61.058,25.949
99,9.9,62.959,24.317
101,10.1,64.878,28.417
103,10.3,66.816,28.623
105,10.5,68.771,24.665
107,10.7,70.745,26.506
109,10.9,72.735,25.483
111,11.1,74.744,23.238
113,11.3,76.77,25.066
115,11.5,78.813,24.028
117,11.7,80.872,26.614
119,11.9,82.949,26.879
121,12.1,85.042,27.024
123,12.3,87.152,28.204
125,12.5,89.278,31.205
127,12.7,91.42,30.207
129,12.9,93.578,31.232
131,13.1,95.752,31.285
133,13.3,97.942,27.595
135,13.5,100.147,26.563
137,13.7,102.367,26.145
139,13.9,104.602,25.692
141,14.1,106.852,25.523
143,14.3,109.117,23.072
145,14.5,111.397,23.8
152.5,15.25,120.074,24.813
157.5,15.75,125.968,26.93
162.5,16.25,131.946,25.496
167.5,16.75,138.007,28.34
172.5,17.25,144.148,26.725
177.5,17.75,150.367,29.492
182.5,18.25,156.662,28.43
187.5,18.75,163.03,27.207
192.5,19.25,169.47,31.952
197.5,19.75,175.979,31.115
197.5,19.75,175.979,30.491
202.5,20.25,182.556,31.09
207.5,20.75,189.198,28.856
212.5,21.25,195.904,29.491
217.5,21.75,202.672,28.766
222.5,22.25,209.5,26.694
227.5,22.75,216.386,25.98
230.1,23.01,219.989,22.647
232.5,23.25,223.328,26.1
235.25,23.525,227.17,26.357
237.5,23.75,230.325,26.394
240.25,24.025,234.196,16.742
242.5,24.25,237.375,27.293
245.25,24.525,241.274,28.103
247.5,24.75,244.476,25.479
250.25,25.025,248.403,28.57
252.5,25.25,251.627,25.693
255.25,25.525,255.581,28.128
257.5,25.75,258.827,22.738
260.25,26.025,262.806,28.469
262.75,26.25,266.073,26.645
265.25,26.525,270.077,31.142
267.5,26.75,273.364,28.204
270.25,27.025,277.393,25.152
272.75,27.25,280.699,27.639
275.25,27.525,284.751,30.042
277.75,27.75,288.076,26.21
280.25,28.025,292.151,25.278
282.75,28.25,295.494,24.696
285.25,28.525,299.591,25.383
287.5,28.75,302.952,25.173
290.25,29.025,307.07,21.329
292.5,29.25,310.448,25.127
295.25,29.525,314.586,16.533
297.5,29.75,317.981,23.961
301.25,30.125,323.654,23.965
303.75,30.375,327.447,19.549
306.25,30.625,331.249,19.121
308.75,30.875,335.058,24.722
311.25,31.125,338.877,26.939
313.75,31.375,342.703,20.004
316.25,31.625,346.537,25.854
318.75,31.875,350.38,27.582
321.25,32.125,354.229,24.97
323.75,32.375,358.087,26.9
326.25,32.625,361.952,19.351
328.75,32.875,365.824,24.123
331.25,33.125,369.703,25.704
352.5,35.05,399.799,24.459
362.5,36.05,415.58,29.354
372.5,37.05,431.451,30.597
392.5,39.05,463.438,18.818
402.5,40.05,479.543,29.306
412.5,41.05,495.715,29.381
422.5,42.05,511.948,25.477
442.5,44.05,544.582,23.351
452.5,45.05,560.975,27.561
462.5,46.05,577.414,29.068
472.5,47.05,593.895,28.408
492.5,49.05,626.975,26.304
502.5,50.05,643.569,23.189
512.5,51.05,660.197,23.714
522.5,52.05,676.856,30.949
542.5,54.05,710.266,27.311
552.5,55.05,727.015,21.948
562.5,56.05,743.793,32.08
572.5,57.05,760.598,34.957
592.5,59.05,794.294,24.98
602.5,60.05,811.185,30.217
612.5,61.05,828.105,27.921
622.5,62.05,845.056,26.642
642.5,64.05,879.052,28.632
652.5,65.05,896.1,28.787
662.5,66.05,913.183,29.127
672.5,67.05,930.303,30.177
692.5,69.05,964.662,30.478
702.5,70.05,981.904,23.14
712.5,71.05,999.191,22.735
722.5,72.05,1016.525,21.074
742.5,74.05,1051.344,24.857
752.5,75.05,1068.834,25.404
762.5,76.05,1086.381,25.408
772.5,77.05,1103.988,24.291
792.5,79.05,1139.393,24.782
802.5,80.05,1157.197,26.263
812.5,81.05,1175.072,25.384
822.5,82.05,1193.022,22.147
842.5,84.05,1229.156,21.052
852.5,85.05,1247.347,24.201
862.5,86.05,1265.624,24.044
872.5,87.05,1283.991,20.877
892.5,89.05,1321.005,16.456
902.5,90.05,1339.66,26.199
912.5,91.05,1358.416,30.331
922.5,92.05,1377.277,27.826
942.5,94.05,1415.326,25.839
962.5,96.05,1453.83,23.802
972.5,97.05,1473.26,39.116
992.5,99.05,1512.491,30.139
1002.5,100.05,1532.297,23.675
1012.5,101.05,1552.234,18.083
1022.5,102.05,1572.304,24.418
1042.5,104.05,1612.853,26.322
1052.5,105.05,1633.337,25.103
1062.5,106.05,1653.965,28.46
1072.5,107.05,1674.737,23.491
1092.5,109.05,1716.724,28.854
1102.5,110.05,1737.944,22.335
1112.5,111.05,1759.317,25.963
1122.5,112.05,1780.844,25.907
1142.5,114.05,1824.369,25.19
1152.5,115.05,1846.369,30.209
1162.5,116.05,1868.531,27.533
1172.5,117.05,1890.854,29.257
