depth (cm),age (BP),SBT (degC)
1,-24,7.154
2,0,7.306
3,25,7.254
4,50,7.203
5,119,6.85
6,189,6.923
7,258,7.1
8,259,7.03
9,260,7.938
10,261,6.917
11,286,6.588
12,311,7.354
13,316,7.591
14,322,7.624
15,327,6.436
16,333,6.818
17,338,7.933
18,356,7.363
19,374,6.765
20,392,6.712
21,410,7.277
22,428,7.102
23,446,7.008
24,464,7.32
25,482,7.533
26,535,6.719
27,588,6.983
28,641,6.623
29,693,7.217
30,746,6.196
31,799,6.49
32,851,7.243
33,904,6.89
34,957,7.171
35,1010,6.985
36,1062,6.882
37,1115,6.712
38,1168,6.669
2,1182.3,6.316
39,1237,6.923
5,1259.7,6.925
40,1324,6.661
10,1388.9,6.549
41,1411,7.042
42,1498,7.272
15,1518.2,6.619
43,1585,7.462
20,1648.1,6.928
44,1672,6.867
23,1726.2,6.938
45,1759,6.435
27,1830.3,7.21
46,1846,6.684
30,1908.5,6.364
35,2039,7.067
40,2169.6,7.329
43,2248.4,7.078
47,2353.3,6.759
51,2458.5,7.18
55,2564.6,6.724
60,2697.5,6.299
63,2777.6,7.849
67,2887.7,6.796
70,2970.5,6.633
74,3081,6.983
77,3182.7,7.222
80,3292.7,7.404
83,3402.7,7.644
85,3476,7.093
90,3692.8,6.996
93,3834.4,7.108
95,3928.8,7.527
97,4023.2,6.897
99,4117.4,7.852
100,4164.1,7.482
101,4210.8,6.649
103,4304,7.477
105,4397.3,7.234
107,4490.6,7.492
109,4583.8,7.456
111,4677,7.215
113,4769.9,7.398
115,4862.7,7.45
117,4955.5,7.315
120,5094.7,7.544
123,5233.9,6.991
125,5326.7,7.316
127,5419.5,7.552
129,5512.3,7.451
131,5605.1,7.199
133,5697.8,7.242
135,5790.6,7.864
137,5883.4,7.172
139,5976.1,7.787
141,6068.8,7.627
143,6161.5,7.887
145,6254.3,7.335
147,6347,7.407
149,6439.6,7.463
151,6532.3,6.993
154,6671.2,6.782
157,6810.2,7.051
160,6949,7.639
163,7087.7,7.353
166,7226.4,7.321
169,7365.1,6.928
172,7503.4,7.401
175,7641.5,7.207
178,7779.5,7.564
180,7871.3,6.837
184,8053.9,7.18
187,8189.6,6.404
189,8280,6.849
191,8370.4,6.588
193,8456.1,6.726
195,8536.8,6.669
197,8608.9,6.732
198,8643.7,6.709
199,8677.3,6.955
200,8709.3,6.021
201,8739,6.926
202,8765.4,6.728
204,8804.5,6.725
205,8821.5,6.335
210,8896.5,6.609
216,8963.7,6.718
223,9023.3,6.309
230,9082.8,6.323
240,9167.3,5.812
247,9225.9,6.746
257,9308.7,6.575
269,9406.8,6.764
280,9494.9,6.487
295,9611.5,6.893
310,9722.5,6.87
320,9792.5,6.516
360,9984.6,6.522
430,10039,7.004
450,10066,6.427
510,10212,5.792
530,10278,6.544
550,10347,5.948
555,10363,6.789
580,10438,6.479
600,10484,7.001
605,10494,6.404
630,10543,5.97
650,10590,6.128
655,10603,6.711
675,10660,5.054
700,10749,5.277
720,10831,6.011
745,10942,4.523
750,10965,4.7
760,11012,5.659
775,11083,4.627
795,11178,5.085
800,11201,3.114
805,11224,3.614
810,11247,3.537
815,11270,3.623
820,11292,3.323
825,11314,4.008
830,11335,3.781
835,11356,3.436
840,11376,3.474
845,11395,3.753
850,11415,3.785
855,11433,4.501
860,11450,4.133
865,11465,4.09
870,11478,3.947
875,11491,3.525
880,11503,3.963
