depth (cm),dateType (),depthTop (cm),depthBottom (cm),thickness (cm),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr)
1,14C,0,2,2,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,GifA 96281,0.73,0.05
1,14C,0,2,2,planktic foraminifera calcite,Globigerina bulloides,GifA 96283,0.935,0.045
20.5,14C,20,21,1,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,GifA 96284,1.28,0.05
50.5,14C,50,51,1,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,GifA 96285,2.57,0.05
80.5,14C,80,81,1,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,GifA 96286,3.23,0.05
95.5,14C,95,96,1,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,92002.0,3.52,0.09
150.5,14C,150,151,1,planktic foraminifera calcite,Globigerina bulloides,GifA 96289,6.29,0.07
180.5,14C,180,181,1,planktic foraminifera calcite,Globigerina bulloides,GifA 96290,7.63,0.07
200.5,14C,200,201,1,planktic foraminifera calcite,Globigerina bulloides,92010.0,8.28,0.11
200.5,14C,200,201,1,planktic foraminifera calcite,Neogloboquadrina pachyderma d.,92173.0,8.3,0.09
225.5,14C,225,226,1,planktic foraminifera calcite,Globigerina bulloides,GifA 96291,8.79,0.08
250.5,14C,250,251,1,planktic foraminifera calcite,Globigerina bulloides,92011.0,10.01,0.09
270.5,14C,270,271,1,planktic foraminifera calcite,Globigerina bulloides,92017.0,10.87,0.14
285.5,14C,285,286,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92003.0,11.32,0.09
305.5,14C,305,306,1,planktic foraminifera calcite,Globigerina bulloides,92012.0,11.69,0.12
315.5,14C,315,316,1,planktic foraminifera calcite,Globigerina bulloides,92186.0,12.92,0.12
325.5,14C,325,326,1,planktic foraminifera calcite,Globigerina bulloides,92014.0,12.38,0.12
345.5,14C,345,346,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92174.0,14.58,0.13
355.5,14C,355,356,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92004.0,15.66,0.12
370.5,14C,370,371,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92175.0,15.8,0.14
380.5,14C,380,381,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92052.0,16.7,0.14
400.5,14C,400,401,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92006.0,17.59,0.14
420.5,14C,420,421,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92176.0,18.11,0.18
440.5,14C,440,441,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92005.0,19.31,0.27
455.5,14C,455,456,1,planktic foraminifera calcite,Neogloboquadrina pachyderma s.,92183.0,20.16,0.23
