age (bp),depth (cm),lab_id (),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1_s),thickness (mm),age_type (),material_dated (),note ()
-56,0,NA,0,0,NA,NA,0,2,NA,NA
175,10.5,29497,100,110,190,140,10,1,3,1
110,10.5,29498,100,110,120,130,10,1,2,NA
715,81.75,29499,815,820,810,40,5,1,3,NA
1350,136,33138,1350,1370,1465,40,20,1,1,NA
1920,177.5,29500,1770,1780,1975,50,10,1,3,NA
1940,177.5,31584,1770,1780,1990,50,10,1,1,NA
2585,236.25,29501,2360,2365,2480,120,5,1,4,NA
3645,300,33139,2990,3010,3395,60,20,1,1,NA
3760,330,33140,3290,3310,3485,110,20,1,1,NA
4920,364,31585,3630,3650,4360,90,20,1,1,NA
7695,437.5,33141,4350,4400,6875,40,50,1,4,NA
