year (AD),age (BP),depth (m),SST_LDI (degC),temperature (degC),sampleIDa (missing),sampleIDb (missing),sampleIDc (missing),LDI (missing),Uk37 (missing)
1861,89,0.007,18.5,20.4,293G,1,-1.5,0.7,0.717
1682,268,0.037,19.2,18.1,293G,1,-1.5,0.73,0.641
1503,447,0.068,18.5,20.2,293G,1,-1.5,0.7,0.709
1323,627,0.098,20.3,18,293G,1,-1.5,0.77,0.639
1144,806,0.128,21.4,19.2,293G,1,-1.5,0.8,0.678
785,1165,0.188,21.6,19.7,293G,1,-1.5,0.81,0.694
423,1527,0.247,21.5,18.8,293G,1,-1.5,0.8,0.664
61,1889,0.307,22,19.1,293G,1,-1.5,0.82,0.674
-301,2251,0.367,22.2,19.8,293G,1,-1.5,0.83,0.696
-663,2613,0.427,21.8,19.8,293G,1,-1.5,0.81,0.697
-1025,2975,0.487,21.6,19.1,293G,1,-1.5,0.81,0.674
-1387,3337,0.547,21.9,19.3,293G,1,-1.5,0.82,0.681
-1748,3698,0.603,21.8,19.6,293G,2,-1.5,0.81,0.691
-2110,4060,0.662,22.5,18.8,293G,2,-1.5,0.84,0.666
-2472,4422,0.723,21.8,19.2,293G,2,-1.5,0.81,0.677
-2834,4784,0.782,21.8,19.1,293G,2,-1.5,0.82,0.676
-3192,5142,0.843,21.4,18.9,293G,2,-1.5,0.8,0.668
-3538,5488,0.902,21.3,19.4,293G,2,-1.5,0.8,0.684
-3883,5833,0.963,21.3,19.6,293G,2,-1.5,0.8,0.691
-4228,6178,1.022,22.6,19.3,293G,2,-1.5,0.84,0.681
-4573,6523,1.083,21.9,20.1,293G,2,-1.5,0.82,0.708
-4918,6868,1.143,22.8,19.8,293G,2,-1.5,0.85,0.696
-5264,7214,1.202,22.8,19.7,293G,3,-1.5,0.85,0.693
-5609,7559,1.262,23.6,19.2,293G,3,-1.5,0.88,0.679
-5954,7904,1.323,23.2,19.2,293G,3,-1.5,0.86,0.676
-6299,8249,1.383,22.6,18.9,293G,3,-1.5,0.84,0.667
-6644,8594,1.442,22,19,293G,3,-1.5,0.82,0.672
-6990,8940,1.502,22.7,19.4,293G,3,-1.5,0.85,0.683
-7335,9285,1.562,22.9,20,293G,3,-1.5,0.85,0.705
-7575,9525,1.623,22.3,20.2,293G,3,-1.5,0.83,0.711
-7781,9731,1.683,22.3,20.1,293G,3,-1.5,0.83,0.706
-7986,9936,1.74,20.6,19.6,293G,3,-1,0.78,0.692
-8191,10141,1.798,20.1,20.1,293G,4,-1.5,0.76,0.707
-8397,10347,1.857,18.7,19.8,293G,4,-1.5,0.71,0.697
-8602,10552,1.917,18.3,19.6,393G,4,-1.5,0.7,0.692
-8766,10716,1.978,17.9,20.3,293G,4,-1.5,0.68,0.713
-8889,10839,2.038,18.8,19.6,293G,4,-1.5,0.72,0.69
-9011,10961,2.098,17.6,19.4,293G,4,-1.5,0.68,0.685
-9134,11084,2.158,16.3,18.2,293G,4,-1.5,0.63,0.644
