depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (2s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
0,0,0,NA,NA,0,0,0,3,NA,NA,NA,2
21.5,210,220,1235,40,1070,1265,10,2,7,2,NA,NA
29.5,290,300,2875,60,2860,3205,10,1,1,1,1,1
70.5,700,710,2160,40,2042,2310,10,2,8,2,NA,NA
109.5,1090,1100,2740,40,2760,2925,10,2,9,2,NA,NA
141.5,1410,1420,3625,40,4150,4410,10,2,10,2,NA,NA
213.5,2130,2140,5460,75,6020,6405,10,2,2,2,NA,NA
285.5,2850,2860,7525,55,8200,8410,10,2,3,2,NA,NA
345.5,3450,3460,5425,70,6000,6320,10,1,4,3,1,1
350.5,3500,3510,8505,65,9330,9559,10,2,11,2,NA,NA
432.5,4320,4330,9420,65,10440,11060,10,2,5,2,NA,NA
504.5,5040,5050,9285,90,10255,10670,10,1,6,2,1,1
