depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
40,Carbon-14,112553,80,1520,peat,NA
40,Carbon-14,112554,100,1960,peat,NA
40,Carbon-14,112555,90,2120,peat,NA
40,Carbon-14,112556,90,2170,peat,NA
40,Carbon-14,112557,80,2340,peat,NA
240,Carbon-14,112558,120,5850,peat,NA
240,Carbon-14,112559,100,5980,peat,NA
240,Carbon-14,112560,130,6000,peat,NA
240,Carbon-14,112561,100,6050,peat,NA
240,Carbon-14,112562,130,6150,peat,NA
450,Carbon-14,112563,160,10450,peat,NA
490,Carbon-14,112564,160,10490,peat,NA
490,Carbon-14,112565,160,10920,peat,NA
500,Carbon-14,112566,160,10450,peat,NA
500,Carbon-14,112567,160,10560,peat,NA
