depth (cm),age (BP),temperature (degC)
0.2,-52,11.1
4,67.651,9.89
8,195.58,10.1
12,323.509,8.8
16,451.438,11.9
20,579.367,9.9
24,707.296,8.9
28,835.225,9.4
32,963.154,9.2
36.5,1107.075,9.4
38.5,1171.039,10.3
42.5,1298.968,9.5
50.5,1554.826,8.2
58.5,1810.685,9.4
66.5,2066.543,10
74.5,2322.401,10.5
82.5,2578.259,10
90.5,2834.118,9.5
98.5,3089.976,10.3
108.5,3409.799,9.5
116.5,3665.657,9.3
124.5,3921.515,10.2
132.5,4177.373,12.6
140.5,4433.231,11.6
148.5,4689.09,13.1
156.5,4944.948,12
164.5,5200.806,10.7
172.5,5456.664,12.8
180.5,5712.523,12.3
188.5,5968.381,12.4
192.5,6096.31,12.3
196.5,6224.239,12.9
200.5,6352.168,12.1
204.5,6480.097,12.2
208.5,6608.026,11.2
212.5,6735.956,12.2
216.5,6863.885,12.8
220.5,6991.814,13.2
224.5,7119.743,12.2
228.5,7247.672,13.1
232.5,7375.601,12.7
236.5,7503.53,12.8
240.5,7631.459,12.4
244.5,7759.389,12.3
248.5,7887.318,12.2
252.5,8015.247,12.5
256.5,8143.176,12.6
258.5,8207.14,11
260.5,8271.105,11.8
262.5,8335.07,12.1
264.5,8399.034,11.9
266.5,8462.999,10.5
268.5,8526.963,12.2
