year (AD),age (BP),d18O (permilvsvsmow)
1921.111,28.889,-23.192
1483.661,466.339,-16.664
1310.237,639.763,-19.465
1134.388,815.612,-19.54
785.722,1164.278,-16.359
454.055,1495.945,-18.613
149.851,1800.149,-18.517
9.967,1940.033,-18.684
-121.264,2071.264,-18.384
-357.519,2307.519,-18.575
-560.121,2510.121,-23.03
-732.482,2682.482,-18.211
-945.401,2895.401,-20.418
-1121.744,3071.744,-20.875
-1229.565,3179.565,-16.137
-1336.687,3286.687,-16.734
-1507.768,3457.768,-16.974
-1700.422,3650.422,-18.396
-1909.308,3859.308,-20.003
-2158.12,4108.12,-17.922
-2407.985,4357.985,-20.404
-2637.502,4587.502,-17.479
-2881.936,4831.936,-20.197
-3051.693,5001.693,-20.68
-3312.745,5262.745,-19.027
-3488.681,5438.681,-18.467
-3664.184,5614.184,-21.629
-3923.005,5873.005,-18.642
-4171.792,6121.792,-20.391
-4405.816,6355.816,-17.168
-4551.693,6501.693,-15.179
-4758.3,6708.3,-15.961
-4890.65,6840.65,-16.666
-5070.265,7020.265,-15.034
-5227.986,7177.986,-18.66
-5408.584,7358.584,-17.892
-5527.257,7477.257,-16.215
-5674.329,7624.329,-20.02
-5785.584,7735.584,-14.916
-5948.883,7898.883,-14.485
-6086.793,8036.793,-15.083
-6241.307,8191.307,-14.906
-6367.256,8317.256,-13.229
-6508.002,8458.002,-14.042
-6718.561,8668.561,-16.943
-6952.634,8902.634,-16.1
-7139.835,9089.835,-15.104
-7332.144,9282.144,-16.865
-7523.255,9473.255,-18.494
-7704.795,9654.795,-16.989
