depth (cm),age (yr BP),Reference (unitless),core (unitless),material (unitless),error (yr),14C age_oldest (yrs before 1950 AD) (unitless),calibrated (unitless),youngest_calibrated_age (unitless),oldest_calibrated_age (unitless),Reservoir_Correction/R (unitless),Calibration_used (unitless),Comments (unitless)
0,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-9,DSDP 480,correlation with BAM80 E17,NA,NA,1330,NA,NA,NA,NA,Murray (1982) silicoflagellate correlation w/ 180 cm level of BAM80 E-17
140,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-10,DSDP 480,Magnetic corr,NA,NA,2700,NA,NA,NA,NA,Magnetic secular variation correlation (Harris & Karlin written comm 2001)
220,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-11,DSDP 480,Magnetic corr,NA,NA,3400,NA,NA,NA,NA,Magnetic secular variation correlation (Harris & Karlin written comm 2001)
570,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-12,DSDP 480,Magnetic corr,NA,NA,6450,NA,NA,NA,NA,Magnetic secular variation correlation (Harris & Karlin written comm 2001)
700,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-13,DSDP 480,Magnetic corr,NA,NA,7600,NA,NA,NA,NA,Magnetic secular variation correlation (Harris & Karlin written comm 2001)
770,NA,Barron John A. David Bukry and James L. Bischoff 2004 High resolution paleoceanography of the Guaymas Basin Gulf of California during the past 15000 years Marine Micropaleontology 50(3-4):185-207. doi:10.1016/S0377-8398(03)00071-14,DSDP 480,Magnetic corr,NA,NA,8200,NA,NA,NA,NA,Magnetic secular variation correlation (Harris & Karlin written comm 2001)
1040,NA,Keigwin & Jones 1990,DSDP 480,correlation to YD onset,NA,NA,11600,NA,NA,NA,NA,top Younger Dryas (Keigwin & Jones 1990)
1051,10800,Keigwin & Jones 1990,DSDP 480,N. deuterei,90,10890,11827,11737,11917,725,Calib 4.3,NA
1081,11000,Keigwin & Jones 1990,DSDP 480,N. deuterei,110,11110,12336,12226,12446,725,Calib 4.3,NA
1115,10800,Keigwin & Jones 1990,DSDP 480,N. deuterei,120,10920,11827,11717,11937,725,Calib 4.3,NA
1305,11000,Keigwin & Jones 1990,DSDP 480,N. deuterei,130,11130,12336,12206,12466,725,Calib 4.3,NA
1311,13400,Keigwin & Jones 1990,DSDP 480,N. deuterei,110,13510,14728,14373,15083,725,Calib 4.3,NA
1351,13700,Keigwin & Jones 1990,DSDP 480,N. deuterei,210,13910,15450,15240,15660,725,Calib 4.3,NA
